unit_id,ReactorPressure,ConversionEfficiency,FeedFlowRate,PurgeRate
0,83.61432881113076,12.154373355235027,20.75693747811092,38.382518049443846
1,80.19900119591084,14.648082890007936,39.32831316724861,64.29993888852427
2,65.59128985971432,14.269769330407057,48.427126869633675,45.78038519531506
3,85.81508704504155,13.239551945662758,31.63257792439349,50.39430287363514
4,68.54550157887039,22.196763469732808,62.25863938055419,55.86989864658578
5,84.50988164960071,23.407058570798167,41.970294930526606,39.18510188856931
6,66.0146324900567,17.784258262229663,60.472228342546885,54.09910433705458
7,71.5971665187661,18.853944596613434,54.41888355705701,66.09628469346465
8,63.586733113778536,16.876151182140376,62.941282179115625,56.816147307957074
9,55.97408920643282,15.495973115853335,31.634556620680478,70.58648675603406
10,85.4471902385048,16.852951372098026,70.00265506208672,30.559543078843525
11,55.638530921246144,13.217308078541828,40.010779722631206,53.49512829968225
12,79.01549774062117,17.412562181856263,30.201984697974797,59.661483019471994
13,87.67968310558366,14.24103724350228,37.458398128320404,54.66117819801987
14,85.59164352040821,18.26418779520786,32.68010871972568,49.12198998841514
15,84.2768325352945,23.064792330262947,24.956981965057015,71.46770095895037
16,67.13231614172685,14.969217554212157,38.05367382819143,78.49444443379078
17,84.28785371776624,14.698697371874346,48.691884462322,44.319148446703
18,93.56271518742834,23.769490132689885,27.620760715622936,39.47985649056245
19,65.42653834088324,19.315466509173255,64.98040506823088,40.60530894023642
20,67.07980485829921,17.226330432807043,40.83647281684456,64.87655365519404
21,77.00042089970536,19.762205590425282,34.468325154515774,51.89784039768065
22,44.65270176588054,11.282738387562988,53.25877590915697,50.14925750963609
23,104.47685374878635,22.355583106558807,61.238921561703584,38.911784659319096
24,67.12472651309751,23.908529733890184,46.02885710315094,47.25706196103947
25,96.36840363808065,20.34576179043663,37.217113690314044,57.545262868786665
26,67.04631560117089,18.66246101675739,11.68618495277656,46.00325578386695
27,78.45402765145565,16.559479859361367,46.68136358364015,46.219651138882575
28,63.459175597187546,20.009387372273288,12.95116991869062,64.7382015108661
29,76.09874419939464,20.20836699932159,45.19846550960153,71.90406630660847
30,55.17055747389673,17.41973979123816,56.478111124694706,67.64891627477176
31,77.96914446940514,17.22823638379443,42.78002741408373,52.908179024236986
32,75.61282795100033,21.069553514220473,49.169258957921336,47.47147439319107
33,62.067601331729925,15.217639957762515,28.913161637074793,43.03353025919678
34,41.02520676008183,10.034497785643829,49.434415252861285,66.7499097533958
35,54.442373911650165,14.003001761544601,27.100130040680444,58.13183903299743
36,65.57405504555115,13.096432316353145,28.555090621844464,54.08412040960386
37,61.056376457262814,16.878185453049273,54.13947236145668,27.95369550904041
38,71.6884431985894,15.101656301110891,37.065190453575944,58.65595168907043
39,87.44455398408202,15.913301811307864,26.647960133783176,48.18400381541326
40,77.63380533991706,15.897677555466627,32.84420537422677,49.05189192564437
41,65.87831846409732,22.136043032513882,41.4556125103557,53.10814925178632
