unit_id,ConversionEfficiency,ReactorPressure,FeedFlowRate,do_set_ParticleSizeCat
0,15.665902184159979,93.61831346741737,32.28189905613179,50.0
1,19.799317519702615,73.27191051309008,27.517870452456922,50.0
2,23.950025315929242,76.325964772695,62.591704832697225,50.0
3,21.414393032438127,62.330186837686895,42.97322751633119,50.0
4,17.137488172578575,85.34322273755505,36.75672345245727,50.0
5,22.693027517378916,79.45848820768981,39.15870972624741,50.0
6,18.329283190153323,66.99979707379165,39.021893498492474,50.0
7,16.351934426913324,72.34423889522881,21.0898686260092,50.0
8,15.895201636524812,78.02001289642556,35.326306336472925,50.0
9,18.48087967261555,64.29944837261748,39.567161107263075,50.0
10,18.84348929830641,72.36228374985667,18.60665485989488,50.0
11,28.658491172080033,80.10959029303515,67.31129703907622,50.0
12,17.472777554839695,81.50593287534987,57.362300008560396,50.0
13,18.92050436914108,71.0183445484036,28.428863085924093,50.0
14,15.709847604700135,63.78565639658004,39.76750226848024,50.0
15,12.463712750242824,58.85295588897257,37.12956735501128,50.0
16,14.402665100753733,73.7156380012654,40.750669060122966,50.0
17,10.515183631123339,68.0201379406945,8.223467557012263,50.0
18,16.99960922739109,64.2032156456114,45.48462406541598,50.0
19,19.74081919195424,85.6434474062604,24.096047754788255,50.0
20,20.527109320863648,84.36906313967737,59.77897633164459,50.0
21,12.85228270746467,65.7870039719062,36.60559983389685,50.0
22,18.961020114611856,81.49916339486612,44.40553734306003,50.0
23,17.291078098403094,68.11378385857688,34.6156357741191,50.0
24,16.96194354995208,77.42923137367342,36.95278528673523,50.0
25,16.731231134164524,73.49544560040832,64.04136382896169,50.0
26,17.48386201298857,76.2228918845941,36.09545547027005,50.0
27,20.183691743915304,83.36088298007077,51.35742894849744,50.0
28,13.392489503406484,73.35199160173268,41.613657072745774,50.0
29,18.264870594559483,92.95212858065884,57.127313564125565,50.0
30,20.677286767104054,81.14295189506505,25.711707898312962,50.0
31,23.40516008638899,71.11290222421916,38.740759329627636,50.0
32,19.097471396273967,80.19055918718526,46.28208513214289,50.0
33,14.47918742418052,69.21426162518377,30.256973317653827,50.0
34,19.140259723276333,84.54867183890445,39.64198567042191,50.0
35,17.70008614817085,63.35424701151083,43.256942154305364,50.0
36,14.67834839924298,60.61674899203321,48.335221588397154,50.0
37,20.457671572100992,79.07449680672605,29.732215824362473,50.0
38,21.978380528968074,82.72717619652818,47.38983231033836,50.0
39,18.875048218495852,75.54497449492702,23.28165802075429,50.0
40,19.744949429439874,73.39085122856501,37.74614778330483,50.0
41,21.356588128835316,93.34664813198184,44.851246777225604,50.0
42,20.963948456065115,82.89573009071312,56.689945475486354,50.0
43,14.471037113526753,80.03855383027239,19.14502324541385,50.0
44,16.678467342770155,56.66408328990581,41.667272504102655,50.0
45,18.739070555205338,79.75205201222138,41.01279594826368,50.0
46,17.487190629080224,97.79765169482754,31.514278980085606,50.0
47,23.602662916013003,106.42629692855132,35.30888489284961,50.0
48,13.99757011410152,67.32946192310071,54.25740755641942,50.0
49,14.383673640865373,60.404305650971,20.32031937862984,50.0
