unit_id,HarvestBiomass,TankTurbidity,WaterTempAqua,StockingDensity,AmmoniaLevel,NitriteLevel,do_set_FlowThroughRate
0,7.697157564424721,59.6225364321725,49.22306991003672,95.28593786533294,56.83864500733721,59.17002296193358,75.0
1,38.872250033616865,90.2951838866142,71.61561392572712,73.37675822057138,58.23787917960267,52.11805079205156,75.0
2,-12.62243735524745,72.55870490550431,27.01497153229765,40.65457773969096,35.60369949751117,44.93993422618647,75.0
3,-1.623609101475406,72.93766101605448,53.02331401854214,64.39845285583716,34.26019849196453,45.631765475879725,75.0
4,8.704797326501199,51.83770783565162,61.66089595925893,88.2943310171389,60.44557310862445,63.62054788700521,75.0
5,-16.57324841596829,52.47068976847864,70.77248837930496,31.76788615217783,74.04432124252924,38.24272072624152,75.0
6,-2.010253286579845,78.4295408361045,56.275116699821204,37.48731569017197,56.213832012345435,60.48511186516789,75.0
7,34.51922696678327,88.14960405056769,24.613892581134067,82.39260859036727,58.225109348757215,50.041654744947834,75.0
8,15.663787212647122,65.850154613788,43.801501160064674,94.06098864799907,48.0058048638171,60.617055882317615,75.0
9,-14.684545723366467,59.56633871253931,39.39758458903592,36.10964539261708,78.39628541350275,39.57405089540974,75.0
10,-10.276893737046892,72.53160853726735,42.05973129146672,46.24920675409782,49.90789821494391,64.81272146554812,75.0
11,5.753504533192345,80.63528742204879,64.92510474604127,63.04204342695792,45.53449202257927,49.00124523947793,75.0
12,18.308073958492788,66.03978894592969,48.76660070560661,76.87690913394499,45.37390429802611,66.07737540558342,75.0
13,-8.461970470527005,76.50714936087567,64.41770244009977,39.868318053293265,29.108175468274393,47.72858322043027,75.0
14,10.720408080826964,80.86353622617199,67.12662478386783,79.60707504847937,46.4358773612927,60.019015789505865,75.0
15,1.1497859465537084,62.326346857279425,54.026983503499316,72.58629793108874,50.90877888268136,37.02100394493121,75.0
16,1.2050066717117933,63.50363991291475,67.05626326066874,60.584573673413864,44.61546239232842,55.16742043479568,75.0
17,-1.4110641163910613,88.1141295137866,42.92535384593096,39.202642179867844,39.49120989264006,62.29938840712176,75.0
18,-5.778953149806654,82.97277076009973,17.304053549772892,47.312842877795134,33.10436070502553,80.23026942613637,75.0
19,1.417387063872818,69.81496617351344,36.5062324025937,59.74286883221271,52.763744917329475,69.91128517849414,75.0
20,16.150657314590983,73.96523638177446,53.75191670702794,92.09658726380918,33.836315003886085,59.9931347988101,75.0
21,1.8997552870489638,70.76075872051257,50.64182436044047,52.947989557632276,41.81899687843148,52.690166202171625,75.0
22,6.672574903340015,76.12261350554992,48.49103870779778,82.15037634680071,54.06686580742032,42.579356787776376,75.0
