unit_id,HarvestBiomass,TankTurbidity,do_set_UVSterilizer
0,17.344582796325202,63.57197645748479,60.0
1,18.01704288324124,70.49133497591794,60.0
2,12.292280156297942,82.00738232712769,60.0
3,16.26806351342688,79.28391871843931,60.0
4,17.03883259894238,68.62597429468188,60.0
5,17.715483703404335,82.45127084231683,60.0
6,21.213206119935432,82.14968872937989,60.0
7,17.687873500910676,92.3011149730937,60.0
8,8.207296115402356,58.961406915403565,60.0
9,19.71122320303284,81.03267909367902,60.0
10,21.657639255707327,64.72765988496482,60.0
11,21.157231488375416,90.02543290156724,60.0
12,15.6020788777021,74.50534307048486,60.0
13,15.15109837596656,49.059822280712424,60.0
14,16.491042228014905,82.83101766561579,60.0
15,18.576252349042147,75.43051703124746,60.0
16,18.445700564932064,91.11047229447168,60.0
17,20.866612318895953,84.94153059969517,60.0
18,21.035144000599274,88.12791616277177,60.0
19,23.958482316771345,90.06451785678965,60.0
20,22.006645429725367,75.27428267228788,60.0
21,20.33301612173878,72.64013871701341,60.0
22,23.324263903320727,98.00819410709909,60.0
23,20.9606512032681,77.97046627771691,60.0
24,20.06887463027876,71.96875775469947,60.0
25,18.45311464123133,79.13718565907317,60.0
26,15.19199152526145,80.24261434880252,60.0
27,15.355325518042795,59.89770759024796,60.0
28,17.382513679469948,64.23150092945373,60.0
29,17.814118357257467,78.3555116514796,60.0
30,15.887986346372593,83.95007969188818,60.0
31,24.115152650387586,70.08282669580531,60.0
32,19.84778610189023,85.99901350628924,60.0
33,20.737813927314782,77.17828002169513,60.0
34,19.400879221941064,71.2732556162846,60.0
35,19.78354834441827,70.84509928089633,60.0
36,23.87130700951812,95.77282244865597,60.0
37,15.569821640260937,78.61548509236297,60.0
38,20.02767420847543,98.17286806714931,60.0
39,17.543110308940516,55.321088452908626,60.0
40,20.79015249029576,71.40379377319192,60.0
41,16.15155157034341,74.28404955162657,60.0
42,20.60132951591651,71.69562553241423,60.0
43,23.133100329979637,88.67235674262514,60.0
44,15.856704610563794,64.43511849439088,60.0
45,22.53334576460314,73.90098324953438,60.0
46,23.95659130186649,66.59473572485909,60.0
47,15.123826130194463,82.5815090248341,60.0
48,18.28732626268303,95.41494134403001,60.0
49,20.906274755143443,86.62350140640122,60.0
50,7.618642599093569,63.25502020776001,60.0
51,18.492963975535293,77.68796278548979,60.0
52,16.008534943996516,66.90729576143761,60.0
53,20.339463881396746,76.13078031118486,60.0
54,14.428219256076556,59.90485667437374,60.0
55,20.880654250184104,82.87959125405219,60.0
56,14.675079334376589,73.37978065600927,60.0
57,26.579162256496588,108.18031976280949,60.0
58,22.735201766228773,72.96331858852042,60.0
59,15.979819050359456,61.16244098219793,60.0
60,17.18023719385178,73.12827167706038,60.0
61,13.740380444532795,71.72940944494972,60.0
62,19.534034315841915,81.43907484678546,60.0
63,16.94210170549164,72.16882666657236,60.0
64,20.927614822266808,69.33004288234469,60.0
65,22.201145716651883,92.56473001159564,60.0
66,13.151124670203112,75.76378254344475,60.0
67,16.879360552136177,77.77370091995238,60.0
68,9.481069334047314,60.28406929496263,60.0
69,23.12653628963752,90.36961675397028,60.0
70,19.10554913036536,55.101641521045856,60.0
71,19.489402512812124,65.5963979574375,60.0
72,15.303165352632856,73.69409448097403,60.0
73,18.944243335453486,82.4378774250366,60.0
74,15.93332569806985,73.1266054043139,60.0
75,18.45394240896506,83.51704414192717,60.0
76,15.373249385506444,63.01123501726853,60.0
77,18.045214378029964,64.86651601530157,60.0
78,16.260035568174864,76.228628575136,60.0
79,17.812222338754967,83.30269064608497,60.0
80,13.001942372189564,59.96885338697168,60.0
81,16.77836162378578,69.93953290065576,60.0
82,16.278561294953793,78.73825508570472,60.0
83,19.74801844910413,85.08527912278261,60.0
