unit_id,HarvestBiomass,TankTurbidity,AmmoniaLevel,WaterpH,WaterTempAqua,do_FeedRate
0,18.622790577679897,59.6225364321725,67.90097370443821,56.78536876140632,64.69129100114446,75.0
1,24.392594746411564,90.2951838866142,63.59538353735544,34.30880466598923,57.398159948170175,75.0
2,13.395498220383546,72.55870490550431,53.700322557428095,44.71037489995656,70.79873639636408,75.0
3,19.984520910511637,72.93766101605448,49.036942389789274,41.33791470177808,37.40276772845314,75.0
4,21.685814859802676,51.83770783565162,50.57062648458921,63.674180137264216,43.45093787633001,75.0
5,14.477171855959348,52.47068976847864,34.81268394372432,43.03925530817687,25.75059565518188,75.0
6,15.483148093339581,78.4295408361045,60.85512807325693,38.84978920001045,61.74693038136825,75.0
7,25.664154803958382,88.14960405056769,32.38686133471011,39.478097255850884,75.56629794312269,75.0
8,23.67912201472908,65.850154613788,63.181221529016625,39.527986926415664,65.4804621001978,75.0
9,14.476924875860226,59.56633871253931,38.59581396027419,52.8123669510263,52.20127393836415,75.0
10,15.52680015059446,72.53160853726735,39.93061392917617,54.59871062651961,60.083711750530796,75.0
11,19.88930906420863,80.63528742204879,49.61287362803117,87.28824904177151,57.62427415061449,75.0
12,17.904431326438626,66.03978894592969,56.75105862429256,57.92047302359454,52.08383008647328,75.0
13,17.58373389309862,76.50714936087567,40.673962258575884,33.76068214029712,53.593585993495054,75.0
14,17.270530755392027,80.86353622617199,41.06567589581313,54.75976518715596,50.969982987860256,75.0
15,15.830641012320543,62.326346857279425,57.4545268611484,51.378360190838606,43.31025277619934,75.0
16,18.296446715520737,63.50363991291475,44.29236655774641,69.5298754426724,42.03732891270226,75.0
17,18.04127467113173,88.1141295137866,44.02895603150158,61.32860777601915,61.835691133253874,75.0
18,16.530081229109083,82.97277076009973,48.28420584120441,51.49153238541224,52.02222101759603,75.0
19,16.911811405710292,69.81496617351344,43.2085468186366,63.93648994034664,40.37500462989047,75.0
20,25.038442495420657,73.96523638177446,68.08790958967484,62.12470750555872,39.875957728537315,75.0
21,17.522816817599725,70.76075872051257,37.276097573173416,56.89815194936828,60.14358968996239,75.0
22,19.54386947503532,76.12261350554992,47.19573993613785,35.66628346700846,38.316415340798,75.0
23,23.588328232427664,63.92818227772314,53.486072768989786,57.39898365571049,40.63564251144412,75.0
24,20.521406253685925,95.98300859570136,52.757708858354114,32.37027335909706,49.65618456228737,75.0
25,20.717604826681242,76.79864286204868,51.70571670785432,37.256531748057945,60.21374548167617,75.0
26,21.898409748938864,77.33027571709243,53.209446020935076,59.40123137447502,50.863846872412566,75.0
27,19.04985251169522,92.77275693351656,63.43655127337387,67.01162441840208,61.20141221918474,75.0
28,16.083850702839722,63.25886329211195,52.118033090072046,45.326474106914276,55.22053914061346,75.0
29,20.335193013293146,84.68892629272297,44.956045070425006,54.20867757896968,61.36397720336142,75.0
30,20.342890374021238,90.22312247169074,43.996510955055165,47.92241627866989,56.32923335000549,75.0
31,24.25550862457998,85.53881277608953,65.76180895539717,78.90402465008498,53.48802512985076,75.0
32,21.750922365613413,73.57155379389417,64.74892591438899,76.21533747687232,44.31518274642319,75.0
33,12.069396867529107,76.22012468706497,54.53807878676981,51.27152163290429,41.99492674916832,75.0
34,17.69685291364451,72.0542696300321,47.827175330800635,57.377305180290854,47.55779603319077,75.0
35,21.155408737093307,75.98382588570458,33.06806070843283,66.06367092616532,63.42373889495595,75.0
36,24.282815663924282,88.76542626021947,43.71011222708094,65.49720930921234,34.12677684506227,75.0
37,15.818659121757253,81.4733365607714,56.26995229967811,62.75380137223279,49.49482842716599,75.0
38,19.38573809531568,77.41201153574978,47.28550350673,63.34880701526744,30.92540461167228,75.0
39,24.159884530616132,71.09533008702007,44.20910764011859,42.33404471496726,69.84177562343966,75.0
40,18.138338498561,83.2016646745983,54.77746543709597,49.54840354674191,50.274770863178205,75.0
41,21.891583787675355,88.13624817986091,44.98125575969365,58.24147201428829,53.873225267128404,75.0
42,17.917495955288707,94.42032483391043,43.26144519809467,40.18050616533596,34.404994282184646,75.0
43,17.741804925948127,59.16602354064707,51.00985762199521,64.30057517000807,49.73113755036455,75.0
44,18.576881112547348,81.89831577664748,63.49424623994436,50.29087193260586,42.24987222213668,75.0
45,21.82333292950556,85.30903983651882,90.6183647317217,30.877710586498228,43.086056872833794,75.0
46,23.298270883598278,84.52640167518898,67.0671071923081,70.18660924604045,46.60565329072379,75.0
47,16.73495588301494,64.14756305790912,49.62234626076737,35.68143455711502,56.41640778542591,75.0
