unit_id,HarvestBiomass,TankTurbidity,AmmoniaLevel,WaterpH,WaterTempAqua,do_set_UVSterilizer
0,17.935503675677477,75.27152833759408,34.58308735775742,29.156920151503726,56.256780215158535,50.0
1,19.63496586366849,83.09629060846298,58.09102366373045,45.64365653814471,63.88425955865324,50.0
2,11.384017133146362,64.1799789630793,55.83700477489794,62.870104816125476,56.23102348719865,50.0
3,21.49095271437614,89.95525717514661,47.98237885537155,58.59419438162295,62.53054479223178,50.0
4,20.31072681177518,92.42666180799888,64.28723237871803,63.28692533495971,65.80224302661632,50.0
5,20.988627682502297,93.67342936777082,54.89217880665882,58.137816347299044,54.64269993271275,50.0
6,19.90443338997563,71.20757808419017,49.42782007278897,51.945387921253214,38.135271718183446,50.0
7,16.99436247064111,65.95939723083724,31.141228300992907,45.39069148122685,62.482521213657925,50.0
8,19.185394505998197,86.02566514779794,47.07499196163802,50.22499310233888,51.12060878634546,50.0
9,16.299393446975987,74.30502800056873,39.9643429819923,44.30138142690402,58.30761776583241,50.0
10,19.88526523531641,74.6225346616269,64.57477849288777,56.62500201633417,41.23436350066652,50.0
11,20.17873407503125,80.21790952575404,49.54232056596076,44.38869082993486,27.291539024262384,50.0
12,20.928267130101144,70.66267365427247,60.449013597411195,49.614682084020075,44.203593446513494,50.0
13,23.224234080005935,83.03833183726158,49.83442287401838,54.910370764253976,63.84320573851635,50.0
14,10.864182068305514,72.63373478482293,46.104286035858976,56.5606166661881,45.86106450627742,50.0
15,19.919512453538122,87.09255374326555,49.51793808901343,52.28212698305732,56.29510644743689,50.0
16,16.420957734914655,59.79273383599202,39.88011347313913,60.0819251636895,54.06586665319422,50.0
17,16.666742546115177,80.63952188872997,50.69302761044861,51.07505725701432,43.75317826828234,50.0
18,19.973686194802234,72.81619800870158,39.91156420046063,45.58372858809308,57.68431678026076,50.0
19,13.495954143581486,73.53675861686706,44.40717264212641,37.8793379015945,60.434977999703136,50.0
20,15.793638582891894,84.87380763631876,72.7927238238287,32.05338365128534,53.695369017245255,50.0
21,12.378915760829448,69.09425322973733,49.43872318142847,56.03021029164047,36.359029881541375,50.0
22,23.35645781401458,91.28844302832411,54.176258692817115,42.89350856861011,54.70997356394553,50.0
23,13.982349955865779,81.86688453517645,33.5773369486685,23.993989060354572,40.52680216315497,50.0
24,16.945390283587248,84.51402697968076,36.27563440781102,56.706819592302836,71.63698631237767,50.0
25,15.361779504159768,88.06458318480809,54.586348105391096,61.070059658265386,60.952086448336026,50.0
26,26.006744285496033,83.799045824564,31.31776515350601,54.96061460825716,44.21185332102626,50.0
27,14.742360716718476,67.91176229284335,56.96084630980415,32.89698448885687,72.60215871427232,50.0
28,15.742794019741378,58.07944590979477,65.02389857817917,47.93096658597747,52.33812879345489,50.0
29,17.24646093623973,73.31682967961713,64.163329174516,55.161585508509184,48.28528987273894,50.0
30,19.396331206914283,93.63395699565298,46.82693481861152,49.33919056422223,85.17218359616209,50.0
31,17.52907518422387,64.23848840050249,42.881735397068475,31.00681635030314,53.20070523392499,50.0
32,17.333569741474562,84.204610643385,30.60669118202497,74.26759022906697,50.625159095726744,50.0
33,14.108663618175743,62.73428228824444,46.569506954871414,42.96159856719445,54.34112844633368,50.0
