unit_id,ProductTiter,BrothTurbidity,DissolvedOxygen,Temperature,do_FeedWaterFlowRate
0,23.26698461812686,7.460558684164892,69.38184383931245,46.987182359361476,0.0
1,26.400646051913842,28.094949106814262,72.1621907791693,64.97988542531321,0.0
2,20.183911539776886,-2.9861293237209328,66.74485550188606,52.30650246578357,0.0
3,24.42387171957629,15.772803056235997,70.87286765984197,48.72428735019764,0.0
4,24.301035505354854,30.281058531934764,73.04285586275523,74.51554680634501,0.0
5,27.237265173357784,0.9677475378549243,89.61505038105216,55.12453073579446,0.0
6,31.688394402452865,-2.7210483927078837,75.76718168922508,49.75157782570461,0.0
7,24.376033846719167,-29.357390070141395,63.360111759538505,74.45881432419313,0.0
8,21.093714404769113,-3.3553024246950702,67.46176327541811,78.10195591226582,0.0
9,23.793004905777195,19.844712838874916,60.643385881848666,53.599633105045406,0.0
10,11.14506958797579,24.74629805010472,59.19885121647317,39.516950377834995,0.0
11,24.362329974495946,-8.740044500005027,78.12014994035154,55.40410031042595,0.0
12,27.049824298944568,10.982704770924276,69.1312846540755,63.66009311235404,0.0
13,29.499977089942604,21.460346648808134,83.29763392066356,51.66070551298034,0.0
14,28.641219858889396,32.686671154218516,73.67310252252427,47.031943240627555,0.0
15,35.47925352420828,23.172594813025157,89.06399667143823,31.278630220465477,0.0
16,21.540647832181623,-6.757286842214587,70.59249800116353,57.44056372240301,0.0
17,24.182865457688184,-12.690887637074098,70.62210691803892,66.16413510443323,0.0
18,25.734190116767227,-5.2974972390245725,74.35945625080225,31.12782314121389,0.0
19,27.620436504315236,37.79371386621837,91.77723304549971,55.778367796557546,0.0
20,28.7156567159277,7.641179545105835,84.29221328687161,45.08379979571083,0.0
21,22.82945248086973,5.9401803630298255,72.2528013751748,65.02501194752729,0.0
22,30.296919661896162,31.16998075165958,76.07651795039656,34.071754782263845,0.0
23,33.19323332856055,-7.2386718309014135,85.20742849777521,53.50488458552368,0.0
24,27.37969010556838,31.972108696288654,82.62254106019452,65.04766392556738,0.0
25,13.657265343849405,-2.112878783984721,55.483252749311674,48.1548786941471,0.0
26,36.16674305248863,11.932858530308044,98.90984948845579,41.17408532349699,0.0
27,24.955860917942086,30.31013739381257,80.56872509687001,45.36617846552718,0.0
28,30.224073170803777,-13.661879779193747,83.25655075820383,52.23274551322525,0.0
29,26.308348265347497,14.233760717418555,77.01875228815696,45.11432215684501,0.0
30,22.238954472850516,7.288929005808442,72.10151083054946,27.70753789619785,0.0
31,25.2226889685083,-12.742207274983485,75.72223353386106,73.3071774840607,0.0
32,25.544797879335896,-26.581462723228153,82.52164679003278,50.021394960073366,0.0
33,29.435861997989516,12.100187121368112,81.13891415570673,44.856901881421734,0.0
34,18.50658368255479,8.791069373285053,62.93337569553458,48.78065514991299,0.0
35,25.360501412699058,2.928936272443879,78.98201378873058,55.52487690215296,0.0
36,26.372259975248795,13.252666274687869,83.83193743637395,51.95341655289204,0.0
37,29.83066078390121,19.404606533026886,88.14590488604287,64.0364994253748,0.0
38,12.000654059255771,5.509395024694829,49.35550688583252,70.94914876889437,0.0
