unit_id,ProductTiter,BrothTurbidity,DissolvedOxygen,Temperature,FeedWaterFlowRate
0,9.188138173084443,2.083418692992513,78.77783020446729,61.06091042416757,12.959892798655911
1,-5.008142900280731,30.10359107735771,76.6751083557206,68.56506623694457,35.99515560160129
2,-21.12503824952898,38.453716722947924,67.48077664285819,41.825996056891725,53.52252006386057
3,2.470407199443554,13.290418989383287,82.77110995811209,62.153129095819494,35.19829843457386
4,-25.002701103820876,75.26707681156908,81.4962663584068,51.252445027729046,55.47620221057782
5,-13.411609640077343,72.02571890094379,84.99843968806438,43.563813252512915,39.126105675379776
6,-21.846716398390882,56.51339795755261,71.91100074034676,55.4988460510386,63.19428096723047
7,-16.18817781953855,58.43557736237181,67.92336531067738,59.81224335897243,52.150399906323
8,-26.86061709152571,49.48573112491694,79.25063794310313,27.663222142233067,62.70992775844143
9,-9.55542558927711,33.007225009508566,55.10096924529621,54.12810915175113,31.315167555399416
10,-15.422577957844867,32.97165923552696,86.99619248594435,82.34301278867284,69.79278436961641
11,-11.360642276966068,22.944342320083198,62.43019001067981,66.95747500221528,42.241322987210665
12,-6.6580729426935905,39.23593457415036,78.82508518840879,54.71281403340732,32.38605464178278
13,-0.357875970251174,17.306568572224766,84.65397947493082,58.20794505842431,43.18062817948225
14,-2.759990889179025,40.982615739007976,84.87108649147756,54.18548864740445,30.633122189265
15,13.010662450433756,48.137212680473425,87.17392441037852,53.927038640324476,26.05877620358562
16,-17.39628622490428,37.4574792634868,60.68087676741123,38.05663436059295,41.47658593447715
17,-13.929435216364842,30.84093700592853,86.61675196821723,41.45465270399292,47.62905809399007
18,2.155559377534394,62.707613987827166,84.74846214302713,37.88259211617143,26.77100767741283
19,-23.17779881506607,62.48203356461351,73.05582380664403,54.28277842411754,55.42679775703965
20,-17.28460162290963,49.42213927508173,63.638037830299865,42.1950845727267,45.747827339122935
21,-8.199549103275817,61.33664981132156,61.134979682060965,42.59199967311353,38.32938979009248
22,-5.115731276512587,7.495000358956961,51.997479092978814,46.55301139549903,49.29713343150286
23,-3.5945167511127316,50.49418029145579,108.03671429031215,55.673047038104436,64.20012385944761
24,-20.848032561872678,81.0358674969923,76.13388232373846,59.30149827129103,36.903707214963994
25,-1.61364587660223,51.38281100412439,90.59596635819082,48.350370678199035,35.53580093564743
26,-5.0571259041857575,38.33390160963576,67.71711398177986,70.01928738255596,17.50362240764467
27,12.562175582891246,17.582966661703438,71.91077258004076,57.52451078442665,48.149926606849135
28,2.2862184569582658,38.0196626662389,72.36005912390483,48.18480083035281,12.404995968621943
29,-15.463378879696801,59.428172614867876,75.54179413675223,37.943828923066334,45.16938393942101
30,-25.781184650610957,59.41639765866812,54.372698330909536,29.662357548318425,54.95464670758771
