unit_id,CropYield,LeafGreennessIndex,do_iron_fertigation,do_ph_acidifier
0,67.2205280497421,79.71457979584864,90.0,85.0
1,66.586864752905,79.40819052872256,90.0,85.0
2,65.71951948029687,79.51504083117881,90.0,85.0
3,70.65861417554605,78.95486773650848,90.0,85.0
4,63.46406150487387,79.26949365761001,90.0,85.0
5,69.52383725079491,79.55227792822798,90.0,85.0
6,69.18525958679898,79.35453438797461,90.0,85.0
7,66.8017233858695,78.85203376304476,90.0,85.0
8,66.46722850919463,79.43123226812733,90.0,85.0
9,63.28011914690213,79.0585586887051,90.0,85.0
10,67.40189212794125,79.40768325237521,90.0,85.0
11,67.51901966909523,79.11085727723584,90.0,85.0
12,68.55543695986772,78.36826875209648,90.0,85.0
13,69.27615948234943,79.720245011422,90.0,85.0
14,61.66491899538702,78.90260646518536,90.0,85.0
15,67.62001722976665,79.46164560796034,90.0,85.0
16,68.28660098207153,79.08755992741379,90.0,85.0
17,67.48937328411827,79.71024951658103,90.0,85.0
18,70.10984679554925,79.32382109415497,90.0,85.0
19,61.09219464703221,79.31977444240032,90.0,85.0
20,63.106034145833206,79.4944153659651,90.0,85.0
21,64.72340221529868,79.46615043740262,90.0,85.0
22,69.9988902461974,78.93206455683294,90.0,85.0
23,60.45241673627012,79.75492861978196,90.0,85.0
24,63.146905612360776,79.2162098035232,90.0,85.0
25,60.94603726310244,79.5534721201128,90.0,85.0
26,74.24685171865019,78.76550256364538,90.0,85.0
27,62.426643701051134,78.16519086972107,90.0,85.0
28,67.214128048239,79.15505769204015,90.0,85.0
29,65.26093247566644,79.09357764766126,90.0,85.0
30,67.13342493483749,79.38148842364413,90.0,85.0
31,64.95689421071387,78.5591120273272,90.0,85.0
32,67.46033386252398,80.17148790105769,90.0,85.0
33,61.61762678612665,78.86296649446929,90.0,85.0
34,66.39326270768906,79.1363285995692,90.0,85.0
35,70.58885829295627,80.0329390616216,90.0,85.0
36,70.22214714459348,80.22610546267488,90.0,85.0
37,65.79826969367178,79.46017298402113,90.0,85.0
38,65.02363130072537,79.49412963673448,90.0,85.0
39,62.5039799507119,79.51530969200986,90.0,85.0
40,65.37719870706191,79.8160120433893,90.0,85.0
41,66.0032911233756,79.26249387857605,90.0,85.0
42,66.65678637502337,79.2821677682164,90.0,85.0
43,62.65351941149314,78.75968995156649,90.0,85.0
44,72.19527166886046,79.96434219001523,90.0,85.0
45,71.31801556028992,79.15598624020375,90.0,85.0
46,72.37453466298071,79.61227736924451,90.0,85.0
47,63.30340559669256,78.96545108964312,90.0,85.0
48,63.57248007752228,79.25868820019464,90.0,85.0
49,66.6092567125265,79.86486357525561,90.0,85.0
50,68.4361641150468,79.17599025134125,90.0,85.0
51,59.510689864476326,79.43730756454617,90.0,85.0
52,70.9132918712151,79.56321622925952,90.0,85.0
53,64.93818321402071,80.16803786668164,90.0,85.0
54,62.22412455881196,80.20555222189843,90.0,85.0
55,65.6743183152466,78.98159379309153,90.0,85.0
56,67.74023485554241,79.26870235334161,90.0,85.0
57,69.09390611744371,79.1812287148931,90.0,85.0
58,60.540169367159805,79.99571337944111,90.0,85.0
59,59.99193457791801,78.73760090300178,90.0,85.0
60,63.48467949115856,79.2232836771671,90.0,85.0
61,72.59883533455634,79.25011410326553,90.0,85.0
62,61.84971126966129,79.88204766751154,90.0,85.0
63,70.59787195678587,80.11032674927122,90.0,85.0
64,71.89887500220392,80.11280374672161,90.0,85.0
65,65.10791630367278,79.12492435168342,90.0,85.0
66,69.8022659242574,79.9425871102944,90.0,85.0
67,64.4743815045355,78.74340164471647,90.0,85.0
68,63.696251778526936,79.57222862471669,90.0,85.0
69,73.41453513842214,80.01742111387301,90.0,85.0
70,69.2711533239256,79.20988363118639,90.0,85.0
71,66.27918942443323,78.54230591103347,90.0,85.0
72,64.22161772858807,78.61928572447701,90.0,85.0
73,68.89998711639683,79.3710594354972,90.0,85.0
74,62.30018241877366,79.39756728425382,90.0,85.0
75,63.92772248037609,78.88824063711401,90.0,85.0
76,71.31595951856355,79.06413858074356,90.0,85.0
77,71.21450056105964,79.8977747671344,90.0,85.0
78,65.71363953889784,79.9379325916609,90.0,85.0
79,62.83402470426106,79.47627879372341,90.0,85.0
80,66.0928052071044,79.39733810943905,90.0,85.0
81,67.83641968612477,79.38687570357304,90.0,85.0
82,68.35318789231654,79.16197435048821,90.0,85.0
83,65.9295006414636,78.80552786974593,90.0,85.0
84,64.26676790514294,79.89752436566792,90.0,85.0
85,61.12148130204779,79.36259165667983,90.0,85.0
86,70.21972771395188,79.97099335031027,90.0,85.0
87,72.9134256594382,78.98658923183847,90.0,85.0
88,65.35172169511286,79.06486673810478,90.0,85.0
89,63.94282760715843,78.73781752468956,90.0,85.0
90,66.56118748585354,79.58214423781016,90.0,85.0
91,63.15598656877816,78.46057617276813,90.0,85.0
92,68.41992986719528,78.80853048363862,90.0,85.0
93,69.18263924084788,79.52959255695167,90.0,85.0
94,66.59090235619713,79.92234124892326,90.0,85.0
95,63.49065074652655,79.21543541166558,90.0,85.0
96,70.91518779839144,77.91686167567175,90.0,85.0
97,67.481803747413,79.9705952694372,90.0,85.0
98,68.33297225458226,79.19303360620218,90.0,85.0
99,67.56580042271806,78.99335013600293,90.0,85.0
100,66.71304632328265,80.03642363746266,90.0,85.0
101,67.84750076815276,78.87661531467602,90.0,85.0
102,65.62443161953412,79.00004764006175,90.0,85.0
103,66.92295010679268,79.38299519053619,90.0,85.0
104,68.30891304688772,78.7023500129529,90.0,85.0
105,74.50508750773584,79.2477986769742,90.0,85.0
106,67.48715929223135,79.47767712454464,90.0,85.0
107,74.91973947045544,79.62703140204603,90.0,85.0
108,66.82230307363393,79.3039521030132,90.0,85.0
109,68.07939860522366,79.76148841568926,90.0,85.0
110,72.14987407164969,79.6022636469037,90.0,85.0
