unit_id,ProductTiter,DissolvedOxygen,BrothTurbidity,Temperature,ViableCellDensity,FeedWaterFlowRate
0,5.815966395726193,48.29291694580979,76.66977934604013,38.12749623468463,61.51774463966395,38.36327693830325
1,15.777417242940114,63.075484471610935,40.94502506072739,36.4939504648371,43.57946030172871,39.95763464166251
2,23.254164122418757,64.61831572510773,46.60450232407295,41.035564743449804,50.422618722404955,27.56947937508821
3,29.824570625886643,44.29200210879343,22.15308726497452,30.80529963342093,66.15892977047116,24.1125930146642
4,24.828187167880806,79.88612727578169,43.11012301106537,35.163251592812955,37.78869343823334,39.756773939039874
5,16.17116214838521,59.651172617943615,58.10937329783202,47.217491601817414,32.90555740844403,42.47404679233211
6,8.24376540293678,54.00565484473027,49.02808525240104,30.607728450328892,53.540106129287956,44.34424548126427
7,16.474104988478867,68.48733105664553,52.21289787950093,34.900399816083855,41.27927032840429,45.26971550952042
8,10.75068786659867,57.84092422277394,61.96540235338519,42.63752847743259,35.21399514184247,39.99273515808112
9,12.523639112093937,53.011844473135255,7.766906182918277,36.723157181112725,59.98197412022532,37.58181840210932
10,16.00702859800197,47.7659113496226,5.001618221320392,47.3213303769266,41.37496326086596,40.72844857548736
11,-0.7147943469976705,32.5451056918461,44.0236464217473,40.796687369533025,41.8744899314846,54.68115797816045
12,29.44014880969735,59.19318231221989,24.606852544730106,37.37466201468474,42.401203622930154,35.669680133591825
13,16.244464678944382,49.72980164971725,34.372883857996584,34.375169899473626,53.468875104151756,44.69139018218569
14,-0.36644358214690076,37.18611325300665,69.64735484734418,46.47886795765355,61.176106109305366,46.89785437355264
15,9.931038187637498,43.826749320106025,73.25109840870407,39.62510525293473,49.82338209511485,47.86874177550876
16,16.4733994855699,45.193728906124576,43.61584346990157,34.15396064167992,43.37866888785924,46.80263395194708
17,14.706808859505541,54.959480045284984,48.09425918354061,34.53242243083397,52.19150131671083,41.6282863382758
18,55.07850183748806,53.86397143680383,1.5275137028885677,36.38240104269969,34.3640440255998,30.203630958735246
19,21.25096309217665,69.36874390657786,68.7569107722147,38.23748175855468,55.27966778184397,33.7231481294003
20,20.7922341411097,56.83979180805806,57.74723767645354,36.56192742494776,39.62606927366211,39.03866017380473
21,12.645643139344227,65.93129743381377,48.59222590675874,37.29224719199486,44.97922641414148,41.04715870308221
22,53.41488149771322,46.467258539863124,21.087402016194623,23.04517115931675,50.56600700428946,40.5396663845042
23,8.190825818141231,45.56473813378442,41.83639270616999,37.86794468583828,42.24165400152815,49.20762111987845
24,15.876187145014619,54.60906355992216,32.98794314712718,42.53893777489101,56.439657439207416,31.79518950300729
