unit_id,CropYield,do_SoilAcidifier
0,20.519656181976664,50.0
1,16.30378523635944,50.0
2,19.69593366564308,50.0
3,22.530533198001184,50.0
4,16.941331386044112,50.0
5,18.036980438057505,50.0
6,19.32836068656386,50.0
7,16.701607336698306,50.0
8,21.101858866557453,50.0
9,21.19651828920365,50.0
10,18.81257127468042,50.0
11,23.371758846272648,50.0
12,22.37911935324273,50.0
13,18.168372557467336,50.0
14,19.443299347391573,50.0
15,16.622839957390397,50.0
16,23.271764211404,50.0
17,18.257351624164198,50.0
18,17.111448662871613,50.0
19,14.947536685293851,50.0
20,26.550750177248833,50.0
21,23.59534155292643,50.0
22,17.218310182214655,50.0
23,21.447181869157166,50.0
24,31.580573521912186,50.0
25,17.640809763245848,50.0
26,15.157288769617711,50.0
27,18.037143539026616,50.0
28,17.425057160403274,50.0
29,21.24429411244751,50.0
30,26.513409811851982,50.0
31,23.4339684924965,50.0
32,21.455895028130776,50.0
33,21.896903113824955,50.0
34,14.153286867533147,50.0
35,14.104602422219445,50.0
36,20.011546820581497,50.0
37,16.770861805180516,50.0
38,14.515967799617643,50.0
39,24.516437947676557,50.0
40,13.107671085961698,50.0
41,19.95422843980078,50.0
42,13.71484972543511,50.0
43,26.73037593956209,50.0
44,20.559656368708133,50.0
45,18.981017207389026,50.0
46,25.462120362995073,50.0
47,18.343371318265813,50.0
48,23.85852699581652,50.0
49,21.5356792965723,50.0
50,19.252404220333908,50.0
51,23.693701127035464,50.0
52,22.121522330804943,50.0
53,22.21729367611986,50.0
54,24.933821017366952,50.0
55,18.02509089937338,50.0
56,20.79404691840696,50.0
57,18.05643595098802,50.0
58,19.546856514629567,50.0
59,22.856275695753997,50.0
60,20.958893934385593,50.0
61,22.66254347060014,50.0
62,18.001718533136,50.0
63,20.243401205127224,50.0
64,16.75792371137818,50.0
65,22.81543565814291,50.0
66,12.672896349345171,50.0
67,18.479446536825115,50.0
68,17.316109455018346,50.0
69,26.030295446189182,50.0
70,15.44369628876397,50.0
71,19.45551717971948,50.0
72,25.183731057261895,50.0
73,22.46825707152682,50.0
74,20.777827229760966,50.0
75,21.629272974376498,50.0
76,23.029712571909304,50.0
77,24.344449369259348,50.0
78,21.890912049940823,50.0
79,22.50192990546942,50.0
80,13.112576829059304,50.0
81,19.821643731090344,50.0
82,22.03732523262335,50.0
83,20.193265139488965,50.0
84,10.839658729811708,50.0
85,30.61199877167235,50.0
86,21.002036205079122,50.0
87,19.794249519639475,50.0
88,15.780292932027379,50.0
89,24.79076455960846,50.0
90,12.820986577178534,50.0
91,16.437449020170455,50.0
92,19.28366302285349,50.0
93,11.791713671545587,50.0
94,24.9892871051034,50.0
95,22.472505611767144,50.0
96,17.093178167645483,50.0
97,23.348649580709434,50.0
98,24.234400677880387,50.0
99,25.051654568564437,50.0
100,17.758701395135194,50.0
101,18.469373504945697,50.0
102,24.712059239455535,50.0
103,21.423194614208466,50.0
104,18.940894574238072,50.0
105,19.803310420288955,50.0
106,15.349141823915751,50.0
107,23.25204987497035,50.0
108,17.74033363532369,50.0
109,18.63627037047196,50.0
