unit_id,WaferYield,ChamberPressure,DefectDensity
0,22.40568660612879,71.91556919108082,8.921083621135566
1,20.20528200344364,63.005291711565874,9.632398391505664
2,27.174409227454348,62.464121375052386,10.141474674142778
3,15.502098780543644,66.8438011459594,10.05051870547744
4,19.309078322920524,64.74387396509914,8.823516744601616
5,21.734113214236014,66.57564504351556,9.709075907795825
6,25.982523734730464,65.6377425030433,9.206520494677186
7,25.02466451213354,78.99287127234658,8.830391975271949
8,25.73043057777689,70.66856112768528,8.993922353139197
9,22.178957257526463,75.44268082718202,9.745536602589514
10,20.275779013812443,74.03705652763459,9.756824408511015
11,25.135476874968,98.28822844771558,9.773969662752906
12,23.32686235806921,73.02799666960064,11.74631357429177
13,18.698407535560257,79.61755937698483,9.648581734974659
14,19.926899260660715,78.07998984587621,8.959234212782446
15,17.99823396207593,79.85369920031904,9.616141292469885
16,27.520820512019387,108.69347042993634,9.056193140358898
17,24.036749297515772,81.68851929759802,11.062880531406655
18,24.648965980952237,86.21954291745851,9.491969691206013
19,19.579890279378837,85.98222718762207,10.125406638750338
20,27.262739288031597,80.18403147015853,9.217522927518033
21,17.346487933027632,86.35805944448634,9.454580880863869
22,25.810184263586617,73.4716992342687,9.856253586785348
23,18.46818082926643,73.18032809202563,9.512485597629167
24,23.976021432292374,72.3288583551107,9.816787636519592
25,26.163156419036714,78.79969308152675,10.302029467533135
26,19.123990139970108,67.49868078981842,9.419809038601642
27,23.305725198200918,86.00321257144047,9.831258444433585
28,25.716676191374674,78.84140012617453,11.356086945562735
29,26.00482353575262,95.85352895572684,9.838393612136196
30,21.302000239931697,59.73056724121071,9.199611659123088
31,29.119597598461517,105.01329662699325,11.452999609459996
32,21.28972610297694,59.988710120117226,9.860764296938765
33,30.12929470781692,72.77036955933043,9.234844689073068
34,26.687868377182248,86.30864609288061,9.529343062710925
35,21.72741734032111,55.94077396380664,9.471625686827823
36,30.707666498330724,86.02651718973901,9.965506049699938
37,25.514860178807012,79.13075915663352,9.218712201981715
38,17.564795563675553,54.08267512283494,8.904981857948156
39,20.195855521839828,69.04095498304338,9.678073865332667
40,27.90010694731282,68.5375162831769,8.490649877191448
41,23.39221431212451,77.61905140104025,9.438792807677945
42,23.89283709044812,83.04727038941498,8.740949925931412
43,20.83307839893075,74.11538621204387,10.17536093896284
44,24.041435782183097,75.43897407421402,9.061632919433
45,19.515550679527074,65.91008792435035,9.519695884936999
