unit_id,WaferYield,ChamberPressure,do_set_ChamberFlowUniformity
0,25.780098644090188,69.04676931854192,85.0
1,28.849531322666618,67.92053067696096,85.0
2,22.369705224780972,62.646857348941566,85.0
3,26.646664650051022,72.758794155448,85.0
4,21.448624539037063,78.65457011741438,85.0
5,23.48244589159304,91.58591258344478,85.0
6,23.52278757820231,67.8797321488198,85.0
7,26.864048020965452,69.89415471769746,85.0
8,18.5098158565118,70.88224436707821,85.0
9,18.395821922940407,57.90006018746184,85.0
10,29.1515604937676,84.55230238377723,85.0
11,18.009199919900183,55.58299718011824,85.0
12,22.694074412712393,76.92144890686711,85.0
13,26.002417029989022,78.39188961201019,85.0
14,25.285356043477435,81.28326796250353,85.0
15,23.02667171750585,87.69158571160608,85.0
16,22.08566533861399,64.69018874476322,85.0
17,25.25951776021571,77.87912504325001,85.0
18,26.943225505557788,94.42654775283108,85.0
19,23.667867519917028,69.3982570559301,85.0
20,22.323225994827972,67.46523655369579,85.0
21,29.717550813657404,70.02364269543709,85.0
22,17.47969259707493,44.8909598105784,85.0
23,26.872764814497547,108.91352035601905,85.0
24,19.003908857108375,81.01175410232864,85.0
25,29.55737670908024,90.15318285502549,85.0
26,14.30107029248499,75.58857045636671,85.0
27,26.322572947836626,73.76275873479929,85.0
28,12.885971701875349,74.67174764512538,85.0
29,22.719304401795934,80.65889651921307,85.0
30,22.588842415972483,57.460480204268784,85.0
31,31.79726141393091,64.77900958319773,85.0
32,22.321502106984436,81.8532743351793,85.0
33,16.703548249042502,64.42053845987682,85.0
34,16.04996605227948,41.15524372302593,85.0
35,19.54075944865817,51.53621177384932,85.0
36,18.13479018681791,63.7649681347477,85.0
37,19.853488097881435,66.07828737064884,85.0
38,22.538585450785522,68.46185381019869,85.0
39,27.08721691774221,76.74813367365536,85.0
40,23.110005323910016,73.12359704327143,85.0
41,20.43705799649061,74.09381152649233,85.0
42,23.65417944769914,90.42502603685487,85.0
43,21.686343156507967,70.57623979934074,85.0
44,30.669991518312088,87.1641731159023,85.0
45,20.88513523829545,67.35617286421076,85.0
46,20.82724225736437,78.0710539699526,85.0
47,21.49775931054653,90.56480005697992,85.0
48,24.46934318552933,97.37014263027386,85.0
49,23.8504065867958,95.64449080351558,85.0
50,29.273169394849138,75.43126283518626,85.0
51,20.669997695932597,62.75741350631119,85.0
52,24.55121303761178,68.67889477357338,85.0
53,31.052949002399224,66.73872170418107,85.0
54,23.051455104699617,85.87380744955848,85.0
55,23.821621110236485,85.36335620298613,85.0
56,26.55983806447157,85.41908631610661,85.0
57,18.66172585595473,62.78251756661059,85.0
58,23.2703522548323,82.92263862284531,85.0
59,23.45313280356597,83.51333219362012,85.0
60,19.528376827490945,66.81837262334714,85.0
61,25.52436952568237,59.318455085356746,85.0
62,21.61094495297111,75.2678558951136,85.0
63,20.29763105568551,52.07130561927349,85.0
64,27.34050534443287,74.11218623618915,85.0
65,29.161564455755094,77.0620650957591,85.0
66,26.45780516513763,89.49142222489427,85.0
67,22.897259604280354,69.43692845957457,85.0
68,28.78319739808609,84.67304728822198,85.0
69,28.951219661074745,83.12250255980281,85.0
70,20.164238414626816,84.22170983257307,85.0
71,27.051952070241533,88.81883934442273,85.0
72,20.323630648108768,54.01622265709143,85.0
73,30.4941099961024,71.2920212645919,85.0
74,22.90791960589374,58.342506192457606,85.0
75,27.145444148094832,75.4214913046609,85.0
76,17.020042192474396,74.60568234875618,85.0
77,19.417914847616743,86.9774648974798,85.0
78,20.72271980324894,86.72371007547414,85.0
79,24.66016960519231,72.23919725493381,85.0
80,25.31305398498198,68.88676747501516,85.0
81,27.82643594742069,75.03843030382137,85.0
82,20.884052543461717,69.65731724473106,85.0
83,19.54833215217627,72.45714997381127,85.0
84,19.695073025743053,87.87974391453592,85.0
85,16.237431738975324,56.545154211171884,85.0
86,25.58570305340953,70.3166096712573,85.0
87,22.377668474459984,77.22412204543274,85.0
88,27.41122761356348,70.7594980640976,85.0
89,25.015019503647554,79.5615320825794,85.0
90,24.451805645701498,68.46263674425519,85.0
