unit_id,CapacityRetention,ImpedanceSpectrum,do_FixElectrolyteContaminant
0,-21.2716094561955,52.18395709603463,100.0
1,9.490720840414214,37.581573502112036,100.0
2,-22.68305750887999,44.110767174550304,100.0
3,-19.57188900824069,56.757857819506555,100.0
4,-1.9774549960373993,48.17840935266391,100.0
5,-19.738820008094866,50.59983742594687,100.0
6,-3.7097731464500003,36.89713416054305,100.0
7,8.374073578537537,1.3654381970710396,100.0
8,-22.609174374605125,44.70941418301021,100.0
9,8.237615635443056,31.171847883427873,100.0
10,-15.689176772605283,45.324756623191554,100.0
11,-21.628616598371195,43.658902206984614,100.0
12,-9.099774754672202,46.06380320336269,100.0
13,10.472573056772037,35.594224738662625,100.0
14,-3.3797790612722656,55.32889617451267,100.0
15,5.105753396442421,47.85286665144224,100.0
16,-13.983544647478212,34.540286699756884,100.0
17,0.7001057701670215,18.999775236083988,100.0
18,-14.360112626400793,39.95139559141704,100.0
19,-3.3113823095398915,57.392766515803274,100.0
20,-5.1309147494466725,41.734973183091235,100.0
21,-20.44233227617321,49.998120158527186,100.0
22,30.22079672637324,22.846001316965932,100.0
23,-8.697324587880505,40.532118966214014,100.0
24,1.0646166879191323,49.254130031658086,100.0
25,2.975354649447853,12.859894414097521,100.0
26,8.01349086873946,38.75029285582473,100.0
27,3.3637070360516557,43.56780525170061,100.0
28,2.8872535857432213,22.209327359796887,100.0
29,-12.190187800760174,50.38235900256098,100.0
30,-18.060972371161473,47.89210809014822,100.0
31,-9.495064218053377,30.06451586914624,100.0
32,8.68215380349773,3.9220243971886575,100.0
33,-16.504653665365424,56.420827355732825,100.0
34,-25.871131658381536,52.84300880266817,100.0
35,-15.129929480410592,45.3999126396428,100.0
36,-5.129371559984664,42.86869873490087,100.0
37,-9.839942886014136,54.71878398908083,100.0
38,-28.03310774965913,46.53524335942097,100.0
39,-16.050404913273084,49.39742892311913,100.0
40,-13.184999331852229,55.62182355489233,100.0
41,-1.8575998708451558,35.14584791810988,100.0
42,-10.776265914753383,51.0025850578766,100.0
43,-6.002871218781607,39.73901031753091,100.0
44,-27.32141173238259,57.423037980020865,100.0
45,-11.039517465259134,24.84715960904038,100.0
46,-13.91013964600996,78.89188889210325,100.0
47,-15.348394242571498,38.99426760205549,100.0
48,-19.400244960708605,46.71673862538861,100.0
49,-13.570314027146864,38.19242786412933,100.0
50,10.093135756503507,35.974262214563595,100.0
51,-32.11467890189858,43.42789599608318,100.0
52,9.934032985195554,25.276110634623038,100.0
53,-0.6309669063398076,47.063869485787336,100.0
54,-8.193985775145592,24.75115929589896,100.0
55,-1.0408059287401739,48.47368333026914,100.0
56,-4.39484178785343,17.852748222008376,100.0
57,-18.548975776782047,57.003338438934726,100.0
58,12.844500867171414,32.22613395465923,100.0
59,-10.807287584573224,58.87953446459127,100.0
60,-17.20554444699595,48.91093188097148,100.0
61,-34.688859820640204,29.475715127731636,100.0
62,8.99603366973808,44.03071310442966,100.0
63,0.2087279967348934,45.527012294227056,100.0
64,-3.584929422742018,53.21529375062443,100.0
65,-27.619497562827863,55.661629852570904,100.0
66,-9.10864865709775,38.84437955722827,100.0
67,-1.2884424644760706,34.647015685862634,100.0
68,-5.341554931234995,26.848900610326776,100.0
69,-6.471585228151602,25.108920970035715,100.0
70,-16.95050479273623,54.80710191086585,100.0
71,-13.148925517296322,40.80237097464147,100.0
72,5.2985659642287875,18.522664808520485,100.0
73,-13.264684980779336,26.090536251108375,100.0
74,-6.931695531348518,38.141589013658425,100.0
75,-15.726670402652106,53.932642635944056,100.0
76,-7.0158957052827615,51.12958330191847,100.0
77,-18.970896637214643,48.17769062608298,100.0
78,-3.688627650502277,45.12763198420199,100.0
79,-14.673102145292718,52.004803219893574,100.0
80,-12.243532206893349,38.58880567741313,100.0
81,-13.177099322141194,55.90719353870262,100.0
82,-3.61561037897682,34.465977484662496,100.0
