unit_id,CropYield,TissueNutrientAssay
0,-43.261569109924416,61.37695013937531
1,-43.72797897272672,61.79436912998152
2,-41.14201126973252,33.1651736528176
3,-41.19139324462099,51.53695995317978
4,-24.300583999078963,52.47558381476263
5,-27.011582610914175,42.28379810600752
6,-38.49538284956995,42.5854049376756
7,-32.6693419413747,57.304205789391915
8,-36.451261669102955,48.735810638130616
9,-52.591591293339874,65.58690946289424
10,-31.88537099595055,32.883808466423716
11,-49.72913369819073,55.153867888824145
12,-59.981684504782194,52.28362168092639
13,-33.383393148012644,35.35517389326639
14,-57.91002597750953,39.445938709768164
15,-38.99547965068839,49.81687849670341
16,-31.349443692351223,61.81236560978052
17,-8.068911211217992,16.29873776506841
18,-48.84205542183733,63.13765215394626
19,-40.5843505129012,46.2771327238414
20,-51.86641708322205,46.838138166925326
21,-24.87274219161884,60.52170357173343
22,-44.388259060901554,35.52867231477201
23,-26.33706946750615,38.940185651551644
24,-36.319741440427606,46.457636810713154
25,-39.69653856206476,46.1351627957345
26,-39.6297630888118,51.95592684522598
27,-21.2431456392047,38.354557010153336
28,-45.98920190477852,34.6356309730259
29,-9.530339010254558,20.67763842132137
30,-26.656019630944183,57.9303784762232
31,-33.92875149293211,30.80366249284256
32,-45.736582639605615,43.2313588791911
33,-50.968670807134274,39.266976284988985
34,-8.674825306322564,44.21499515823754
35,-26.868422376362087,26.01585802470478
36,-34.96569202618337,34.3955299430878
37,-37.66083537668641,48.66382278843517
38,-37.32474303821381,52.57876041775575
39,-40.58852281938773,59.92345756529779
40,-42.46830855291573,45.227832910028454
41,-49.07676777767143,55.378220072854056
42,-27.55781982843981,25.94783995732736
43,-16.36077365617192,36.11733979612749
44,-24.08815335901823,57.09815791332028
45,-53.291590765127694,61.690452267086286
46,-25.05439057828887,45.03884399202045
47,-31.349180066652607,37.74866423943736
48,-18.940259742757313,33.048583670652945
49,-31.380741620790094,33.63604883608528
50,-55.770298943215664,50.47977217757266
51,-27.817245635378697,70.44425127095275
52,-41.35612669142508,37.44399490589619
53,-16.796495725278362,20.014507854197653
54,-39.777650067783895,56.274773748292674
55,-41.69701039782626,57.15010199416089
56,-47.175201202315925,40.731338791615244
57,-29.83761757471703,39.34907448107629
58,-38.50833503773171,45.00530230315587
59,-4.3586184331265905,1.139955196383065
60,-42.78050782467032,45.94336867654673
61,-46.28986002335203,58.43279666078639
62,-38.557747441501874,50.65488601265825
63,-44.69956924092654,57.15757420793389
64,-54.602314305117275,50.04166544973264
65,-30.029179131920042,40.87482764973793
66,-40.83310090246358,34.254749747149226
67,-30.821663942227204,49.31979483410102
68,-20.375803608346914,28.48640080757642
69,-47.422281105584574,25.943162687316462
70,-23.52878085070956,19.67655844548596
71,-44.88960432748705,58.356988697076
72,-28.015762771913742,35.27501613464646
73,-42.61710894295282,38.23198119680457
74,-34.71469765872039,41.31421748513959
75,-48.033668093955384,55.18573367826366
76,-38.98508611564011,66.79473677834294
77,-47.12411546070572,50.106013090954086
78,-23.723945336150212,45.90046660230676
79,-56.118860185645275,49.03153683459158
80,-38.56180259218141,48.017595585798496
81,-28.584550177060578,59.52109009571153
82,-22.74611980882865,32.73136198134408
83,-51.07219056707084,56.759183382020325
84,-31.100278653632266,49.11024953776081
85,-38.379668697395395,72.40445024378616
86,-34.84212115522909,43.248868957013535
87,-36.08358376432892,43.537009873989916
88,-38.81210518779816,49.05576317735523
89,-49.69750262150172,55.19170454054896
90,-18.045015119526223,21.25136412220512
91,-34.74169617778325,55.62522459976819
92,-23.799608767058572,27.93917098189089
93,-24.324573919015542,35.30537647042857
94,-42.12918004699608,71.46687797071448
95,-37.40877488420403,39.37605665442001
96,-26.91338362625478,37.70081181357041
97,-33.36334648820969,43.87632439175336
98,-50.223685527630806,65.51899893967635
99,-30.10598400063944,44.20148217739512
100,-31.750397208185916,38.181262682637644
101,-36.14856431527659,61.40830303137679
102,-38.0509451482435,56.7601921315567
103,-27.164124294818897,52.50667508832472
104,-45.79888144029631,40.67485666477274
105,-33.44826441437315,60.91814396877374
106,-42.44019773898697,52.09138533835889
107,-38.15218696285571,71.62284264673687
108,-25.12806916966516,41.40353876713371
109,-47.830261775144336,60.29529842469988
110,-30.417231432051672,47.167497476583954
111,-49.43089097810591,45.38313932535554
112,-50.273108935242526,33.246317432052045
113,-43.412774517890526,43.87367697202082
114,-31.514407762148345,51.23361588059139
115,-37.83022381926196,42.39102257576619
116,-7.49493340704845,38.122905144979725
117,-17.886844535309166,24.26859673729782
118,-3.445636239565698,8.378268117129917
119,-35.02074097965745,54.566642244600324
120,-21.910915731453862,39.91449201277735
121,-37.50162940795435,63.22192968726398
122,-48.186397269760604,63.42497093431474
123,-6.3093728160900335,14.901410773644555
124,-32.10153401214374,51.327735072458786
125,-59.327298431493,57.97822933169776
126,-33.50506852170879,43.074698519313586
127,-29.684563702607317,48.24103283062978
128,-31.14361046289625,28.40177273894005
129,-45.25387359814371,52.911724542459176
130,-21.800134695619995,35.91085513324734
131,-15.526241383521317,29.80976832521562
132,-45.66543628455933,64.48127182884313
133,-47.60661628023732,45.69784351609139
134,-52.12938600732206,44.32001518189297
135,-24.050925534112654,28.45073129617881
136,-38.331972219036565,31.24337499668898
137,-53.74308736920373,57.99551383595148
138,-45.08885484817963,58.6622669053165
139,-34.17370636179143,46.29580789296697
140,-17.895201927271323,36.98433246839768
141,-29.499655864368325,53.51110778750076
142,-43.614394708320255,48.76254694706989
143,-13.42977601493112,38.88961320322011
144,-51.5742841252392,41.51851147568568
145,-16.28110130606486,30.66884970840514
146,-33.85663305280736,36.041706164738414
147,-35.316659800257725,65.52717659301932
148,-17.371590179301823,35.01757005251137
149,-32.52789218737969,52.81396133082389
150,-44.43634513034649,43.86047872706097
151,-35.93515383449932,46.97368997001935
152,-48.693377762592505,51.585415442111014
153,-26.82894374454867,56.94478922402266
154,-49.54675998987172,39.25725156979685
155,-25.46461646486313,43.3622991685433
156,-46.99636735750776,57.6697866205885
157,-33.949236690837466,47.73167443296745
158,-53.24791372302839,61.85554580031677
159,-29.19460292874242,30.660866670575633
160,-40.808294592761946,43.160075772886145
161,-34.4319713227699,42.81555397122876
162,-38.09021989253647,51.059958527007964
163,-43.32247938218047,55.577194458965685
164,-29.046709186469485,36.3350305658998
165,-40.36925092236593,37.784814770774325
166,-42.289923133849925,45.7572925304586
167,-46.4034543796913,57.9138071775877
168,-42.22420581322557,57.63184068031249
169,-31.070772446270688,42.994812408901794
170,-50.26076937729121,58.19682135314391
171,-37.69529980222472,44.12775912513806
172,-25.19219715654913,45.91681337663305
173,-46.17402178566387,41.31058029709468
174,-56.01682734932981,66.5641686427852
175,-49.823416473056994,34.0671860257973
176,-43.7700734457883,45.52193464787719
177,-28.38385897935214,48.990472803400124
178,-32.05457907642161,55.42130007840612
179,-20.349033140201144,32.73332453561456
180,-38.93015641709609,44.51914379018578
181,-27.64322335106803,43.72313797213018
182,-52.79371479723276,67.84603538588307
183,-40.56955356782866,23.705716096997065
184,-27.15036493263507,25.599040733444053
185,-22.373427157559398,20.898919365240644
186,-35.61556144058735,50.26570577414622
187,-47.18237655915174,40.50726450014709
