unit_id,JobThroughput,InterfaceErrorCounter,RackInletTemp,do_pdu_balancer
0,32.74656927993065,57.242581433396126,48.948338344457845,75.0
1,15.4787566356889,50.97239792059991,51.45414192650351,75.0
2,6.714837303156182,100.57529501552054,55.885000347795355,75.0
3,26.62744944767366,51.51214801717759,48.00749108696758,75.0
4,13.311480372670266,37.019787802926786,63.47416050929114,75.0
5,14.539088962973334,78.8573667445234,42.61291492778741,75.0
6,38.13181876678651,8.39632884781394,77.6142468177284,75.0
7,14.832480915775367,64.85067996444553,66.94892640622156,75.0
8,23.23714877559945,33.39466933849809,64.37961110908522,75.0
9,14.201902633612761,36.525460419250614,37.18946251776311,75.0
10,13.430307628174152,39.722665295199285,51.93260108870682,75.0
11,3.3292388658070493,52.88630528273233,65.08836255541976,75.0
12,23.95659220391185,41.02796238336256,71.5378346354014,75.0
13,4.91108510189625,83.50075033591403,46.05924894449769,75.0
14,6.335583121529022,56.78320273143869,53.56561956639153,75.0
15,4.276193825058273,45.19629416720024,46.963009222294865,75.0
16,15.234532787257113,45.22362700214406,58.866028356570105,75.0
17,22.895379687704665,67.90050511670486,36.32614317793017,75.0
18,5.861987589637972,46.88911416355032,60.69872163470272,75.0
19,42.429799941370646,52.94424204879989,43.62324951517864,75.0
20,26.064301183060163,64.71941602397396,45.77613322452658,75.0
21,1.6543966625583613,75.900904420014,62.454103151596115,75.0
22,6.931828342550463,51.52265156351183,49.52615103828174,75.0
23,22.402668913765048,54.91762091957542,60.45332032844476,75.0
24,52.98162966331341,33.294455976018384,37.00540126416954,75.0
25,17.76051851622907,43.098100007037516,62.20494787641551,75.0
26,7.85988921165366,22.270134352796077,72.38684457815182,75.0
27,12.222573196822484,74.38080412381298,55.11547873043085,75.0
28,32.99679874740833,27.399336561629433,54.074156820638336,75.0
29,6.041538914411308,50.630093140014736,55.065955311818676,75.0
30,50.47763318137254,26.850719999610426,34.50857902321086,75.0
31,31.742497379803886,54.36581232466882,37.9575901664858,75.0
32,6.419600083716775,52.480008131581606,78.11557572102518,75.0
33,24.83673273063178,52.035642447016876,39.05703622055442,75.0
34,27.459741165241994,10.295607868582362,65.67831492548376,75.0
35,0.07544102227273664,45.84661948269522,64.74564047938516,75.0
36,20.20344076612332,73.60409797461986,48.01506791222142,75.0
37,18.12712826965014,36.47890961139794,58.08092253680816,75.0
38,0.024846996862632587,36.37747950190996,60.8933843854797,75.0
39,60.415228122992865,21.39624535016056,41.79715185228185,75.0
40,9.882057703263076,20.324583009156157,72.7462037464181,75.0
41,-0.8430392185065294,85.26765482698534,61.341101644181876,75.0
42,20.148146102948136,47.66887236877247,32.45197988134485,75.0
43,9.98218346692208,87.38101533240365,65.3170493537777,75.0
44,21.56563165954399,5.574363315261984,54.75809419989744,75.0
45,1.1507796431600985,68.89527112429683,63.54530879631493,75.0
46,4.7910661201554285,61.28145554724456,55.65592725236651,75.0
47,8.829950986778691,35.422525854152966,50.82412357725368,75.0
48,-3.467019418436983,60.42454331893916,67.83475811467234,75.0
49,14.41174305411046,54.30689594796776,43.12562082523104,75.0
50,19.340840042142897,34.81708695047646,54.65592845789345,75.0
51,19.98665093810879,33.716498740187916,79.4685011672916,75.0
52,4.454892214992569,42.02998197683887,67.22198620397937,75.0
53,9.238636448629864,39.27830986429305,69.84452742340312,75.0
54,31.879953121377113,4.66544978177442,35.2074030315033,75.0
55,12.002607042498713,85.16068307395727,41.864921212203235,75.0
56,45.03898332671259,24.943661776563694,72.8585124888595,75.0
57,18.716734431016903,29.25563905661917,51.467122767388844,75.0
58,19.7532881120437,72.77499093636102,56.71826834976698,75.0
59,7.980796831300964,49.83121179011366,56.29775050887034,75.0
60,38.44733613098484,22.58869930074917,39.533032829715005,75.0
61,10.080812231287744,51.158738450313436,65.46899077686193,75.0
62,11.76280641838645,47.58330107788864,58.607077565932,75.0
63,6.030801699989082,45.81320197995904,62.10976135576523,75.0
64,33.12082701020591,32.099590581931636,45.99764758114464,75.0
65,25.747117140937725,51.74920550954727,58.86475947553763,75.0
66,25.293059817742176,42.00961166646019,54.23995908646374,75.0
67,34.801791235137046,-0.6421632526669754,57.98106280822775,75.0
68,8.342639495499526,42.85705124820993,63.03234385384375,75.0
69,23.869907470008243,49.53744847978581,69.43177300422839,75.0
70,9.407720160510701,46.224646726936406,61.58209139290073,75.0
71,14.227806195246067,68.86537668109865,41.59975660347893,75.0
72,30.819169611287883,51.900294816615116,67.43577717583962,75.0
73,25.97188478789903,48.18805175036334,54.18831070756651,75.0
74,0.7385942208694134,72.98164346171367,57.38274173745095,75.0
75,21.207024629489897,48.276373542251825,53.51315641030852,75.0
76,6.5977137483438355,50.4219455057834,64.40271817128593,75.0
77,24.052253558028607,31.837010952452545,51.58707603829621,75.0
78,55.479294845351845,-16.837899513542187,59.48989282630331,75.0
79,45.806433729441565,13.852359767633878,55.667586112477956,75.0
80,4.31511261692327,87.27819810114573,62.54592023056192,75.0
81,5.605409031203422,32.460053292933175,56.8156909487467,75.0
82,19.843718031724357,43.43359697294991,49.681922552142716,75.0
83,54.17814382151994,36.40969481564849,31.795699916943946,75.0
84,24.24534317610379,10.244196396451535,36.77854525087792,75.0
85,32.80918068957519,34.52102600139125,36.91860565747853,75.0
86,35.44743506647536,46.382605617543895,54.76366110629759,75.0
87,26.62607602604411,39.77414883319273,81.59943212607259,75.0
88,-1.8218046639972023,39.61014844790084,78.10405997772692,75.0
89,26.639620660750175,26.433262644753825,59.699046837499274,75.0
90,10.274370159339384,54.18353729246342,54.26428606317815,75.0
91,13.400050262009557,52.18943102816085,65.079059727745,75.0
