unit_id,JobThroughput,InterfaceErrorCounter,RackInletTemp,do_io_scheduler
0,36.54254945676607,60.00988385602015,50.58276424465139,50.0
1,20.647907422133418,34.97314824474973,55.30814218519239,50.0
2,0.8542756937648752,49.354269327233546,76.4413009424486,50.0
3,21.067379070470665,43.1985343261876,24.58013101502636,50.0
4,22.58106977596868,75.84178643420027,32.58429948392691,50.0
5,19.831476008173365,37.798415640717764,63.588965033588394,50.0
6,45.544004488387216,35.38811622995988,38.5424536151634,50.0
7,16.547835532351172,47.471381660882905,55.43013175165851,50.0
8,8.363958571847602,43.43918666498795,72.72668411023126,50.0
9,14.352167674684367,33.356643362977984,46.74726448453077,50.0
10,1.7673592775422913,21.77254359048305,83.94415447796628,50.0
11,16.782351466031123,48.96210027967831,40.48755897921551,50.0
12,65.65957712375305,7.628557392105646,59.974557572489466,50.0
13,16.08039906494444,36.837224658050715,42.76734217340365,50.0
14,39.19767267817788,37.11621764920267,52.815581699186374,50.0
15,18.6155563940932,55.724236351624235,47.257452147525235,50.0
16,8.395373411067936,42.10321265939754,67.74168645408423,50.0
17,31.757872769989497,42.05976731583539,33.372497734158124,50.0
18,15.51757719331741,34.46628609079503,48.37356912799868,50.0
19,22.00128163243753,39.88910555959616,48.79778972017645,50.0
20,16.357837127132516,44.846339523356825,60.1931330958896,50.0
21,16.14308314388707,72.24344120411742,42.59051641051613,50.0
22,18.058127022088446,76.47724771593812,55.82789377164315,50.0
23,28.753042880080823,23.129275505493183,49.57895261396359,50.0
24,-5.724646681991164,55.39508861346217,67.74522713314371,50.0
25,18.068422609152204,77.59802097901238,50.63809444556122,50.0
26,18.532064954440674,14.874865860772193,72.94461192167907,50.0
27,14.609033465346773,42.18073165437188,53.136654285398706,50.0
28,52.53537732992771,11.53069791752728,56.35286405094135,50.0
29,-5.655319856399956,55.722585431528834,78.11514096246316,50.0
30,8.910961395055383,37.273093127845556,67.40787494225182,50.0
31,24.337650788973175,64.36248805863208,67.07883605966177,50.0
32,38.06539702159499,26.36294805959611,51.53709890268912,50.0
33,29.571048486380324,42.14687509436344,52.61709590938323,50.0
34,49.93255051344357,5.268912218023672,44.77716788846732,50.0
35,21.545265122850935,16.040956898971114,49.714141266153604,50.0
36,21.943383419291788,41.96699334510752,50.59567220669759,50.0
37,13.71613132011425,53.041243230655446,35.58293935778202,50.0
38,14.776676423541032,40.995982909047235,54.74701728389591,50.0
39,13.244267790998396,78.61942585559396,44.54236920083066,50.0
40,22.56666206629719,28.06679039227107,51.38877832100089,50.0
41,33.85771797945186,14.743819184916894,56.14786829857779,50.0
42,9.928286379742431,46.63790668522555,59.44127781812748,50.0
