unit_id,ProductTiter,DissolvedOxygen,Temperature,BrothTurbidity,LactateConc,AmmoniaConc
0,8.210663749234286,48.29291694580979,39.73074909242267,40.91321792380424,49.840092073929675,55.52715647188992
1,18.154818503849842,63.075484471610935,36.079363973269984,47.78846566284163,49.10940488579857,59.7799388595737
2,24.26720046226312,64.61831572510773,42.489838380235255,18.625573619183207,71.27169401071909,56.43673810710033
3,28.025428823354268,44.29200210879343,31.058520185705476,19.61211152840056,31.010172344862376,55.3943540107492
4,27.243096081169085,79.88612727578169,33.90055979111704,65.18764510849167,55.28301949272638,37.06145678851448
5,18.957822885213066,59.651172617943615,47.70139501626915,45.66643422231645,38.088951374118956,56.40801112043687
6,11.402531465487968,54.00565484473027,29.71682404803944,63.104836347145714,62.76190530501011,57.81500799723164
7,19.104187332077554,68.48733105664553,34.991261750347434,47.94300332928495,64.9101829328165,38.13199994665968
8,14.654793772744243,57.84092422277394,41.66879357929535,75.16568858300758,66.16629938737145,40.68457914061564
9,14.706302145202686,53.01184447313526,35.851175909745834,28.15583794724712,25.460245100787827,67.08587983342159
10,17.377291254209272,47.7659113496226,45.215715298107355,48.75673856139163,63.0995117201408,55.84772145597212
11,2.392862564102018,32.5451056918461,40.262463164889695,52.31575468052405,49.28806165003174,49.30001745054177
12,28.572168688730475,59.19318231221989,36.1762480593596,48.88208549520586,43.031315743757325,48.571938897867874
13,19.40616899401629,49.72980164971725,32.93709429952883,60.73587436970825,41.924095957300864,56.41846644442948
14,3.6534922304849777,37.18611325300665,46.59891216920375,61.61859129276429,78.45978999273422,31.68371146089506
15,12.316083022939331,43.826749320106025,40.185285639309434,57.21525175428955,48.451921831900904,64.49177310549437
16,17.442050195893394,45.19372890612458,34.85286278088366,30.01389954610439,38.77998239138367,53.268413746655554
17,17.501755574036594,54.959480045284984,34.73068638046416,42.460401411240355,66.13035150961693,42.99029947199522
18,53.73434283708143,53.86397143680383,36.251823557012365,7.027509414848778,62.421928689939314,62.716728649663
19,22.933359954804065,69.36874390657786,39.424348044421535,42.109821466210455,52.82237819992311,76.71791332672645
20,22.53049284119005,56.83979180805806,37.888064870983705,30.186187530121416,69.87928852604229,73.93306531725105
21,15.655859128073136,65.93129743381377,37.44007034437561,43.66814562477646,55.44662553666654,42.33964001218121
22,52.45028933470602,46.467258539863124,22.982819500002954,21.501999924479755,26.147985614855607,49.88851963977981
23,10.334211867267097,45.56473813378442,37.85992113339366,41.196362102067226,60.62236985308258,41.480587996060684
24,19.380343999641013,54.60906355992216,41.01094546033096,61.07211316073564,50.64675864607424,38.11815640873145
25,12.405678840667093,54.56987549159472,43.614751660100694,61.761798109272924,39.94530821901958,45.3525838880632
26,33.62359425944403,43.84505769982216,35.06872160936967,23.477747118604285,52.448074699087584,64.42534206749293
27,25.00998474171302,62.99109227058036,25.68423636977479,55.74882494448447,69.70434267444996,45.03728407437868
28,9.589990064976272,35.16847296111862,46.805896426443084,65.27296662909565,50.535346496934835,61.899705967923836
29,27.55897200190993,72.87801803688454,40.823407251150634,36.638099453994776,40.44731937037115,58.86404911495063
30,19.063208520797918,62.73975837308829,43.1058545656008,41.927439865128626,39.168230048690035,55.536865079499954
31,35.81691863369971,48.19448605733125,34.99552257702651,26.27624336960458,36.021550132522506,50.926315577299576
