unit_id,WaferYield,DepositionRate,ChamberPressure,do_DepositionRate
0,44.25037241274244,33.965074116802136,83.10821188866706,35.0
1,-17.324226147252347,34.0423648510761,55.937342404066825,35.0
2,39.450540816434,32.614769974179055,71.93684682156636,35.0
3,26.4642219152302,30.076347778625763,67.4428731626094,35.0
4,17.010147818035954,38.59789400075231,61.206018045342454,35.0
5,0.5228091957653471,37.67451477659603,75.23693236225475,35.0
6,5.721457497368623,38.96623256821624,78.243376784459,35.0
7,23.2917875118289,34.47868824505663,85.4155187040978,35.0
8,12.744623213886914,37.42940234140182,92.68577019606803,35.0
9,-9.004255219758637,33.233593380318084,54.229344136546416,35.0
10,-4.155802326323964,36.538447836076806,69.47123399900542,35.0
11,12.09381288965896,34.82275627431616,73.88955828321177,35.0
12,21.71551642948808,37.19307969121061,79.78314362960771,35.0
13,3.908910734572629,31.230538585586107,93.96667806635126,35.0
14,14.306599296752381,37.05009467586893,87.13616180748372,35.0
15,35.43238123475376,30.358862160137456,58.78495547018962,35.0
16,21.441493065847286,32.52367475532748,66.18558606465143,35.0
17,-7.144733110430941,35.162086813868605,68.29147499572662,35.0
18,14.271519859519469,36.83463445923949,72.128543392833,35.0
19,12.801952561037304,32.928264219705454,63.59960149195557,35.0
20,41.1062619632511,36.81907709280613,85.79328115009938,35.0
21,-9.77188242197942,31.408123050939157,54.139495283045946,35.0
22,54.3285441414233,36.85212225555259,77.21128016817377,35.0
23,25.039636969373777,41.47153573507368,92.06568498775096,35.0
24,34.43734181413153,31.836152398566522,82.47032576840826,35.0
25,32.32926955523628,29.49990715381215,62.807113558226135,35.0
26,3.8415891952279244,30.539023558638583,83.54941485900297,35.0
27,1.51353125802485,37.125286753806996,62.90820517677053,35.0
28,11.197913851038711,37.859444148211864,74.6336652575088,35.0
29,-5.480097963974944,33.68250030141671,71.99663279953552,35.0
30,20.480420755520655,38.23418075995934,81.84357879724472,35.0
31,7.203289348657577,33.63536338497625,67.7435747176729,35.0
32,15.586536997553695,30.686335730685062,74.46182152572587,35.0
33,-6.610045594500663,33.70059629408934,65.35286870717857,35.0
34,12.472783987018373,36.02520496124277,64.4327958240277,35.0
35,18.649037279401984,35.75736311674972,73.13457039784755,35.0
36,22.235317967755254,31.490423219478636,68.34171995848254,35.0
37,35.281331869013414,32.78580930691731,81.66871693259179,35.0
38,-1.963703663397148,38.298113745963505,65.18548769377233,35.0
39,14.438629851796794,33.53161686801734,74.47769862831834,35.0
40,6.636479440124937,33.10096579194052,60.00759712370881,35.0
41,33.05000140044612,36.23099101522337,83.48817434413331,35.0
42,17.729184970504246,30.954531191947297,78.33028549092228,35.0
43,26.974544093571055,34.976044986949006,71.70823004073614,35.0
44,34.61945705186742,37.04370977192334,67.2447941921361,35.0
45,10.691937752920087,34.47702640660847,67.21152119240705,35.0
46,12.981365990267017,37.00219347020522,89.67777588263327,35.0
47,5.085558909316761,29.94371853196398,87.73786194931792,35.0
48,10.900386419431122,32.72923540738276,70.53939298511106,35.0
49,3.7516455861887845,31.84753920412392,82.95552875621708,35.0
50,-2.474458689944546,38.929909433647545,80.98294872657627,35.0
51,1.0395525069797467,36.12168873861445,88.50063888974509,35.0
52,7.5702894594278956,35.71185360797986,80.68572502638379,35.0
53,1.0942537833255548,25.285417883612382,69.5177270975841,35.0
54,4.105736902488022,32.33836267509426,72.30160590803284,35.0
55,13.793140055882212,35.741648698435824,79.21409079877238,35.0
56,19.932227480730447,33.509467981666845,84.02510052978663,35.0
57,4.301745586860419,37.23099407837792,66.49982589426433,35.0
58,-20.17583016725815,39.34687957961698,84.02451309434004,35.0
59,6.153406258055675,37.15854949609026,88.2759992714221,35.0
60,2.4907219430027787,36.07303536733396,56.44201020007563,35.0
61,16.791137981893023,37.12454374742183,56.5095913045313,35.0
62,14.49610971190275,34.49299159340251,76.26649859024529,35.0
63,33.924270217092555,35.06137731851831,86.31678884271602,35.0
64,43.78922879129956,31.50934046739295,83.26252219075235,35.0
65,34.18033836604456,34.652018720965344,79.23837884114279,35.0
66,36.19129793050718,32.56193377831465,95.43142900328755,35.0
67,12.861080393286667,29.46053981316608,96.21803490753146,35.0
68,1.9088779102233826,34.245592599265734,59.33797505660484,35.0
69,12.549907996570354,28.56886516521876,83.83503186227813,35.0
70,16.63139155914179,37.894170397846224,72.15340970197009,35.0
71,14.8339126439052,39.410934943547886,67.36519881306964,35.0
72,-5.062723708059662,35.74935833409094,71.3718886430694,35.0
73,15.216386218520217,38.592123590756444,67.8749230869143,35.0
74,3.000699877219801,34.89521998555649,79.42911212258464,35.0
75,24.030415790395182,33.1964148740231,72.2629856665221,35.0
76,8.666958317163683,38.43026975877709,68.53948622678337,35.0
77,-19.35771679594891,37.12312436258618,43.26779123000628,35.0
78,43.46289641494657,30.27715410250734,76.99840288665814,35.0
79,32.38812299559858,32.88870795198869,80.65635603841835,35.0
80,2.889210407159114,32.998850314979684,78.97757946062144,35.0
81,5.0153937019100665,38.88304624490634,62.277715945298375,35.0
82,13.878219446056864,35.97488886341593,55.690528674368906,35.0
83,-1.0229718052221357,39.12126324834647,69.03751462967018,35.0
84,12.018524447881974,32.747474902655924,65.18331337202197,35.0
85,9.408871362641296,37.887782999448326,61.47042682645757,35.0
86,-3.141402806855225,31.724077143587603,67.43166822017437,35.0
87,8.618910378700132,39.51014070894594,56.17550562329163,35.0
88,4.731110697333349,31.483479620005006,82.11743916342954,35.0
89,-4.8643632823797,30.425962813742174,83.6266642066771,35.0
90,29.84692613684563,40.84753917435068,76.11866959233024,35.0
91,-7.336371032258095,36.17745879381082,62.83324272559345,35.0
92,8.497514876379583,40.11904712231092,77.12728467697406,35.0
93,-11.776552562667517,33.96143935352716,63.32205960133476,35.0
94,-1.3000417913744509,37.05312699100515,80.15752968724507,35.0
95,-6.683592095051714,37.03523338207348,60.62186395206037,35.0
96,31.980820579281573,32.236635524263654,82.12394215126166,35.0
97,19.64810660940348,31.94953162705515,75.19079076709374,35.0
98,-10.968888491134646,34.658209101473794,81.5512171823926,35.0
99,8.61753899339568,39.981879349166064,74.36175975952354,35.0
100,-3.480470313592382,35.665870581546294,69.26900240298244,35.0
101,18.400444092501537,34.116463675930284,85.22371592330191,35.0
102,20.962067640753958,34.88873231030719,60.5351791666629,35.0
103,-2.245156297443683,33.05877139178945,62.37681017566999,35.0
104,10.523723745511596,35.396526043046,78.48263358826358,35.0
105,49.716430829000956,33.95313010418086,87.2502631749788,35.0
106,22.563213898828486,34.4548402747799,76.7198675485215,35.0
107,13.772305531252623,35.92157139400536,62.17283943743378,35.0
108,4.820986125473471,37.468981523945786,92.6037989471576,35.0
109,29.072558785073053,33.46217075217963,73.0454678156547,35.0
110,31.88073040841291,36.68679077808925,68.46924780224437,35.0
111,30.34710650974775,35.695809487911404,61.36238945998218,35.0
112,1.4389548841472477,31.115827850514513,79.66748964492638,35.0
113,21.86834579198112,30.50019573619908,64.3364096928325,35.0
114,11.827214055059429,39.37187188886659,88.02953779909004,35.0
115,4.614229942217151,29.918555208085394,59.37658832773386,35.0
116,1.9442303446642661,36.84941055295386,64.01500031613402,35.0
117,-10.224491588929602,37.57391148293452,67.75778751249511,35.0
118,22.504940512564374,30.561555422967785,87.5498651314639,35.0
119,-1.4876739869268913,38.842498700270305,72.5387309133249,35.0
120,28.72720288904921,38.183182557020736,57.717419581864114,35.0
121,32.7857037041739,29.723259840019118,90.4576564614356,35.0
122,18.717168999824594,31.99048804363267,77.76643174247874,35.0
123,-0.7061422341503336,30.4922670489766,61.43570373146621,35.0
124,3.7648447494354054,38.219070138220005,38.98485710936307,35.0
125,16.982916459208894,31.546786954814504,61.88425598099211,35.0
126,14.832296750272032,26.919392734414817,66.73849873639266,35.0
127,39.327199886308776,37.02111409377548,88.25241547009057,35.0
128,2.6100970264396217,32.87262508690388,81.66525714875137,35.0
129,-5.815335939953556,34.56523961106829,52.57550841219494,35.0
130,-4.93423839722363,31.17253635819737,76.93984598564894,35.0
131,28.599364796127126,36.72558165342853,86.9782774370925,35.0
132,-22.937887999205856,38.51590074134188,78.60824202767337,35.0
133,28.65462212212721,38.040140347351745,78.23508112285779,35.0
134,-8.016880801238385,35.3260213116913,88.24061880028509,35.0
135,7.766655990829676,34.21339067930847,80.51911162550604,35.0
136,-3.4216222268659986,38.76624604437914,73.63799726095715,35.0
137,-1.5874182960614647,41.67445679929157,82.83781589479104,35.0
138,5.68538559375442,37.64310955046973,65.24704116711857,35.0
139,-7.444073949336216,38.20888410317233,55.828127491094214,35.0
140,19.95734227244378,34.60653790713186,84.99535857586385,35.0
141,1.6520517933504593,37.566936258907475,87.40566400189745,35.0
142,6.485185739463874,36.195020573957,61.665262929656066,35.0
143,11.833691350065507,28.33447319005858,87.95070659959013,35.0
144,49.063759153534384,37.02933599400003,68.9300886024076,35.0
145,28.311387505257976,31.765679588848357,71.8740847491623,35.0
146,4.215096818725224,36.707742263238885,78.6192817874451,35.0
147,48.054509155077106,36.09258979367663,74.93451079618484,35.0
148,30.38899771867795,33.19301224605937,88.0051636209151,35.0
149,14.699756534000214,35.463529731575235,79.78728355770563,35.0
150,9.32848672262162,33.0705051211135,66.9499272338531,35.0
151,24.87815135527126,34.226280185798494,96.69186368912237,35.0
152,24.33899592737044,32.537032524552416,79.43624015663242,35.0
153,12.896426976052833,38.82600827718324,71.03768211205677,35.0
154,14.927968109600831,35.49701764641916,70.27513314291333,35.0
155,29.222544377990097,33.129497304167344,71.19049462446799,35.0
156,13.65264750943298,34.61251909909614,63.04993500943427,35.0
157,3.4607734086517423,35.63117567872942,61.045871242114806,35.0
158,8.929947660701451,36.157937018513124,61.73366911507595,35.0
159,-9.209611951470002,31.642841167102056,60.80809209276793,35.0
160,-17.088415293481177,38.27630175573344,69.61961813605565,35.0
161,-9.636911070814168,35.89677933119522,66.1223003972574,35.0
162,-2.7152516972260257,34.82346733279915,94.7811984402054,35.0
163,43.30324839699862,43.688387691509796,99.56223868328318,35.0
164,30.117642303649706,33.00630276459845,82.42711114284937,35.0
165,3.246145102538216,41.009454677495114,97.45874519983751,35.0
166,2.726860686893543,28.333921979341216,62.746905905294824,35.0
167,-20.43218436985725,35.43475843503378,56.98374853350784,35.0
168,10.495851964290873,41.98257512218856,97.53458595774559,35.0
