unit_id,JobThroughput,RackInletTemp,CpuClock,do_CoolingAggressiveness
0,-27.826436918537453,65.2382107374582,45.371769504966046,95.0
1,-33.30885467951438,65.49602679519307,41.481334498548456,95.0
2,-28.667628367865635,65.23444905989321,53.905154287619446,95.0
3,-22.569599742391116,71.7599290454949,26.119730028320873,95.0
4,-30.997521184701462,68.16711801326655,49.04912488852675,95.0
5,-26.706729835210908,68.22383871592939,77.68340040094279,95.0
6,-29.114553757333674,77.28462326614749,53.07698257851601,95.0
7,-34.717938863427136,73.28980525911601,36.04356741625065,95.0
8,-21.924754209232244,66.04875169570454,43.245988174031716,95.0
9,-23.400946343223303,85.43857690734326,71.88442669028743,95.0
10,-28.689453042890197,75.23792376532816,37.878570682356866,95.0
11,-24.94557136131365,63.23826800057867,65.2542443035897,95.0
12,-22.55403146097122,91.87467755690099,56.94602436838195,95.0
13,-24.701708371168692,57.645032855868195,53.36211435773905,95.0
14,-26.425717910371375,78.89487434987912,32.66261450979522,95.0
15,-28.387490914140493,60.24656800714674,73.68880367216894,95.0
16,-23.381565010504136,78.59781526711566,39.55595476753128,95.0
17,-8.228594356298387,66.45093832776571,66.95222199890695,95.0
18,-29.517019153017817,73.06251085251859,23.129081450950036,95.0
19,-17.434246494654914,68.00640738703287,30.36173379590799,95.0
20,-17.664580820494788,86.7965654176949,69.55214288133631,95.0
21,-22.712195855374663,82.98317512959433,55.31884949647045,95.0
22,-21.60520030037066,62.953184224397724,40.583371518583434,95.0
23,-20.489267074865037,77.6972911884906,48.01118816373583,95.0
24,-5.908639227341176,107.83057556091717,61.57749107829412,95.0
25,-30.937791786039796,77.69748709745153,33.95613395584569,95.0
26,-22.35230975804311,66.73345664794009,42.640992183801515,95.0
27,-31.80847481857622,82.7245150971886,58.68379790226245,95.0
28,-28.774771946668274,70.37451096795836,40.26349604538926,95.0
29,-29.17634016094019,71.52538084057575,31.102043936414187,95.0
30,-8.625251557218691,94.07798954855375,48.78985499558955,95.0
31,-24.00240663529711,79.78388120680515,75.64044756694618,95.0
32,-21.70873076204,91.074082273196,23.17819745722187,95.0
33,-16.417567016151033,96.49711242335458,38.93822882007769,95.0
34,-34.65723232294082,66.76813457293588,45.47680353459802,95.0
35,-30.37391979833162,72.17231984852108,54.82860866052131,95.0
36,-12.26655455786748,82.5154234571938,64.80807272137432,95.0
37,-28.323774579530152,71.2218709469142,41.99265805061762,95.0
38,-33.22046637902272,59.035332511499874,50.93493002054683,95.0
39,-4.974471268115721,89.27932872625782,84.30967465217638,95.0
40,-33.244016939304636,74.0955406811855,34.46505505732152,95.0
41,-28.750672175962436,86.6325176537603,66.73127824626035,95.0
42,-17.623177779639157,60.12036852463279,55.888563088923235,95.0
43,6.2036324686601425,77.45246333126755,55.8994042184503,95.0
44,-25.003620815473482,66.769490051901,42.64077940236177,95.0
45,-20.601634027026147,64.32348449245318,67.25177024436181,95.0
46,-21.387919876493186,90.23193451513414,47.11432378590906,95.0
47,-15.586444983776126,67.64513617109705,57.00536046815155,95.0
48,-4.39482978008413,87.5041837821485,69.43647818026702,95.0
49,-24.754113033523613,92.49755069799802,45.11428785328563,95.0
50,-15.244030608922902,72.37840388008078,43.0063288926436,95.0
51,-5.14965567304277,76.85408860545326,57.49006550307312,95.0
52,-22.01351880073399,79.84655864342946,55.27138616449976,95.0
53,-23.46359338554425,70.81530129092468,48.74027246364027,95.0
54,-5.685102411509511,76.76460664989449,50.94012802702684,95.0
55,-17.081916934413933,79.89002051836214,71.08720633265057,95.0
56,-28.029579921402146,78.80982436912896,43.40765766836018,95.0
57,-27.756472049271608,82.13588119908071,62.40211272419647,95.0
58,-27.419518484279724,66.91147086749504,18.951895969878787,95.0
59,-8.468997127107237,88.07780183345773,55.48627390935368,95.0
60,-26.247802751596197,73.03636961608836,65.01513223191691,95.0
61,-21.157753621192196,79.10017012771951,23.099460643425523,95.0
62,-33.270543902263185,76.57436067713984,50.85430540068645,95.0
63,-16.547742533269844,75.11796541636836,35.853585656280536,95.0
64,-21.283724850310424,67.13809462009593,68.02803650581292,95.0
65,-19.717491007949583,80.83464037438424,31.599152007775253,95.0
66,-35.92528700590715,61.64539086188196,35.02805172161818,95.0
67,-27.651941183331274,74.92681682994458,40.46443345232395,95.0
68,13.29694143811816,61.58460090567177,58.85298874013794,95.0
69,-19.603660568397373,87.64407043022086,44.14241921411057,95.0
70,-29.370020499203516,65.10589343476775,54.872033156146465,95.0
71,-17.662948364294497,84.80701778844397,33.27915758791566,95.0
72,-22.48139359091766,98.99013506859865,55.070964498982384,95.0
73,-22.45144514641327,74.6548662215644,8.746890119350073,95.0
74,-28.16166885153464,74.13631627647361,32.106546091478755,95.0
75,-29.551311616452203,83.67517184067106,58.37385266283186,95.0
76,-25.89097268554767,75.70788598928084,62.588580657453896,95.0
77,-18.30820347899588,76.85271803338624,45.04334014320259,95.0
78,-5.866415069151712,96.02829335412002,56.41923927480411,95.0
79,-16.47425553119265,71.81382015942033,43.93571849280851,95.0
80,-29.753792280215208,54.89520864319843,39.17840404849757,95.0
81,-19.03776106158894,75.47787107333595,55.194758747954964,95.0
82,-11.904657754360265,88.68794582915696,29.500337758567067,95.0
83,-30.124628939648154,73.62257077963423,22.62983823674294,95.0
84,-37.783404482750306,62.382332771533804,34.85355148631065,95.0
85,2.667729987691719,94.43291399178732,45.42236236233566,95.0
86,-21.640743970780342,75.19548567997205,40.435295579979154,95.0
87,-22.860147634339373,66.16389678791231,49.49512307912709,95.0
88,-27.840087676977657,76.87598576068689,81.196654124127,95.0
89,-24.057718683802552,84.32138749470248,75.07600730540656,95.0
90,-16.631133270924696,71.86619959075851,72.46167906181155,95.0
91,-30.505129146440392,84.68748519189654,48.465295567995156,95.0
92,-20.562032221703298,56.634957123168405,43.28131171900684,95.0
93,-35.8970182477141,69.85782917993747,62.778172014650586,95.0
94,-25.17818826481186,70.86353253949248,57.458143160615876,95.0
95,-19.37344255235032,80.98526597058,44.576077414929046,95.0
96,-33.55563833829477,75.6216874195551,79.78620983620829,95.0
97,-25.69744931184819,79.02369810487335,63.51780748503197,95.0
98,-20.85730108297276,81.76326678587711,47.6761000354911,95.0
99,-23.04064979787747,72.70236448998806,39.54817726974676,95.0
100,-28.750951493972668,68.39582370546373,44.50312463954967,95.0
101,-19.291252308972812,75.10642314144752,58.43458819829218,95.0
102,-18.082996738767225,74.8822427506386,45.02875930319694,95.0
103,-27.46222401080605,83.69206915112993,60.00735962153798,95.0
104,-30.553074230550063,80.92481302038888,57.54513937051612,95.0
105,-27.458813623483845,83.73825640742265,55.49726330668819,95.0
106,-35.47972091997415,72.54226852140926,54.63670853783336,95.0
107,-15.824207359328025,71.45179603701764,35.846734539633694,95.0
108,-30.879807445750192,65.90938625828733,76.85481920944822,95.0
109,-29.975923474546633,56.833020722445504,39.37998026805884,95.0
110,-27.10046642892076,71.40649704159446,56.03154814645623,95.0
111,-22.599005608237363,92.88190474867518,59.339870171693285,95.0
112,-19.920500357906313,65.15373847188948,47.20919814605612,95.0
113,-24.801204405860595,79.11437637073152,58.119474309363135,95.0
114,-31.16991284477448,63.641408564888124,41.30817761789877,95.0
