unit_id,HarvestBiomass,AmmoniaLevel,WaterTempAqua,StockingDensity,do_Aeration
0,18.472469242472776,65.76922997478358,48.51081220981195,64.91307336244805,75.0
1,21.658911127784553,45.91975545808875,52.5033828112224,37.891338752092665,75.0
2,18.340235038783682,79.04340832883648,45.0120110788142,35.4841419568679,75.0
3,21.720724779768986,79.45327061426343,49.71008067027203,57.609032916889156,75.0
4,19.317089630141748,60.605298873203765,51.939570257534555,38.18966773678706,75.0
5,19.316051598413825,24.899576765256548,55.80427125642491,61.32703223640536,75.0
6,24.18563864294131,57.166124692406385,43.22623036417096,18.70400602235005,75.0
7,21.406035455711297,32.038626003328126,42.414795955669106,31.51963051039207,75.0
8,16.485339692606015,47.99111456325387,59.33016540532268,45.09476475246196,75.0
9,21.68938437782988,42.371989827933135,66.1485060194341,18.030036468215865,75.0
10,10.74080289824075,56.60009856894064,28.55305735908229,35.62067004111276,75.0
11,18.27721318318211,62.87190593400643,44.33678877175175,64.63588122845351,75.0
12,21.32044669864069,40.39183421433903,44.74531118115388,52.710726952939915,75.0
13,21.859357014068166,50.30840277424302,37.73035288077102,35.46038085771865,75.0
14,23.594631806425042,71.85524275527527,54.576269933913196,38.81147528067643,75.0
15,26.44762465947963,35.13857735391612,44.74607723142394,33.643329188382744,75.0
16,18.071039990558628,33.974906919302065,62.062943159998845,35.94541469031548,75.0
17,20.37651302128783,51.66217906882999,46.57317885704241,21.844274571376125,75.0
18,19.75929350999817,36.73314158251064,63.840652948763854,47.439414125064594,75.0
19,18.928177827841246,46.116412228657175,73.01820174940045,25.64041215372231,75.0
20,21.00685790185313,51.5503130206031,66.59817480639002,37.44970828616112,75.0
21,18.042206171394955,48.01585633934397,50.95158669670348,57.51564418152089,75.0
22,23.328698045546293,41.95042385676021,51.939453969125374,31.3849337025877,75.0
23,23.853874259939396,50.80128344614967,48.66974633396404,52.05933326678974,75.0
24,19.1867079107924,44.002207330450254,60.00232550951399,35.88628012612011,75.0
25,13.639869817122557,25.076267201067303,40.37017262685113,28.217274086017348,75.0
26,25.122452491542735,51.10852609519145,34.4815496506525,25.453242884968528,75.0
27,20.00692155446927,40.50243354912281,79.27320888604035,52.85753264333827,75.0
28,22.598380705611532,39.29550590812953,39.230913598162374,20.07929526838211,75.0
29,21.7829004051859,65.82498974068307,60.13310488653163,23.766718887784382,75.0
30,18.28919684455381,70.13288631027996,66.77636884077079,29.69068907137266,75.0
31,18.56428566946562,69.79685342534677,66.00772985372477,39.27883380096189,75.0
32,21.791745810035607,28.02727863955209,60.208470449923446,31.37798042150414,75.0
33,21.309426755415476,20.485740469319026,47.05102458269133,71.13625964480585,75.0
34,17.165034913761918,40.87274265259243,49.06862381570079,69.33732632362151,75.0
35,19.039217153296487,22.422444229957918,42.795821036333564,40.01699916121187,75.0
36,19.17552851488287,38.53919451054819,43.428938280225154,46.46049911620611,75.0
37,19.503986184452536,39.663608001954756,58.100907639467216,61.36133224997124,75.0
38,13.9411893062816,56.56835201821468,55.08483793834344,60.654592766561166,75.0
39,22.37638357979767,32.008435520079786,45.90860210003844,65.63405818751545,75.0
