unit_id,HarvestBiomass,AmmoniaLevel,WaterTempAqua,StockingDensity,do_set_WaterpH
0,9.37081349054684,52.18548841265973,34.212034897493524,51.48396466781776,60.0
1,16.745053604042035,58.40768398637781,59.7223075836039,41.10567168362138,60.0
2,13.354437634779858,53.71115337459718,53.02474231780782,36.70807647817911,60.0
3,7.440829800104921,55.897826061396515,58.37636796340737,46.73760135393903,60.0
4,6.233069786694656,41.28469617505365,61.45947050078536,54.53606548096935,60.0
5,17.681317479373334,57.6464892124224,44.11608912278588,41.889299692542274,60.0
6,16.95160559061164,51.18352915077006,46.05877451745081,37.292882947017446,60.0
7,-13.111999685097981,49.91646067742426,46.98771070863476,56.17482204246867,60.0
8,24.138051068642568,33.9093231635827,44.43643062818926,38.87901435231814,60.0
9,16.530010875732387,51.2369206978658,57.39524899168249,30.33360241357424,60.0
10,-19.105909329070272,70.19644266448002,43.432067417850774,69.31726992669645,60.0
11,23.530815699131047,32.80705881574483,57.145623424913296,46.66282352260941,60.0
12,16.930561725107715,38.25014871202531,46.02667339719058,39.10965197127739,60.0
13,21.07346732212042,48.650287608851585,48.44957855797446,47.990798812194754,60.0
14,17.596821016703633,51.09943902128462,54.799650529524335,36.30727613343996,60.0
15,7.771490093335782,43.48044103759093,57.15408928554803,24.61382417349025,60.0
16,-24.743846073717137,43.680874598407385,34.45401521632262,73.40492425051734,60.0
17,11.088474083158951,46.73586991998552,60.35278902127272,38.1918460806866,60.0
18,13.244379970664905,49.03025896017539,74.03005642965361,46.46138341456353,60.0
19,16.985613060455872,25.160594975986267,37.47664171884804,40.059944066493024,60.0
20,8.82950278551685,53.42995766310621,63.146975272485186,50.597189035559005,60.0
21,13.345398431864002,43.36872734221849,55.662454549024574,54.95056816906447,60.0
22,15.398821470989123,32.39934148081556,35.10718862088494,42.0924777349205,60.0
23,15.95395184521745,40.99487384676501,48.72461434027041,40.70722815271009,60.0
24,19.051847799549314,32.0187587253522,53.093725378285036,30.565540309686682,60.0
25,20.75974826101313,63.056457089784374,57.925933130476174,40.00354283617305,60.0
26,14.388680769213757,44.474124146456674,63.2037519372608,16.980193507665163,60.0
27,1.520181763402641,50.64482833008837,68.86795456821203,56.27432668686652,60.0
28,19.980447610852686,47.995033755724116,43.465816076642184,39.70846972143736,60.0
29,13.722790143376178,39.64545718590495,65.08903518108616,46.016455046612734,60.0
30,24.176216211312806,45.71340045394893,37.76087103282474,52.002379614510254,60.0
31,21.53702526898503,53.06504691017931,51.52511977726802,32.15398065502787,60.0
32,19.254257476156877,67.66465753017262,46.83972732316305,38.590461313480034,60.0
33,15.749900413033712,70.67157049656014,74.79121745056628,25.636498634951444,60.0
34,12.549729320539994,53.2903296926145,41.18701180239883,39.20275225383108,60.0
35,19.65724190362296,45.95633725000052,43.59430849545196,47.9956970641967,60.0
36,20.237834638334338,42.06112002156279,59.47115302314027,40.7739492031213,60.0
37,-14.26393000976291,54.03318839615968,36.51423228653062,59.69828102004837,60.0
38,8.55676164326448,47.83156014715376,41.802190753445174,42.161081764757185,60.0
39,27.502129688216314,60.980106524618606,57.158362856766175,26.16284226282174,60.0
