unit_id,CapacityRetention,do_set_CoolingPlateTemp,do_DryRoomControl,do_ChargeRate
0,19.60034372151967,45.0,50.0,20.0
1,17.270761731659857,45.0,50.0,20.0
2,24.849932970006243,45.0,50.0,20.0
3,13.808956513979215,45.0,50.0,20.0
4,15.363107119855318,45.0,50.0,20.0
5,19.389216665717754,45.0,50.0,20.0
6,23.641992562459365,45.0,50.0,20.0
7,23.289724707074,45.0,50.0,20.0
8,25.602794810604305,45.0,50.0,20.0
9,19.093538982729733,45.0,50.0,20.0
10,18.210109413047096,45.0,50.0,20.0
11,26.053685093215282,45.0,50.0,20.0
12,18.377898243036398,45.0,50.0,20.0
13,16.866523450946193,45.0,50.0,20.0
14,19.883981049368344,45.0,50.0,20.0
15,15.80232341676008,45.0,50.0,20.0
16,28.342561059758086,45.0,50.0,20.0
17,21.001195921746156,45.0,50.0,20.0
18,25.101144918969492,45.0,50.0,20.0
19,19.62552384734735,45.0,50.0,20.0
20,23.77072156454865,45.0,50.0,20.0
21,17.470579415849343,45.0,50.0,20.0
22,23.21005020537756,45.0,50.0,20.0
23,19.89479871294226,45.0,50.0,20.0
24,20.412095240740737,45.0,50.0,20.0
25,22.227818966305893,45.0,50.0,20.0
26,16.471912414813115,45.0,50.0,20.0
27,24.760709188209262,45.0,50.0,20.0
28,22.931870150933467,45.0,50.0,20.0
29,25.636456911526935,45.0,50.0,20.0
30,18.310471446051128,45.0,50.0,20.0
31,27.818958735887502,45.0,50.0,20.0
32,14.486744189200778,45.0,50.0,20.0
33,23.316320932278995,45.0,50.0,20.0
34,28.396703093618044,45.0,50.0,20.0
35,16.243236606389285,45.0,50.0,20.0
36,28.438360334891865,45.0,50.0,20.0
37,21.856292744333327,45.0,50.0,20.0
38,8.66036299068631,45.0,50.0,20.0
39,15.560484107257825,45.0,50.0,20.0
40,23.701660105841555,45.0,50.0,20.0
41,20.149427328630836,45.0,50.0,20.0
42,23.67199649907906,45.0,50.0,20.0
43,16.720693403515305,45.0,50.0,20.0
44,22.48742165643855,45.0,50.0,20.0
45,13.570977661691307,45.0,50.0,20.0
46,28.923981982925568,45.0,50.0,20.0
47,14.254889006800267,45.0,50.0,20.0
48,22.8264243377339,45.0,50.0,20.0
49,21.679469371823636,45.0,50.0,20.0
50,17.9518834022123,45.0,50.0,20.0
51,20.711286453160028,45.0,50.0,20.0
