unit_id,CapacityRetention,do_ChargeRate,do_DryRoomControl,do_set_CoolingPlateTemp
0,20.1367817381228,20.0,30.0,45.0
1,15.330330946580263,20.0,30.0,45.0
2,19.227026717162442,20.0,30.0,45.0
3,22.1627347551682,20.0,30.0,45.0
4,16.283191090131773,20.0,30.0,45.0
5,21.195332504238763,20.0,30.0,45.0
6,18.86448477911233,20.0,30.0,45.0
7,15.80105019876516,20.0,30.0,45.0
8,20.734747074495235,20.0,30.0,45.0
9,20.5988279207088,20.0,30.0,45.0
10,19.14578088910816,20.0,30.0,45.0
11,22.921703009157575,20.0,30.0,45.0
12,22.252334027755694,20.0,30.0,45.0
13,17.91877901310719,20.0,30.0,45.0
14,19.080413075758976,20.0,30.0,45.0
15,15.941820115866957,20.0,30.0,45.0
16,22.919198199422343,20.0,30.0,45.0
17,18.132700117505955,20.0,30.0,45.0
18,16.669775675624376,20.0,30.0,45.0
19,15.000111667127374,20.0,30.0,45.0
20,26.28611153381805,20.0,30.0,45.0
21,23.355161661556945,20.0,30.0,45.0
22,16.82505135502972,20.0,30.0,45.0
23,21.20478957103815,20.0,30.0,45.0
24,31.381700477973983,20.0,30.0,45.0
25,16.978065434003828,20.0,30.0,45.0
26,14.967400116163219,20.0,30.0,45.0
27,17.451478879653532,20.0,30.0,45.0
28,16.851550481817736,20.0,30.0,45.0
29,20.68876874170653,20.0,30.0,45.0
30,26.037322377774608,20.0,30.0,45.0
31,22.949990370381023,20.0,30.0,45.0
32,20.919692954746758,20.0,30.0,45.0
33,21.635232119857896,20.0,30.0,45.0
34,13.58041553969425,20.0,30.0,45.0
35,14.538875651998788,20.0,30.0,45.0
36,19.811009141627718,20.0,30.0,45.0
37,18.219876504603903,20.0,30.0,45.0
38,13.82076967994435,20.0,30.0,45.0
39,24.275682919207227,20.0,30.0,45.0
40,13.895961327634005,20.0,30.0,45.0
41,19.497400445459263,20.0,30.0,45.0
42,13.388670728553235,20.0,30.0,45.0
43,26.341948890892755,20.0,30.0,45.0
44,20.465021063764155,20.0,30.0,45.0
45,18.63989450410605,20.0,30.0,45.0
46,25.302716802968902,20.0,30.0,45.0
47,18.233278821178864,20.0,30.0,45.0
48,23.510287281653476,20.0,30.0,45.0
