unit_id,CapacityRetention,ChargeRate,do_ChargeRate
0,17.25717223453218,38.965074116802136,40.0
1,7.439967258268301,39.0423648510761,40.0
2,17.179991716601183,37.614769974179055,40.0
3,15.422201079119553,35.07634777862576,40.0
4,12.322385626155585,43.59789400075231,40.0
5,15.024725053347366,42.67451477659603,40.0
6,14.389133421057528,43.96623256821624,40.0
7,16.38696492335726,39.47868824505663,40.0
8,22.776244779956272,42.42940234140182,40.0
9,7.889099382906905,38.233593380318084,40.0
10,9.120183186331897,41.538447836076806,40.0
11,14.27314418371208,39.82275627431616,40.0
12,19.332965193077218,42.19307969121061,40.0
13,22.63080247066109,36.23053858558611,40.0
14,24.593429153665497,42.05009467586893,40.0
15,14.259490140845234,35.358862160137456,40.0
16,10.499457254902108,37.52367475532748,40.0
17,14.207505193947906,40.162086813868605,40.0
18,20.389532905738648,41.83463445923949,40.0
19,12.803827144985213,37.928264219705454,40.0
20,30.877867949192918,41.81907709280613,40.0
21,5.870846477684371,36.40812305093916,40.0
22,17.26851328876632,41.85212225555259,40.0
23,19.384935761051548,46.47153573507368,40.0
24,15.76002838899354,36.836152398566526,40.0
25,13.422161036563047,34.49990715381215,40.0
26,21.149969333462558,35.53902355863858,40.0
27,9.164200040582385,42.125286753806996,40.0
28,16.07985603461607,42.859444148211864,40.0
29,15.707571563869674,38.68250030141671,40.0
30,17.063232105598487,43.23418075995934,40.0
31,11.680062513239783,38.63536338497625,40.0
32,17.87336378411452,35.68633573068506,40.0
33,21.05417265807454,38.70059629408934,40.0
34,16.66002560140263,41.02520496124277,40.0
35,14.84946180813127,40.75736311674972,40.0
36,23.365538994815587,36.490423219478636,40.0
37,18.49775611597887,37.78580930691731,40.0
38,14.175434821718493,43.298113745963505,40.0
39,21.412791697718184,38.53161686801734,40.0
40,13.299364330238685,38.10096579194052,40.0
41,15.885466456339145,41.23099101522337,40.0
42,13.665016261697225,35.9545311919473,40.0
43,19.094681956521544,39.976044986949006,40.0
44,19.514844682531027,42.04370977192334,40.0
45,15.388158943456181,39.47702640660847,40.0
46,24.278992476088707,42.00219347020522,40.0
47,19.64349425247377,34.94371853196398,40.0
48,15.518978374233303,37.72923540738276,40.0
49,13.014481427607896,36.84753920412392,40.0
50,15.873733913904006,43.929909433647545,40.0
51,14.24239922185729,41.12168873861445,40.0
52,16.970970985122605,40.71185360797986,40.0
53,13.23706339727237,30.285417883612382,40.0
54,14.175332740016522,37.33836267509426,40.0
55,14.372357025761744,40.741648698435824,40.0
56,16.062268412663656,38.509467981666845,40.0
57,15.070548325261612,42.23099407837792,40.0
58,19.047818025396616,44.34687957961698,40.0
59,19.742872930291355,42.15854949609026,40.0
60,15.945658194151985,41.07303536733396,40.0
61,17.496962964183282,42.12454374742183,40.0
62,20.499836718896354,39.49299159340251,40.0
63,18.58508407618747,40.06137731851831,40.0
64,23.388236801944032,36.50934046739295,40.0
65,19.202432298703613,39.652018720965344,40.0
66,20.336365481126983,37.56193377831465,40.0
67,19.98228868407905,34.46053981316608,40.0
68,14.242616968134659,39.245592599265734,40.0
69,17.713258805612888,33.56886516521876,40.0
70,14.7541702790756,42.894170397846224,40.0
71,19.133045287495094,44.410934943547886,40.0
72,13.730418469271244,40.74935833409094,40.0
73,10.031506996963309,43.592123590756444,40.0
74,16.447338793265565,39.89521998555649,40.0
75,16.142631539227384,38.1964148740231,40.0
76,11.766046993517376,43.43026975877709,40.0
77,3.2974565390994792,42.12312436258618,40.0
78,22.669410941154958,35.27715410250734,40.0
79,22.410358436461877,37.88870795198869,40.0
80,15.339577952633539,37.998850314979684,40.0
81,13.71758096597016,43.88304624490634,40.0
82,8.05771989886216,40.97488886341593,40.0
83,11.781806983991492,44.12126324834647,40.0
84,15.396201004491544,37.747474902655924,40.0
85,16.89275701212504,42.887782999448326,40.0
86,12.622420286834576,36.72407714358761,40.0
87,13.50043297069509,44.51014070894594,40.0
88,19.516927263089357,36.483479620005006,40.0
89,16.76414172210798,35.425962813742174,40.0
90,15.330617127192786,45.84753917435068,40.0
91,11.98305609391121,41.17745879381082,40.0
92,17.340669835024322,45.11904712231092,40.0
93,11.743852832737993,38.96143935352716,40.0
94,18.445383591362205,42.05312699100515,40.0
95,10.427030109526967,42.03523338207348,40.0
96,17.905942190925597,37.236635524263654,40.0
97,16.49422675701524,36.94953162705515,40.0
98,8.467948218963349,39.658209101473794,40.0
99,17.248564172629056,44.981879349166064,40.0
100,19.434374848844843,40.665870581546294,40.0
101,20.627432035022032,39.116463675930284,40.0
102,11.014337278883719,39.88873231030719,40.0
103,9.864463546455994,38.05877139178945,40.0
104,19.27930645148676,40.396526043046,40.0
105,21.8091002605469,38.95313010418086,40.0
106,16.13349155344018,39.4548402747799,40.0
107,8.80258918401499,40.92157139400536,40.0
108,17.73052874371694,42.468981523945786,40.0
109,16.891397404367677,38.46217075217963,40.0
110,20.96953697270035,41.68679077808925,40.0
111,12.923007910681282,40.695809487911404,40.0
112,13.951469478857234,36.11582785051451,40.0
113,12.938393338234603,35.500195736199075,40.0
114,22.74481413629599,44.37187188886659,40.0
115,12.699115731387245,34.918555208085394,40.0
116,13.163582493187848,41.84941055295386,40.0
117,13.477158420604923,42.57391148293452,40.0
118,30.50937953756532,35.561555422967785,40.0
119,12.626715403300734,43.842498700270305,40.0
120,14.77769878640275,43.183182557020736,40.0
121,27.088785694888077,34.72325984001912,40.0
122,18.03857111412982,36.990488043632666,40.0
123,8.905689319314273,35.4922670489766,40.0
124,10.452784866233078,43.219070138220005,40.0
125,18.45907811014527,36.5467869548145,40.0
126,15.084921011510463,31.919392734414817,40.0
127,25.678330470569772,42.02111409377548,40.0
128,22.868505417146455,37.87262508690388,40.0
129,7.234095281767718,39.56523961106829,40.0
130,16.24699337114862,36.17253635819737,40.0
131,20.825327784268964,41.72558165342853,40.0
132,11.43749701491106,43.51590074134188,40.0
133,17.09518789926113,43.040140347351745,40.0
134,15.985719205317656,40.3260213116913,40.0
135,15.893755888476782,39.21339067930847,40.0
136,15.163239034095497,43.76624604437914,40.0
137,10.172392530196275,46.67445679929157,40.0
138,17.674108342211056,42.64310955046973,40.0
139,9.394238572230742,43.20888410317233,40.0
140,20.050366455296814,39.60653790713186,40.0
141,12.576656623671525,42.566936258907475,40.0
142,14.139489304806638,41.195020573957,40.0
143,18.283677051019517,33.33447319005858,40.0
144,16.951613809731427,42.02933599400003,40.0
145,19.257134276979194,36.76567958884836,40.0
146,17.243788048228968,41.707742263238885,40.0
147,19.26948667223929,41.09258979367663,40.0
148,21.641916939529636,38.19301224605937,40.0
149,16.215663820177312,40.463529731575235,40.0
150,12.541936731258915,38.0705051211135,40.0
151,21.943860048608524,39.226280185798494,40.0
152,16.838108863327285,37.537032524552416,40.0
153,13.638493059093477,43.82600827718324,40.0
154,11.718643223186486,40.49701764641916,40.0
155,22.321874804626493,38.129497304167344,40.0
156,15.664446237588892,39.61251909909614,40.0
157,15.900687129239653,40.63117567872942,40.0
158,12.46768029094541,41.157937018513124,40.0
159,8.73465921525192,36.642841167102056,40.0
160,14.994667203414888,43.27630175573344,40.0
161,12.94820505459045,40.89677933119522,40.0
162,21.75067522260831,39.82346733279915,40.0
