unit_id,CapacityRetention,do_DryRoomControl,do_ChargeRate
0,23.25701806146086,75.0,40.0
1,23.178157851659094,75.0,40.0
2,14.949594174256788,75.0,40.0
3,23.615769731899103,75.0,40.0
4,13.7675084374699,75.0,40.0
5,19.5763676520978,75.0,40.0
6,14.99240055524596,75.0,40.0
7,18.69176554799788,75.0,40.0
8,10.619196783159287,75.0,40.0
9,11.412667888472532,75.0,40.0
10,18.38771292443525,75.0,40.0
11,10.796002612132886,75.0,40.0
12,19.30761828246099,75.0,40.0
13,22.499066810194172,75.0,40.0
14,22.393969711500905,75.0,40.0
15,21.41287430267753,75.0,40.0
16,15.385327658348727,75.0,40.0
17,20.49956524651513,75.0,40.0
18,25.029373815647123,75.0,40.0
19,14.489222047396893,75.0,40.0
20,15.569994544688484,75.0,40.0
21,23.501505450556504,75.0,40.0
22,7.157222172322543,75.0,40.0
23,23.67810638118598,75.0,40.0
24,12.968422525796651,75.0,40.0
25,26.972069080960605,75.0,40.0
26,12.06683645320948,75.0,40.0
27,20.015691773740016,75.0,40.0
28,10.934268934084521,75.0,40.0
29,17.102733011824203,75.0,40.0
30,12.322340475797036,75.0,40.0
31,24.60846546833028,75.0,40.0
32,16.686671860792586,75.0,40.0
33,12.038727247821601,75.0,40.0
34,5.6266004147508095,75.0,40.0
35,12.834138759697344,75.0,40.0
36,13.218674724836518,75.0,40.0
37,11.628513769898534,75.0,40.0
38,16.84688369959939,75.0,40.0
39,24.580210027395392,75.0,40.0
40,19.304062185676592,75.0,40.0
41,14.677942210287844,75.0,40.0
42,21.120552352342077,75.0,40.0
43,16.884143761884687,75.0,40.0
44,24.241676939169096,75.0,40.0
45,15.802979218577303,75.0,40.0
46,17.308614851571722,75.0,40.0
47,20.921994315580278,75.0,40.0
48,22.10645802904846,75.0,40.0
49,18.90400696135798,75.0,40.0
50,22.345340715641406,75.0,40.0
51,15.13025369097189,75.0,40.0
52,18.624850291152985,75.0,40.0
53,23.86293194307993,75.0,40.0
54,18.018793047488387,75.0,40.0
55,19.736793992655965,75.0,40.0
56,18.829121305006733,75.0,40.0
57,13.201884683516091,75.0,40.0
58,22.38708217537388,75.0,40.0
59,19.643619043267776,75.0,40.0
60,13.10494923955693,75.0,40.0
61,17.89983864435728,75.0,40.0
62,16.17782125457053,75.0,40.0
63,10.959046248413122,75.0,40.0
64,23.02770787483522,75.0,40.0
65,22.980410734557687,75.0,40.0
66,26.097774789153377,75.0,40.0
67,15.435664921772908,75.0,40.0
68,23.13604841824041,75.0,40.0
69,25.449553701340776,75.0,40.0
70,15.81179393307672,75.0,40.0
71,23.825430648299893,75.0,40.0
72,10.459100796125853,75.0,40.0
73,21.26029521676011,75.0,40.0
74,18.11437695190139,75.0,40.0
75,18.57107358595945,75.0,40.0
76,16.1596337255488,75.0,40.0
77,14.683445337992259,75.0,40.0
78,17.33793174875563,75.0,40.0
79,19.462181344182596,75.0,40.0
80,18.505806050756345,75.0,40.0
81,23.162767083126425,75.0,40.0
82,12.642912420896456,75.0,40.0
83,13.030034384589793,75.0,40.0
84,17.763794080424137,75.0,40.0
85,9.683032092442325,75.0,40.0
86,19.58317473152497,75.0,40.0
