unit_id,CapacityRetention,do_ChargeRate,do_DryRoomControl,do_set_CoolingPlateTemp
0,20.01252666998816,15.0,50.0,45.0
1,23.180665368281918,15.0,50.0,45.0
2,11.515831822845584,15.0,50.0,45.0
3,26.081728801619263,15.0,50.0,45.0
4,25.009997148330875,15.0,50.0,45.0
5,25.77652699021659,15.0,50.0,45.0
6,21.626227973207456,15.0,50.0,45.0
7,18.718699879166135,15.0,50.0,45.0
8,21.78857306450973,15.0,50.0,45.0
9,19.011831899638317,15.0,50.0,45.0
10,22.197773123045447,15.0,50.0,45.0
11,23.710241691697014,15.0,50.0,45.0
12,23.88899972503143,15.0,50.0,45.0
13,26.46069229543479,15.0,50.0,45.0
14,13.292167079560258,15.0,50.0,45.0
15,23.917097814146203,15.0,50.0,45.0
16,16.97475557956277,15.0,50.0,45.0
17,19.352172995821658,15.0,50.0,45.0
18,22.064360218185744,15.0,50.0,45.0
19,15.692994263324174,15.0,50.0,45.0
20,19.440783904359183,15.0,50.0,45.0
21,13.710545938069968,15.0,50.0,45.0
22,28.626405600684546,15.0,50.0,45.0
23,16.873040675724575,15.0,50.0,45.0
24,20.87932435753467,15.0,50.0,45.0
25,19.421184047138894,15.0,50.0,45.0
26,30.407632263365233,15.0,50.0,45.0
27,17.54063846769161,15.0,50.0,45.0
28,15.973873319118299,15.0,50.0,45.0
29,19.714510890852992,15.0,50.0,45.0
30,24.389539705034124,15.0,50.0,45.0
31,18.489184502715016,15.0,50.0,45.0
32,19.830456670429847,15.0,50.0,45.0
33,14.26041493323472,15.0,50.0,45.0
34,14.625101988077443,15.0,50.0,45.0
35,28.906623100225428,15.0,50.0,45.0
36,19.433485753554585,15.0,50.0,45.0
37,19.064504288987724,15.0,50.0,45.0
38,19.0323297026115,15.0,50.0,45.0
39,14.664152552309027,15.0,50.0,45.0
40,14.795334060773923,15.0,50.0,45.0
41,23.12475898047805,15.0,50.0,45.0
42,22.763545179496703,15.0,50.0,45.0
43,20.728303687773856,15.0,50.0,45.0
44,24.545903961674338,15.0,50.0,45.0
45,24.580341969021998,15.0,50.0,45.0
46,23.925755440898048,15.0,50.0,45.0
47,17.305736162597796,15.0,50.0,45.0
48,20.971655224778218,15.0,50.0,45.0
49,21.283149126757806,15.0,50.0,45.0
50,20.328846100700932,15.0,50.0,45.0
51,16.981833742873533,15.0,50.0,45.0
52,32.74876959768372,15.0,50.0,45.0
53,13.226192265760515,15.0,50.0,45.0
54,14.480358061504047,15.0,50.0,45.0
55,19.591429603811843,15.0,50.0,45.0
56,22.368480079094432,15.0,50.0,45.0
57,21.90316143944022,15.0,50.0,45.0
58,15.595180774856095,15.0,50.0,45.0
59,13.376353380864765,15.0,50.0,45.0
60,18.89973623082634,15.0,50.0,45.0
61,25.532278195041936,15.0,50.0,45.0
62,8.10614591815577,15.0,50.0,45.0
63,25.41902432125916,15.0,50.0,45.0
64,24.936449426277534,15.0,50.0,45.0
65,19.357989908768943,15.0,50.0,45.0
66,23.631095737293343,15.0,50.0,45.0
67,14.266778539881027,15.0,50.0,45.0
68,19.591108159091746,15.0,50.0,45.0
69,23.254343151671577,15.0,50.0,45.0
70,22.63984222720603,15.0,50.0,45.0
71,23.728532134952772,15.0,50.0,45.0
72,13.646031676727102,15.0,50.0,45.0
73,23.3627112406083,15.0,50.0,45.0
74,19.540422395450147,15.0,50.0,45.0
75,18.6659153341103,15.0,50.0,45.0
76,21.638201218013936,15.0,50.0,45.0
77,22.719117964783237,15.0,50.0,45.0
78,15.61311934289363,15.0,50.0,45.0
79,21.07191085383709,15.0,50.0,45.0
80,23.731167173068243,15.0,50.0,45.0
81,22.839034702150638,15.0,50.0,45.0
82,21.756032195635864,15.0,50.0,45.0
83,21.250810890580237,15.0,50.0,45.0
84,17.568196298617917,15.0,50.0,45.0
85,18.1095695744675,15.0,50.0,45.0
86,22.220388578603128,15.0,50.0,45.0
87,28.366894068583566,15.0,50.0,45.0
88,21.035108484666395,15.0,50.0,45.0
89,18.643146589688975,15.0,50.0,45.0
90,21.48365020785617,15.0,50.0,45.0
91,13.027133331459634,15.0,50.0,45.0
92,21.57783412215883,15.0,50.0,45.0
93,16.340925707763304,15.0,50.0,45.0
94,22.744173352058457,15.0,50.0,45.0
95,11.280941349863292,15.0,50.0,45.0
96,25.935759019353725,15.0,50.0,45.0
97,23.946546595318953,15.0,50.0,45.0
98,23.320263244569407,15.0,50.0,45.0
99,16.50616938768358,15.0,50.0,45.0
100,18.63430294398428,15.0,50.0,45.0
101,19.41555767564581,15.0,50.0,45.0
102,21.185378075825483,15.0,50.0,45.0
103,22.56389100660936,15.0,50.0,45.0
104,24.810767720207835,15.0,50.0,45.0
105,30.82157632562219,15.0,50.0,45.0
106,22.444279910978487,15.0,50.0,45.0
107,28.351277982690753,15.0,50.0,45.0
108,19.547434766081036,15.0,50.0,45.0
109,22.60846932738719,15.0,50.0,45.0
110,22.146859527145693,15.0,50.0,45.0
111,25.614703777951643,15.0,50.0,45.0
112,20.303121912412372,15.0,50.0,45.0
113,14.526985076768725,15.0,50.0,45.0
114,19.99213922154751,15.0,50.0,45.0
115,22.243695244815473,15.0,50.0,45.0
116,15.713752477479908,15.0,50.0,45.0
117,19.03708458693656,15.0,50.0,45.0
118,20.159063641831345,15.0,50.0,45.0
119,15.991400343922535,15.0,50.0,45.0
120,21.196274691321623,15.0,50.0,45.0
121,15.550284329349441,15.0,50.0,45.0
122,21.705495727039796,15.0,50.0,45.0
123,20.867707643275317,15.0,50.0,45.0
124,16.771703667333874,15.0,50.0,45.0
125,15.466265496103432,15.0,50.0,45.0
126,21.51148999938682,15.0,50.0,45.0
127,18.51909689669158,15.0,50.0,45.0
128,15.962753969359005,15.0,50.0,45.0
129,24.625600861739198,15.0,50.0,45.0
130,16.50197651915121,15.0,50.0,45.0
131,25.27358847771426,15.0,50.0,45.0
132,19.176119889663426,15.0,50.0,45.0
133,21.74944129129209,15.0,50.0,45.0
134,20.09849850221414,15.0,50.0,45.0
135,20.473877943410926,15.0,50.0,45.0
136,31.158224560558907,15.0,50.0,45.0
137,20.60955037913965,15.0,50.0,45.0
138,27.900146690593225,15.0,50.0,45.0
139,9.47775466940712,15.0,50.0,45.0
140,13.752990143667425,15.0,50.0,45.0
141,20.998434104838168,15.0,50.0,45.0
142,24.849934986380468,15.0,50.0,45.0
143,16.535919042483453,15.0,50.0,45.0
144,13.75463244955898,15.0,50.0,45.0
145,20.149597370930195,15.0,50.0,45.0
146,24.163885261765127,15.0,50.0,45.0
147,32.0607218535529,15.0,50.0,45.0
148,32.08716337096946,15.0,50.0,45.0
149,27.6757832277111,15.0,50.0,45.0
150,22.560586150484568,15.0,50.0,45.0
151,20.0268394040514,15.0,50.0,45.0
152,15.45569807226363,15.0,50.0,45.0
153,19.78337261003064,15.0,50.0,45.0
154,21.46809407949021,15.0,50.0,45.0
155,21.2852624745546,15.0,50.0,45.0
156,23.341194560957884,15.0,50.0,45.0
157,11.424417937584447,15.0,50.0,45.0
158,14.061026207021667,15.0,50.0,45.0
159,25.099553188969992,15.0,50.0,45.0
160,20.887771972193274,15.0,50.0,45.0
161,16.99296189281134,15.0,50.0,45.0
162,22.445213428465333,15.0,50.0,45.0
163,23.238942185314407,15.0,50.0,45.0
164,15.862134481902714,15.0,50.0,45.0
165,22.700837632550652,15.0,50.0,45.0
166,20.616021585738,15.0,50.0,45.0
167,16.186606576548343,15.0,50.0,45.0
168,21.490762667291992,15.0,50.0,45.0
169,18.122788457381482,15.0,50.0,45.0
170,12.489397098134228,15.0,50.0,45.0
171,22.555586190170732,15.0,50.0,45.0
172,20.552569034469112,15.0,50.0,45.0
173,24.58279880360243,15.0,50.0,45.0
174,19.524520862966522,15.0,50.0,45.0
175,20.4251239881495,15.0,50.0,45.0
176,28.61171170246188,15.0,50.0,45.0
177,17.6460997973752,15.0,50.0,45.0
178,21.626452781082477,15.0,50.0,45.0
179,16.673129514500197,15.0,50.0,45.0
180,23.73269441074609,15.0,50.0,45.0
181,19.627885452355383,15.0,50.0,45.0
182,17.83831215331022,15.0,50.0,45.0
183,20.707577228986224,15.0,50.0,45.0
184,9.425871037007877,15.0,50.0,45.0
185,21.654365926856112,15.0,50.0,45.0
