unit_id,CapacityRetention,ElectrolyteFillVolume,do_DryRoomControl,do_ChargeRate
0,10.694165306942214,39.820686816653726,75.0,15.0
1,25.012464014037594,39.853462406223855,75.0,15.0
2,12.557135715868133,50.757008647935386,75.0,15.0
3,17.91382222875735,49.004423926542884,75.0,15.0
4,15.085647391212087,54.51632476634475,75.0,15.0
5,11.347661101541892,40.534987665281164,75.0,15.0
6,14.708873581406701,66.05009998737941,75.0,15.0
7,25.147719188442544,61.61116942267863,75.0,15.0
8,17.708447600449603,64.82091745366817,75.0,15.0
9,12.536945161150841,37.30387431167032,75.0,15.0
10,15.085527091271947,50.72530238615807,75.0,15.0
11,20.200786624672023,41.97340698399021,75.0,15.0
12,15.385841838578635,39.23495991133736,75.0,15.0
13,17.57621054282144,67.94482872416646,75.0,15.0
14,15.816414110083219,55.71977346833672,75.0,15.0
15,13.043797057342443,39.18349471113292,75.0,15.0
16,15.330781635665442,56.115596583030225,75.0,15.0
17,18.735215764972047,38.49515760349253,75.0,15.0
18,16.45764198173303,56.19202385015213,75.0,15.0
19,15.300567705435961,30.33662792607448,75.0,15.0
20,21.127634478083493,39.686696884481634,75.0,15.0
21,15.963333560995954,34.3716854462001,75.0,15.0
22,17.187495105802483,30.26541599821419,75.0,15.0
23,20.920993331227002,19.98734659495487,75.0,15.0
24,21.666953922885984,71.84567520255202,75.0,15.0
25,20.757757948978462,49.03698273206336,75.0,15.0
26,18.547893731186484,52.36232192156147,75.0,15.0
27,20.666657794847808,34.74655112440475,75.0,15.0
28,11.54827802434898,47.75206970033027,75.0,15.0
29,21.41684218195947,50.45388205860968,75.0,15.0
30,22.510421857358484,40.96730903458908,75.0,15.0
31,21.20388665462864,64.59560594094441,75.0,15.0
32,21.35698728010523,40.466504741517376,75.0,15.0
33,10.26593377787772,41.692652962505754,75.0,15.0
34,13.662362727414227,54.554295557087634,75.0,15.0
35,21.009043724037063,53.77068278585476,75.0,15.0
36,22.007443097443932,46.32819933259526,75.0,15.0
37,15.820577951659477,69.64965295801628,75.0,15.0
38,18.200327303744707,43.044142820693104,75.0,15.0
39,22.458269291517816,35.45909259776453,75.0,15.0
40,18.48966127142162,47.65185409856956,75.0,15.0
41,22.536968319450764,65.87453458417392,75.0,15.0
42,19.353966647877503,39.64857214315683,75.0,15.0
43,14.80571634658916,57.86300900140658,75.0,15.0
44,18.887413649364817,64.41618352983791,75.0,15.0
45,21.66881369948828,58.37312021002714,75.0,15.0
46,24.084278376038643,52.72889481205414,75.0,15.0
47,15.076693334601748,41.7836289664052,75.0,15.0
48,21.21673405077362,40.02102430413965,75.0,15.0
49,17.995492151748465,52.35119144135865,75.0,15.0
50,22.164436930513247,40.416356882031955,75.0,15.0
51,25.263741713341147,70.21770721878202,75.0,15.0
52,17.441219993676306,46.49580192976202,75.0,15.0
53,15.316951443663564,34.01275170946664,75.0,15.0
54,15.433545580048614,59.87966319224757,75.0,15.0
55,19.556362401320122,61.14828046257681,75.0,15.0
56,12.993981467206797,42.36730951170526,75.0,15.0
57,15.196924879832885,43.09786316043295,75.0,15.0
58,11.032774158823566,55.54918793573636,75.0,15.0
59,19.15329650293607,34.68259435335122,75.0,15.0
60,22.27890303075273,47.29048935969941,75.0,15.0
61,20.428782064424418,55.21665439792742,75.0,15.0
62,26.08067523646927,36.610450514953286,75.0,15.0
63,19.353539612231387,53.69339990155816,75.0,15.0
64,17.780420909619757,53.917615709014335,75.0,15.0
65,16.594522338734834,46.12169214348197,75.0,15.0
66,13.874747624611812,41.33148749858809,75.0,15.0
67,21.218997185373148,56.346881877872896,75.0,15.0
68,12.323061239496163,46.2290528838302,75.0,15.0
69,6.252444825066097,39.989346575347255,75.0,15.0
70,20.595381752479675,38.03404115203398,75.0,15.0
71,13.336155506948442,48.880758253373564,75.0,15.0
72,9.588189531148519,54.85958565038068,75.0,15.0
73,13.290699270578148,43.29614401232124,75.0,15.0
74,22.207690571712902,58.20664135521478,75.0,15.0
75,23.101097189841102,46.87077555578017,75.0,15.0
76,13.34866859042773,42.15311002276553,75.0,15.0
77,13.683139192246925,57.97017349427677,75.0,15.0
78,12.049522324109997,31.417816011855695,75.0,15.0
79,20.147963640994725,33.4217849655317,75.0,15.0
80,10.710134387768377,79.23993243069395,75.0,15.0
81,21.76328446873038,59.872854210619195,75.0,15.0
82,20.455710774638895,41.43951907924185,75.0,15.0
83,18.197313039186405,79.02940665734363,75.0,15.0
84,20.125998108201802,58.53754276808808,75.0,15.0
85,16.429545543125915,59.72861246533256,75.0,15.0
86,24.918936712433954,60.46739701873825,75.0,15.0
87,23.859133856571702,51.25041085896023,75.0,15.0
88,12.274212940508049,52.474517010087276,75.0,15.0
89,18.81096694482412,57.722665825187086,75.0,15.0
90,12.669940551505864,61.167081739404296,75.0,15.0
91,22.599109935822906,41.69762919205391,75.0,15.0
92,17.721384926211794,44.36111179518063,75.0,15.0
93,19.021123579249892,66.27640055430783,75.0,15.0
94,22.52401472058191,28.597264962264234,75.0,15.0
95,12.964794745489465,55.35588959772664,75.0,15.0
96,16.042761348992535,52.696188119812604,75.0,15.0
97,17.101103576252726,27.329657625005567,75.0,15.0
98,18.83973607276137,52.57707155384743,75.0,15.0
99,16.328983263483757,40.07300902558946,75.0,15.0
100,25.21958463009211,58.241500321403265,75.0,15.0
101,15.382087022803777,57.906985672142945,75.0,15.0
102,13.518575329827026,50.03916237349781,75.0,15.0
103,9.525983945542139,67.44664356351615,75.0,15.0
104,21.887909952647544,52.505237456284384,75.0,15.0
105,14.116927436445895,68.24834619441526,75.0,15.0
106,28.154627146021028,38.22163349255414,75.0,15.0
107,12.477149238081537,46.51099693274125,75.0,15.0
108,14.024358484913709,56.10088205145833,75.0,15.0
109,15.418279417646689,53.52522556390726,75.0,15.0
110,18.893937653168862,66.21926481462475,75.0,15.0
111,19.466930568566024,43.16810026421046,75.0,15.0
112,13.552586281889617,25.4640005463495,75.0,15.0
113,13.476197418715458,55.742295364850065,75.0,15.0
114,18.46202086996547,65.45507535585857,75.0,15.0
115,22.031029837039952,42.882200590907985,75.0,15.0
116,15.98563431974588,57.242720223338196,75.0,15.0
117,17.201567837732302,72.08989399252725,75.0,15.0
118,19.657353969263035,58.76621060368891,75.0,15.0
119,19.09388877050341,61.94022549860733,75.0,15.0
120,23.80542810791457,49.25194196488971,75.0,15.0
121,10.80952911791777,50.38458540664599,75.0,15.0
122,17.12528144964769,51.42059891602734,75.0,15.0
123,19.138509535775412,36.15021968477577,75.0,15.0
124,26.59370927358179,46.975764522951884,75.0,15.0
125,16.996820217590862,74.08553991167089,75.0,15.0
126,14.785438802376238,49.95685943001243,75.0,15.0
127,14.936745702258012,73.98080336498056,75.0,15.0
128,18.55492112520894,60.809798496511476,75.0,15.0
129,15.82161585121232,29.88020866256877,75.0,15.0
130,18.92848284942977,51.19885828810304,75.0,15.0
131,24.249125122377887,54.42307070825276,75.0,15.0
132,9.871644887370007,61.383672949533846,75.0,15.0
133,15.894727186971481,65.39229182622849,75.0,15.0
134,13.292867843322545,43.66607245243509,75.0,15.0
135,18.198077179793778,48.4291284389094,75.0,15.0
136,15.48378284400209,53.274226627711116,75.0,15.0
137,12.898277036780803,35.81307759676828,75.0,15.0
138,21.326734938852642,47.94342120346964,75.0,15.0
139,17.886958024319853,59.885914675112,75.0,15.0
140,15.91652468824745,50.22170945966834,75.0,15.0
141,23.35648199197113,69.70277387891821,75.0,15.0
142,10.470222164909515,57.82805651951917,75.0,15.0
143,21.50466300602203,35.92941470335817,75.0,15.0
144,20.989839765453457,63.32962752662852,75.0,15.0
145,19.53721857782863,61.61732354727001,75.0,15.0
146,17.25763948550465,35.59985466810312,75.0,15.0
147,12.405357422765448,52.948358353471974,75.0,15.0
148,15.776161532992257,46.268175962151126,75.0,15.0
149,14.63250701239461,39.31042926605464,75.0,15.0
150,17.71014240229738,55.352983334328805,75.0,15.0
151,15.726205726075545,50.14598841322346,75.0,15.0
152,20.18460581949728,27.281785853438734,75.0,15.0
153,23.595649792409493,68.42822121595648,75.0,15.0
154,26.346467816010538,59.98265990380489,75.0,15.0
155,14.873695352867912,50.45233927595006,75.0,15.0
156,21.437913983635134,67.09893818496239,75.0,15.0
157,11.780656450721608,31.59984579342282,75.0,15.0
158,18.5926222593332,38.08389656900222,75.0,15.0
159,19.74665661803058,47.2590736583534,75.0,15.0
160,12.98550307541018,57.67499070392313,75.0,15.0
161,22.77059425382483,55.82815736917628,75.0,15.0
162,11.900381241707565,51.225496164475665,75.0,15.0
163,22.084516833471785,42.47370609488379,75.0,15.0
164,17.391506433468773,46.354358614970806,75.0,15.0
165,19.713219365458546,63.083874291532275,75.0,15.0
166,25.972909697436798,42.81973023065781,75.0,15.0
167,23.334942279270383,49.69306579815187,75.0,15.0
168,17.044235623210355,46.82719024249281,75.0,15.0
169,15.010368627147162,43.586674196647635,75.0,15.0
170,15.465282793390584,62.30101794630014,75.0,15.0
171,10.058620691373484,59.366539666760076,75.0,15.0
172,15.648242712064594,51.101522192190686,75.0,15.0
173,19.197327048038193,38.662814397488845,75.0,15.0
174,13.012170139306711,16.66330861451673,75.0,15.0
175,7.299767830789218,39.00371821367759,75.0,15.0
176,20.73942538700242,49.18281385708303,75.0,15.0
177,10.807617649350211,45.738377832356456,75.0,15.0
178,16.473550598993867,69.04237691232537,75.0,15.0
179,29.62037925426283,48.41314995613081,75.0,15.0
