unit_id,CapacityRetention,ChargeRate,ElectrolyteFillVolume,do_ChargeRate
0,16.010474127711387,19.612655435685344,38.04394333752607,20.0
1,20.63579104943985,23.803797701626316,40.05926323286404,20.0
2,14.561850473894035,17.49078244830163,40.16283052104471,20.0
3,19.28264047707267,21.30099213955896,49.80613565543006,20.0
4,17.9728089171207,24.247828052023166,75.43956713432429,20.0
5,15.730334063890954,18.293871858235793,52.82205448081619,20.0
6,20.7994766102527,17.54462420815533,28.4673591731859,20.0
7,20.25971876937936,12.134399087485017,81.44687930928777,20.0
8,12.953170825795139,17.415798067602754,62.387464461883184,20.0
9,19.890457586705153,22.12805573792841,48.440570482643444,20.0
10,9.244135440836596,23.12363838069682,63.19024696897589,20.0
11,15.165297800235571,16.322079298074666,40.39107660117189,20.0
12,19.626567920875036,20.328054099211286,57.40256748469601,20.0
13,20.728378371050752,22.456214263981195,30.091169695254518,20.0
14,21.78949008092298,24.736442667246678,48.243603440711595,20.0
15,24.500768699093435,22.803996558676598,51.133813926332515,20.0
16,15.753535573931327,16.72480597196575,56.08094424353974,20.0
17,18.746722619241492,15.519606081337548,61.69695509932818,20.0
18,17.20503935843559,17.021310292180377,36.65669131708477,20.0
19,16.26690070929604,25.77375669134956,55.632922565558935,20.0
20,18.689744254329632,19.649342137298266,32.389064788701795,20.0
21,15.72724256037173,19.30384467309867,48.69014191717343,20.0
22,22.843053530767197,24.428380974106744,64.17211112947321,20.0
23,21.304140662427717,16.62702973865089,22.922592566682308,20.0
24,17.726525588355727,24.591304727247383,53.327102942199595,20.0
25,12.631289289853354,17.668152226176282,67.70393197036346,20.0
26,22.94327419742893,20.52104403002722,48.28511940722504,20.0
27,19.04121914686223,24.25373438822042,59.288023434178946,20.0
28,20.122042827124552,15.32238357447506,61.42991684946351,20.0
29,17.486469437734595,20.988390445824884,40.1697940861562,20.0
30,14.701482574766764,19.577794972918294,56.14093055615949,20.0
31,16.562596591199537,15.509182322791293,33.2810225521699,20.0
32,20.593537905269933,12.698229963635303,55.62828284468328,20.0
33,18.81455190110952,20.55503087993786,39.9151506326602,20.0
34,15.175019212388865,19.882901344105147,62.246458887275665,20.0
35,15.83532155683071,18.692217572776542,46.07495019682162,20.0
36,17.584656557904566,20.789116016021765,32.98158749155352,20.0
37,17.821229699407777,22.03866380038311,16.292766649499576,20.0
38,12.152000842618548,19.216345958474093,55.75194780925569,20.0
39,18.822494225353168,17.82661969916947,48.65541883071767,20.0
40,14.967742043297608,22.70453284253621,54.64820166361057,20.0
