unit_id,ReadmissionRate,BloodPressure,Sodium,Creatinine,MedAdherence,FollowupDays,LengthOfStay
0,63.872428102277794,47.5692436388963,56.51395115146185,40.43031788719616,54.116943308390496,39.46801978983473,35.901967876383466
1,47.07509802227845,46.103490453700665,48.80507517614099,62.61252262023256,43.12336031993357,40.807418635225524,46.773791199343854
2,35.38777505107259,31.407782188851744,68.07712159279899,48.5833364451302,47.358468022789936,38.99463689803913,48.07016243448806
3,58.50221812381344,53.18041697552339,27.72249275401073,30.87882602029157,65.78580833158139,46.87246795312207,39.55943966435666
4,44.34331563442514,80.47468312434059,56.83396043061869,58.54561632580401,39.128614939856746,37.21376110627672,46.896686999425384
5,43.60453834859628,44.54306436456418,38.30448054933903,44.294985749273636,61.27674437480153,71.77743903716421,50.80955230346048
6,46.824022914980716,34.2440068130544,59.34337878061037,60.08669385718431,38.093709000531554,30.96308045107179,53.96370745870417
7,33.93886147805878,55.144732073922675,61.92915602801796,51.469855052632184,70.47166901604258,55.11845714154798,45.707800369973654
8,50.09118592610506,20.148944267471375,64.4324182245363,50.706291333135624,51.71472589649213,54.60664175828268,52.16822435339074
9,63.29151803733423,33.72228078051273,18.497703465669865,59.39354909485562,54.38872537823084,33.86526537358559,45.90631860815104
10,45.46837771505787,47.04874767152132,53.476421134290085,33.492017445516694,56.10493453665829,52.252973605661865,46.64337531718784
11,83.8644468725457,34.59121172271134,46.3735545317765,65.82593141073058,41.13630389430713,37.43981912993844,33.24094290260352
12,34.61379101733742,61.45704752670636,42.08822784554078,77.92060327193985,54.407398700329495,37.803150539914746,32.136404450684836
13,53.332817765429624,49.00139520122457,38.74443626141551,51.09517974219809,36.809766171527436,61.5922728901051,45.46619375655472
14,71.07943892406638,31.311766531481634,76.99233200077106,79.0194047744028,61.31364072923873,59.13107944103345,48.646791697595106
15,65.25249494030106,39.96764661336731,54.09995759982987,55.175008561743255,52.521780789468814,46.24012522435039,33.594380332959105
16,70.17069824382253,39.3113749535404,35.29967096198377,38.49941638300499,32.081321731391704,37.344810097049816,31.895225363045622
17,43.23785862668137,42.430329173788685,66.06351925343701,37.15661770146829,47.30184098869422,43.1563528955876,46.12520626857534
18,49.56142239998452,59.3432361297782,59.33015244400299,56.650647074246464,79.52652920843636,42.78179028853171,18.655547782832198
