unit_id,EC_Salinity,CropYield
0,49.287885947693496,23.274830732442545
1,49.24168536930767,24.351885475781316
2,55.76652854740541,16.476442080406212
3,34.53339943526951,22.856018991280973
4,45.91223881622944,23.976203175907813
5,69.89035727472675,19.615102331430798
6,33.979309981261494,19.635551188782944
7,44.80469038866879,23.36727564595315
8,57.60102793060669,18.774827905286713
9,52.03925565897439,24.184589771041097
10,66.04753294879549,15.090198827998943
11,56.60123799142751,22.600255824603718
12,45.57585881152244,21.065508946701748
13,48.11688799946353,15.123072766063242
14,64.31583609225258,17.247535501157802
15,55.26594610118916,20.878703846839354
16,49.94138127630196,24.929091192824163
17,46.33889906347466,17.051513211330104
18,53.73133896839971,24.854846216807275
19,49.84128748782886,20.47997379724277
20,52.05614171899542,18.180738647380497
21,47.5570491525775,22.117340280901757
22,20.897778887889935,17.167049051630073
23,51.986366384596685,23.39083177400974
24,63.134812967059,17.55363298405075
25,56.970687113411465,18.583650845475933
26,45.86345071749473,20.275248752940602
27,29.779139661767267,19.75607210914372
28,69.26022826604161,16.936507353307693
29,55.44651460776006,16.005605364565387
30,60.0885108386804,23.062310227601287
31,50.7461468687867,14.904885362689864
32,27.1865990810807,17.454448499438286
33,51.65362671987384,16.979849874116127
34,51.779935559938764,21.774435197063248
35,73.9779861702183,16.91766528280004
36,35.49836838267228,16.816184727711406
37,32.08466426063549,21.138083176298316
38,48.726022791639586,21.026193670820895
39,36.90580277688554,23.96582818927749
40,35.87277092135602,19.548227884402678
41,38.6025530670909,23.035447444326635
42,44.19219477201507,17.493503486132322
43,29.870504225865375,20.9453772468642
44,44.77817402522324,24.307354173748905
45,60.581338349555374,24.521550444507657
46,48.247743681095415,24.108248273543172
47,55.6339122549344,17.29631797589953
48,46.592566193163954,18.997805322025958
49,62.548627461716976,19.088674994040296
50,34.24163873849872,20.001041602645223
51,39.722064256429604,26.769828253416154
52,48.83492186200627,16.188116270987337
53,50.36186466471586,16.834691370245512
54,43.03888701602086,22.00939020899992
55,51.05579123927046,24.907024103068945
56,48.42760464871919,19.49631806784368
57,61.971309535745455,20.18752315549947
58,34.46749335238874,21.20738650662502
59,54.97020722202821,12.695926468139213
60,55.179716464035074,19.335752973524656
61,51.98706933472226,23.302098442876183
62,73.188037743042,20.155289530474032
63,54.481425698338846,23.143192348439218
64,49.42442798846399,20.756237781324963
65,52.017121837963124,16.020713432630117
66,45.21224232545075,15.358077960483138
67,55.05698213993038,23.808280201617606
68,43.470717021149795,20.0999864355108
69,53.23796668966474,12.441692413329775
70,57.67859583471675,11.56851992258975
71,36.54914999644074,22.305203877271666
72,53.760453738373656,21.13482147733749
73,51.32159507783838,17.467969884821937
74,49.74331594606351,17.70602571818003
75,34.373987007390895,23.907799416013557
76,72.09204140297271,24.37597605585768
77,59.09537282895601,20.504545608582475
78,46.049112475041554,18.116698489327735
79,41.22463062609576,18.548905132318165
80,74.71885781604519,19.170923133999977
81,52.111460551558686,24.165882693178865
82,46.56310976216655,19.191434590524103
83,51.43309561215915,21.59867200051966
84,46.91716728335896,21.479986945283173
85,45.95819552628003,27.693486028408458
86,77.16476042848757,17.80823486720503
87,48.59837894902101,21.198013591440624
