unit_id,CropYield,EC_Salinity,do_iron_fertigation
0,24.779234141147313,52.24260398869263,50.0
1,26.413362856051084,56.01329861948792,50.0
2,20.681024646166467,43.197867039437135,50.0
3,24.561248585381456,28.232787111033968,50.0
4,19.186711875267633,58.97251042742454,50.0
5,21.015063925184002,44.6093886435435,50.0
6,20.58506613343169,31.45591887997638,50.0
7,23.454718636623483,50.90652664849478,50.0
8,15.365693795182056,44.96601835004727,50.0
9,17.046675085693373,60.17575908257533,50.0
10,18.585455829181413,53.987081708952594,50.0
11,16.3805744089055,39.58785612609511,50.0
12,21.426948704704856,46.254719375056595,50.0
13,21.491946605180527,45.37329980126214,50.0
14,23.384974067086915,41.42264372856023,50.0
15,20.788632508076212,45.65593964604612,50.0
16,20.040303920588016,56.48167624458517,50.0
17,22.607542905289826,48.1131321417377,50.0
18,23.7486156721983,54.8649406265329,50.0
19,20.12138145034306,55.67175975362209,50.0
20,20.413797795015576,49.49109933809365,50.0
21,28.664507413711792,55.598342898508584,50.0
22,14.488616787945043,37.16723836590946,50.0
23,17.811982752708502,41.310799777810374,50.0
24,16.934259750081853,50.982310736633835,50.0
25,26.667625524610663,40.87726614545097,50.0
26,15.879827036056021,42.3886230601954,50.0
27,19.849554983654194,33.49089779554537,50.0
28,15.399470922322283,37.28687061549328,50.0
29,19.426123777578482,33.02175335330974,50.0
30,20.589067421670986,53.42881919590317,50.0
31,30.92712096169727,75.16631381685525,50.0
32,20.398458500832948,41.80639722762663,50.0
33,17.763424606521394,68.08806000470103,50.0
34,17.369113012870844,38.397207095033544,50.0
35,22.392216655700494,48.02975601536081,50.0
36,16.410748728860636,78.14212969814332,50.0
37,18.783073612343987,28.864578285811827,50.0
38,21.71988588242957,47.629078688843244,50.0
39,24.123008029259793,53.874718049340586,50.0
40,20.166554887895593,27.504102444748696,50.0
41,19.203410392640585,50.77052845085369,50.0
42,18.806352233993454,58.38832938729972,50.0
43,22.90865933335864,44.813688385062555,50.0
44,24.39333130492644,61.02453747736589,50.0
45,18.906020009044198,55.85112168122436,50.0
46,17.963812454998155,41.52017994709173,50.0
47,18.038387282885253,43.247162174906954,50.0
48,18.893070712649312,33.11851459765014,50.0
49,18.399212524504993,62.4556754589814,50.0
50,24.270445794555293,43.85548841310443,50.0
51,22.83691527707901,44.32383657810912,50.0
52,21.617732474440082,68.88594028137813,50.0
53,29.257690801261056,64.87068159673895,50.0
54,20.906578903325517,50.600505339537115,50.0
55,24.629258262149637,46.92724770990591,50.0
56,17.38195883710389,49.85244546860888,50.0
57,16.046271648712633,38.868535009869724,50.0
58,20.04138101059652,29.43418839369879,50.0
59,21.83270330875781,58.001329960841716,50.0
60,17.321076035211114,35.27858627050625,50.0
61,25.608999364693137,54.22060606348082,50.0
62,17.687352868190924,59.74831412073639,50.0
63,20.25366738568462,62.61465237378224,50.0
64,24.504135515813964,42.09068505938797,50.0
65,28.90035019057841,45.001892039336795,50.0
66,22.0851972882161,56.486264576326775,50.0
67,19.287881253054913,49.33606546861774,50.0
68,22.306597909086904,45.07348520717145,50.0
69,25.950566979488123,56.548287714132236,50.0
70,18.30450611692848,54.47335211437473,50.0
71,22.621971215265717,23.33010483303076,50.0
72,18.35100945836914,58.03352668453405,50.0
73,27.590834708713032,48.66725306578452,50.0
74,24.35627125310801,43.45587805069752,50.0
75,21.469910800459775,57.50648478264262,50.0
76,15.212277034827213,35.380822625973835,50.0
77,12.33735382843937,61.273883682740525,50.0
78,15.094350215916489,60.41711161156814,50.0
79,20.955993768307756,52.66853384596666,50.0
80,22.448947265766904,52.83048541336704,50.0
81,26.89913263906773,58.26687916783583,50.0
82,17.54502190701266,43.430339466707785,50.0
83,18.274954072315055,62.86748874343532,50.0
84,15.565902002327853,41.70584981672923,50.0
