unit_id,CropYield,LeafGreennessIndex,RootZoneTemp,do_ph_acidifier,do_iron_fertigation
0,50.03303817944717,31.110174728255757,40.69227866837298,70.0,50.0
1,49.39937488261006,30.803785461129678,45.621868978639846,70.0,50.0
2,48.532029610001935,30.910635763585944,54.238293273962704,70.0,50.0
3,53.471124305251124,30.350462668915604,44.454857384294385,70.0,50.0
4,46.276571634578936,30.66508859001714,59.94846604920261,70.0,50.0
5,52.33634738049999,30.947872860635105,48.138498455871975,70.0,50.0
6,51.997769716504045,30.750129320381742,43.81992227387378,70.0,50.0
7,49.61423351557457,30.247628695451894,51.563397851230356,70.0,50.0
8,49.279738638899694,30.82682720053446,54.71272228193313,70.0,50.0
9,46.092629276607205,30.454153621112226,39.865160822593054,70.0,50.0
10,50.21440225764633,30.80327818478233,50.41029103572591,70.0,50.0
11,50.33152979880028,30.506452209642962,46.721602140114065,70.0,50.0
12,51.36794708957279,29.763863684503615,63.815871549240526,70.0,50.0
13,52.088669612054495,31.115839943829123,29.43386304831544,70.0,50.0
14,44.477429125092094,30.298201397592486,34.612458727539625,70.0,50.0
15,50.432527359471706,30.857240540367467,67.5885887160636,70.0,50.0
16,51.099111111776594,30.48315485982092,42.117535474225605,70.0,50.0
17,50.301883413823326,31.10584444898816,36.312809429755895,70.0,50.0
18,52.92235692525431,30.719416026562094,37.56051432133679,70.0,50.0
19,43.90470477673728,30.71536937480744,83.26554593973997,70.0,50.0
20,45.918544275538274,30.890010298372225,26.954268583287405,70.0,50.0
21,47.535912345003744,30.861745369809743,52.0671978117755,70.0,50.0
22,52.81140037590247,30.327659489240073,51.57912503292839,70.0,50.0
23,43.264926865975184,31.15052355218909,31.41179471874682,70.0,50.0
24,45.95941574206584,30.611804735930328,55.56333696319458,70.0,50.0
25,43.75854739280751,30.949067052519933,61.672188090024115,70.0,50.0
26,57.059361848355266,30.16109749605251,54.84500803917183,70.0,50.0
27,45.2391538307562,29.5607858021282,63.89135195896086,70.0,50.0
28,50.02663817794408,30.55065262444727,43.89901582713116,70.0,50.0
29,48.073442605371504,30.489172580068384,48.88349360575506,70.0,50.0
30,49.94593506454256,30.777083356051264,72.50612837372893,70.0,50.0
31,47.76940434041892,29.954706959734335,65.52944828788719,70.0,50.0
32,50.272843992229056,31.567082833464816,54.54489996862138,70.0,50.0
33,44.43013691583171,30.258561426876426,40.6546340602614,70.0,50.0
34,49.20577283739412,30.53192353197632,60.78704160587956,70.0,50.0
35,53.40136842266135,31.428533994028736,59.44048852836836,70.0,50.0
36,53.034657274298546,31.621700395082,35.902689806303194,70.0,50.0
37,48.610779823376866,30.855767916428256,38.450235705768826,70.0,50.0
38,47.83614143043042,30.88972456914162,39.63789299162684,70.0,50.0
39,45.316490080416976,30.91090462441699,52.82076502594948,70.0,50.0
40,48.18970883676698,31.211606975796442,58.073185782672844,70.0,50.0
41,48.815801253080664,30.65808881098318,33.35763390307977,70.0,50.0
42,49.46929650472845,30.677762700623525,31.80159394843683,70.0,50.0
43,45.46602954119821,30.15528488397362,44.89007721966369,70.0,50.0
44,55.00778179856552,31.35993712242236,46.599020227262294,70.0,50.0
45,54.130525689994975,30.551581172610874,33.50015868941076,70.0,50.0
46,55.18704479268578,31.007872301651634,46.20554623361129,70.0,50.0
47,46.115915726397624,30.361046022050257,62.42157447894977,70.0,50.0
48,46.38499020722735,30.654283132601762,50.25778238606901,70.0,50.0
49,49.42176684223157,31.260458507662737,58.980217887799995,70.0,50.0
50,51.248674244751854,30.571585183748375,46.52652986257665,70.0,50.0
51,42.323199994181394,30.832902496953306,39.891020167201646,70.0,50.0
52,53.72580200092016,30.958811161666645,48.993406153631945,70.0,50.0
53,47.750693343725786,31.56363279908878,64.11830517448388,70.0,50.0
54,45.036634688517026,31.601147154305565,48.416915477960124,70.0,50.0
55,48.48682844495166,30.377188725498666,48.669574522427844,70.0,50.0
56,50.552744985247465,30.66429728574874,54.45120041858576,70.0,50.0
57,51.90641624714878,30.576823647300227,40.21122042692991,70.0,50.0
58,43.352679496864866,31.39130831184824,50.416318359384015,70.0,50.0
59,42.80444470762308,30.133195835408905,38.258409155060285,70.0,50.0
60,46.29718962086363,30.618878609574228,19.63525479419076,70.0,50.0
61,55.4113454642614,30.645709035672652,45.509785288067945,70.0,50.0
62,44.66222139936635,31.277642599918668,29.183945979255643,70.0,50.0
63,53.410382086490934,31.505921681678355,50.152650160611934,70.0,50.0
64,54.711385131909005,31.508398679128735,66.13669249124047,70.0,50.0
65,47.92042643337784,30.520519284090554,48.97835678692296,70.0,50.0
66,52.614776053962466,31.33818204270153,43.375451008449076,70.0,50.0
67,47.28689163424057,30.138996577123596,53.82377524062572,70.0,50.0
68,46.50876190823201,30.967823557123815,39.20699789405926,70.0,50.0
69,56.22704526812719,31.413016046280134,66.32478397635444,70.0,50.0
70,52.08366345363066,30.605478563593522,58.71033747278005,70.0,50.0
71,49.09169955413831,29.93790084344059,52.83961812761714,70.0,50.0
72,47.034127858293154,30.014880656884134,56.213911642709135,70.0,50.0
73,51.71249724610188,30.766654367904327,32.447697316911274,70.0,50.0
74,45.112692548478734,30.79316221666095,49.89046400631199,70.0,50.0
75,46.74023261008116,30.283835569521138,44.63566083950486,70.0,50.0
76,54.12846964826861,30.459733513150695,28.7920662288239,70.0,50.0
77,54.02701069076472,31.29336969954152,56.12890462441551,70.0,50.0
78,48.526149668602905,31.33352752406802,62.831510945276605,70.0,50.0
79,45.64653483396613,30.871873726130545,41.4384203945729,70.0,50.0
80,48.90531533680948,30.79293304184617,67.18679108073137,70.0,50.0
81,50.64892981582984,30.782470635980165,53.52555204026931,70.0,50.0
82,51.165698022021616,30.557569282895336,44.65368405836265,70.0,50.0
83,48.742010771168665,30.201122802153055,69.05643759221086,70.0,50.0
84,47.07927803484801,31.29311929807505,23.315951558283565,70.0,50.0
85,43.93399143175286,30.758186589086957,43.643997709608264,70.0,50.0
86,53.03223784365695,31.366588282717395,59.950690377610606,70.0,50.0
87,55.72593578914327,30.382184164245587,60.52814923167186,70.0,50.0
88,48.164231824817925,30.460461670511915,36.26515993449809,70.0,50.0
89,46.755337736863495,30.133412457096686,55.850260021879606,70.0,50.0
90,49.373697615558605,30.977739170217287,34.02639017065266,70.0,50.0
91,45.968496698483236,29.856171105175257,36.878439965323736,70.0,50.0
92,51.232439996900354,30.204125416045752,67.95964449363647,70.0,50.0
93,51.99514937055294,30.925187489358795,62.45854891634241,70.0,50.0
94,49.40341248590221,31.317936181330392,54.10652590152351,70.0,50.0
95,46.30316087623162,30.611030344072717,46.80824888780151,70.0,50.0
96,53.727697928096504,29.312456608078875,43.47356827709976,70.0,50.0
