unit_id,AmbientRoomHumidity,PduLoad,DiskIoWait,JobThroughput
0,57.13863714452443,76.58690495675363,38.18041713623447,-31.77991033398534
1,37.10024664162363,52.78832641166384,39.54413290008641,-23.906175393969644
2,66.62117825281759,67.65522902262671,61.37900754689999,-24.12238847029378
3,64.50028926752121,65.10559471340378,53.02595822739191,-48.88231114581585
4,40.11265405285792,64.74002326836695,56.732271088486655,-31.285221329619127
5,48.496364350833254,80.49983227613957,53.92357772289189,-54.364459066832225
6,44.91478962434136,83.71425321713703,39.015953158279636,-39.857994632523805
7,23.778717663059062,84.60247506101395,36.4502006226755,-55.04186170887446
8,53.283152145414306,93.00622682621716,64.51016231877335,-54.63093911390067
9,48.66792217213786,51.764326339878025,55.7141103202195,-53.596337867281655
10,51.59294115872326,70.2527593141505,58.6889795578213,-50.919449848811155
11,10.51112280891277,71.81404046665142,70.39678461207123,-52.37220195115868
12,65.54776973782461,77.68511845952568,55.485180358302806,-21.77156524018011
13,47.55577144137383,86.33250108107859,44.306117108997675,-48.860337542541046
14,27.506225592608235,86.31531768416184,41.10636247856496,-47.51045800722869
15,61.64876338232256,58.37891440549484,36.59491079292847,-20.345709657138073
16,37.255061889697984,66.40043011491697,38.98296519643084,-44.78007220500279
17,52.501791540380545,66.7465248437596,72.59147562726065,-45.567886188118855
18,70.93914360412202,73.78922871048813,26.759844584536584,-29.777888603807313
19,45.67132974495273,63.43680559968927,59.943904107054934,-25.891666592871548
20,79.96030414091179,92.69084136271853,43.65988818027085,-17.143729454325406
21,41.21529225205841,49.90354898741838,41.492785533398035,-56.18426809913312
22,40.754315137075885,78.15892111568905,63.42049492262698,-21.07554086562521
23,56.67285770174724,93.95000977186331,66.86133690465071,-39.91146966004884
24,51.52634323682919,73.00730019277718,59.68310938221772,-6.224056684984666
25,49.29630693847954,57.1829693953083,50.32967603222656,-41.39957809873195
26,39.41510396727586,76.08494843993687,57.774252107050884,-27.20474266212226
27,37.29399557316994,72.44208521770538,56.16729607224441,-40.38494224196231
28,64.41735641096476,79.5603616205297,58.726380594847,-44.98797153592871
29,42.00040732430188,72.31389839539528,44.49440931843614,-47.95525071686672
30,29.971615435383754,88.34921012877744,66.08041632091344,-51.260079301296926
31,38.81111967588865,62.50852164086392,52.23923425435857,-33.62329664025624
32,64.38864158652434,66.18817652430579,44.418285451889105,-59.00469921667356
33,46.13479576816353,70.91145435671584,40.37137229027643,-20.708400581315537
34,42.50188853589709,61.59733821720693,51.8605044918632,-48.243745627333624
35,45.53443297894137,77.25977094345822,61.35298259661766,-16.583126385167198
36,62.1292430518356,64.51905756572401,64.51104509380382,-44.16042138111205
37,40.21626332500291,71.37936390988456,51.678122258633145,-12.850763209685416
38,40.34689212323064,71.43687135668581,16.90792761408346,-23.65861742492053
39,38.8555509770891,82.85793102553104,43.80818919691393,-38.878025935643144
40,53.68884303918421,58.61860416279742,48.81979754389974,-49.109402392123094
41,38.153744975428616,73.67936576376198,79.60956722242187,-42.61073040083916
42,51.390662820225856,70.66023762039599,19.76294640844368,-49.176813277745296
43,57.62262658646358,76.88224881199892,47.42483623944052,-35.92865409740521
44,57.48274608025659,74.74913561616216,63.89363313299672,-49.15232333605924
45,62.94033228003064,62.2264524131131,40.45748033374378,-34.11688778778216
46,59.10106820201948,91.96545618924576,43.2558138346778,-38.20552509709221
47,44.45070406813935,84.2899220432859,33.34435121260332,-42.18916180115349
48,54.41978869785933,68.3833113126771,52.19779493489866,-53.983473260220045
49,55.052878534565,72.187321189902,41.32333483012584,-51.462105699825706
50,15.378078641812897,87.95370705416201,32.84714176715624,-31.55911434189317
