unit_id,JobThroughput,CoolingAggressiveness,PduLoad,DiskIoWait
0,-42.97901495009793,21.88400859916203,73.86147960710898,50.8285130148602
1,-62.95215588424806,44.563046143370414,68.26088687798405,70.02226286782567
2,-47.23038652298311,29.67123321477777,66.95331143958691,35.636767145534485
3,-27.21913358565068,30.18475873327562,68.27013534501513,71.67415103703958
4,-53.811881485608154,47.78264542170965,70.19010464375208,34.514063164150414
5,-48.45684176911905,63.48789027463536,68.68506693079603,51.70926404161067
6,-46.27277413060069,32.7804744532393,76.12377490902236,48.395012753543604
7,-42.63806881404433,34.715857077729275,70.23047131807425,48.49335763919872
8,-38.77629007118646,37.903438576895965,66.32192684396885,50.836204890522126
9,-56.031396438350214,46.9881591386855,79.65261526528468,45.243486181954985
10,-52.39594732118589,51.47844795392064,80.37123377146138,54.1996151937411
11,-34.34219828583255,24.88302901164102,67.36593599515435,41.040781950746855
12,-19.022111169420445,22.903641213602075,92.7314466639849,73.18884444408616
13,-40.31673107694611,35.788728431762706,63.73397302360159,53.956089234084594
14,-38.132826650608635,35.347389280077394,80.1407687606823,57.78132919860146
15,-47.885341165343505,43.766538463197314,61.718825346874,69.19660650757923
16,-42.378625931982285,29.408747702380275,80.1057547618002,42.62381897002186
17,-15.23974626950471,29.683057329493863,63.52650799440406,55.14309807788105
18,-63.193404073267416,39.39208475552446,63.41609280670464,49.190003604945254
19,-2.7213471064662373,12.737937071369984,63.7597431926835,49.10702590723738
20,-35.59549249835929,31.333318769953607,96.28516623810795,38.50228360108536
21,-31.51203700978905,35.23948743874792,84.04386706978961,53.22043896986727
22,-44.970669385160186,39.04723867702186,66.78820012454113,66.07455410351827
23,-38.070825974368994,39.055625435201726,71.03022182307706,44.23697219900971
24,-34.22091557750669,56.921585816364406,101.53545878853186,61.608608824238665
25,-49.954635457283395,43.454701736355936,67.66673414408658,61.80803582379703
26,-47.62710017642676,48.964132133326345,73.29849089718482,49.01329747158518
27,-57.69691713994434,37.5334647055975,74.900220861524,46.91686636922392
28,-49.0999393197662,42.365028281570865,64.98195113365948,57.1842978203736
29,-45.480468141918735,26.451409759567035,72.1681521022048,45.554591890129245
30,-26.314007500828854,44.47920556708474,98.41305191694212,52.17215186470793
31,-41.577640526140335,44.25176112801413,85.57879425700034,51.237653364514586
32,-45.617207736122694,51.227094837237196,81.33640802274212,43.71319469472916
33,-36.19716973438257,43.179419632727516,99.66734281788051,44.24290269273662
34,-63.16507497610674,46.77699067809142,67.85569946196718,37.735594250075316
35,-42.75275322337376,59.29410542328449,75.46194842396962,56.108212067635606
36,-41.89548082279644,58.669393841321494,93.65953381796905,59.27093957627723
37,-40.01656040845704,55.67777437411297,76.13043869667742,69.79511319486734
