unit_id,JobThroughput,DiskIoWait,MemoryUtilization,CoolingAggressiveness
0,-50.83689459546565,58.94952183242756,57.59921321330371,35.923869416814654
1,-40.1004908474214,62.8091856165518,51.06664484704522,39.774967137411984
2,-24.2794553708012,49.03052734858163,40.51618675670813,13.230922307156247
3,-21.349255433137703,46.54556668616179,55.15197887330276,9.15284333065477
4,-21.20211814959356,59.24399277123241,61.445544362813365,44.80816298803032
5,-50.20841938740096,71.87154190044066,43.42417712002194,41.98302973331458
6,-41.38985708944089,48.380016891451675,32.666337722874225,53.83608046212017
7,-41.64407052107913,46.345220962934704,41.52835622640202,51.126109557772196
8,-43.95336820928792,51.200808623579434,66.04560892451887,47.186334706815046
9,-43.91979643570808,73.22133474394396,45.25930264122369,30.94423687580816
10,-58.03127089721403,50.107567623193674,63.011850551058096,41.20444951358926
11,-58.594058314079966,44.19047587060989,63.03534915992604,64.08767251475155
12,-44.39792098752973,50.884042247471044,45.55033867877427,36.136110171877846
13,-38.0635107914856,39.17204190670111,42.15620777564885,51.73949211230691
14,-60.55832206268175,43.393781341966445,74.43600787010877,53.51632116065945
15,-52.53165465925054,46.2187780651992,54.24084024410387,55.28833747860763
16,-47.071108199885,62.58166303419041,65.11676991397374,46.91946438986946
17,-37.06108528831501,51.64919495675105,53.66704170957654,41.69726598152678
18,-38.105390462775105,72.83384906325324,55.03934718834072,21.354676633624972
19,-27.39336031795286,46.74520091301361,54.822355301228626,27.253504788156427
20,-38.57572488345452,29.051835331878944,39.33484441936616,32.75563608795168
21,-43.98111065236453,79.63758176687101,59.68884727460412,42.558789813428895
22,-40.42909519676962,61.04021521805823,32.63738221556731,43.932195444395845
23,-53.454196409550605,52.049190110108924,21.06316635067954,53.32477781430487
24,-29.724148169033107,39.87997332740878,57.096130702073836,28.43297224791817
25,-44.60319488552995,52.852024084310884,44.279335161012405,29.381021009609384
26,-54.458288713337225,49.90715246004902,28.792348354746967,52.043574351048015
27,-28.033375139746163,42.75857289249122,28.552459315639084,41.51688886758749
28,-53.444835941650545,23.79263355664561,57.42359211143024,42.07140842523745
29,-26.497167965322276,38.29224307516474,63.92878636636567,38.22254083247083
30,-53.49555982426698,53.78707514581971,27.870182805761385,49.712781811456665
31,-46.56468115051081,43.62875607815333,27.76695121068974,48.47263270512434
32,-30.204668263527097,46.286198046008394,53.05792605687672,47.32472873069966
33,-57.036017751194535,49.42519103729177,39.86129616302144,70.52159165047969
34,-34.06059175893681,45.78954150109237,28.280587273389532,49.13945961381034
35,-29.23689198515717,53.11890881967278,57.85014550015974,33.9208999461215
36,-30.420619063528875,59.702998808308486,34.175275616609554,43.335909737800584
37,-44.12173780908213,48.60337438146979,49.58395256656676,66.03219189340288
38,-35.51192419179392,46.356271452087036,53.46563694727976,27.933313132170674
39,-48.20483974903368,39.542384084243956,81.25081842266732,51.99143397324415
40,-40.605651379516004,54.34942871032514,36.77639841351785,29.970722474761708
41,-43.77814685215495,60.4532950052231,40.67761174497482,22.657437983512597
42,-29.202751960227204,41.74681717006298,53.471942226813006,36.27938701359423
43,-25.135237461285396,65.83357319110692,61.51372801019343,36.947179722517625
44,-36.23150646474892,43.49783268493053,77.24179193794234,52.14108681745263
45,-44.616148619979256,62.0173794342048,57.68276344909919,36.68635026097038
46,-45.4955314645736,54.95072028230001,50.952390718271346,60.018708770531084
47,-49.83939982673328,40.834383083473234,60.01178043970462,41.04345050626622
48,-46.26157386681378,37.69207161012819,41.520800243580084,54.02733659691409
49,-46.15109814476139,61.679715506748465,58.738561480037845,44.895118628041466
50,-32.55870771266011,40.801439776766415,54.664926466713474,26.539607816808275
51,-37.44226386633912,40.63128731074812,43.91775678289061,60.130738590662325
52,-39.94495248833376,27.525403322722916,65.81629740865527,32.24872882261913
53,-48.22414626713475,37.60084854326142,42.885923786569194,40.66220250303622
54,-44.97778620870981,26.593383494528645,61.514292534020804,63.13486480995493
55,-32.182592412694056,57.07478683496531,47.62260077678888,13.269331168706266
56,-41.22900678745331,52.657544112875684,28.60103630897883,28.60973509204664
57,-45.15394108742257,58.796132373366,59.89368780718292,48.0812854185756
58,-27.623515147786073,70.70434853760625,36.8070202714393,28.218297318665797
59,-13.619518252104362,32.01448948079548,79.50640383817517,35.108462626917735
60,-46.1019339460025,43.70377555554096,57.296777871955925,49.020360574066366
61,-26.632381982280428,54.708207088269646,53.741149574993905,10.674016801345603
62,-72.50872728890839,53.06170855092108,41.618551485940515,75.91013600694191
63,-40.643961910133406,61.75955678365366,75.13676970742883,44.82700155842096
64,-33.04019020446575,43.38062891893789,49.085783644697166,15.682701962440506
65,-45.695031746788075,72.09527702867769,53.25436728866002,49.72877525050078
66,-31.61063543687555,43.87803108301883,49.17315370646851,32.427492457876326
67,-51.36527889066483,64.57779919927194,45.923121012133095,64.68997958282517
68,-51.45231557979078,18.62735383094405,63.99599383646128,61.03295116036715
69,-49.20665022984922,39.25298742838015,34.896273633768054,32.24727416460672
70,-33.56300704543415,48.89718416950627,40.323006539074015,29.688363850948694
71,-25.49601813154941,51.81885856558971,65.75003762283448,22.86992031954719
72,-48.679573600094024,52.30487511439022,22.970087753357653,62.59902456951047
73,-40.02285384692124,39.94330604320986,62.58897467481677,26.819467484351474
74,-34.43406947325384,63.06890383317276,33.349872860431944,44.090518947667704
75,-45.171837607650204,71.88168327508842,34.71504290933342,36.0594782155257
76,-53.84614575158049,46.54206624506282,63.79361979344425,38.74365720198747
