unit_id,JobThroughput,CoolingAggressiveness,PduLoad,DiskIoWait,do_set_FanSpeed
0,-55.050532887124014,62.7824582153073,57.072764502378014,67.80464173922573,20.0
1,-4.120715977237434,48.39327637947409,89.5690835895432,65.32319796040967,20.0
2,-47.7985353976387,28.116801666382084,67.20420891155527,57.92320934717116,20.0
3,-47.66328757037268,47.03320078635004,67.31256543408466,49.36882826354695,20.0
4,-58.283627545366365,57.039606541676136,50.75822607847725,51.28640810727975,20.0
5,-44.471618858532736,21.608418600409525,56.38953850920595,31.951833473384262,20.0
6,-44.49451002118467,34.31085693329173,76.27684560080759,51.90310919306073,20.0
7,-28.00066432060785,54.27037662273013,87.11293239079001,32.19300029280141,20.0
8,-58.46334642806353,60.68904537575187,75.24837102618696,56.24321854819154,20.0
9,-44.003942163978344,23.448705643259075,65.81695692294886,34.701289884709844,20.0
10,-49.84985306107472,28.788743739657388,70.3188592908564,44.86980703529451,20.0
11,-32.957785281015205,38.1148290748626,83.38202698131774,53.07970987194669,20.0
12,-29.885260590122197,48.41892215813582,68.540298350799,56.16202368006444,20.0
13,-54.335569011426514,26.292858537475407,78.01154745125065,41.06798886010256,20.0
14,-49.73274342653107,53.859596374092085,80.17475369958382,38.60625580242258,20.0
15,-48.058561584880216,46.51622094876426,63.6733621406166,56.89159678770746,20.0
16,-45.291755541211515,43.47275253761855,63.028176052723445,41.539318331516206,20.0
17,-26.433546381641097,32.70432242975318,78.49567939239213,44.77316415278266,20.0
18,-46.43997978487257,36.67775462664782,76.88928178323663,47.93243516089629,20.0
19,-27.528551940391086,38.817444884672184,62.17212594260709,51.46337145964531,20.0
20,-39.02637972827769,59.64001918532216,74.13128848282926,69.16455466602123,20.0
21,-33.36705884876044,41.837692430165085,67.16705859468516,30.60210130786436,20.0
22,-40.80173416272089,55.08387781408764,75.43794667404835,46.214732943682705,20.0
23,8.762628846649044,44.14933758875548,63.73818685154688,54.42095915882978,20.0
24,-54.8484625046172,50.982756575596596,101.29980722413106,47.654061988296725,20.0
25,-37.588402769245434,31.508479678675705,83.5572263594916,47.935746444790254,20.0
26,-45.515889976244296,60.60634812289653,66.10924395780994,60.49403705945688,20.0
27,-29.484655295440984,33.92708508078261,83.59632889014364,68.9075505753922,20.0
28,-49.10851723479393,56.71275631266562,58.52099761603046,52.04087279390662,20.0
29,-33.50433271675257,34.3259922495304,83.89756026346598,45.961944055148486,20.0
30,-18.1487653011571,24.590392234930846,88.25362383990837,46.76335194741675,20.0
31,-49.62028364404043,61.11436226115922,83.23940431321284,69.26675624388496,20.0
32,-34.808937175608776,38.199974614882464,81.04405527022062,64.65703930980949,20.0
33,-43.740571786155755,49.48477806068811,73.73012189271941,49.01550061152694,20.0
34,-57.094286496807186,59.79103267511444,68.72060625204605,50.581506867155554,20.0
35,-31.539712146002753,33.877935424663406,70.86702071896087,37.596014589035455,20.0
36,-42.79989746788066,60.11425403614546,91.1691540969329,42.721920478356594,20.0
37,-53.826406156479855,37.90811903731771,69.58226175309646,67.43230277858687,20.0
38,-29.152359672947757,46.01129400738029,72.99014292511607,49.024555315230025,20.0
39,-35.932325525385565,47.89516623451767,77.08227215301767,41.22601701160221,20.0
40,-34.22152661962268,32.2900091751557,83.44323307223864,53.32095304821188,20.0
