unit_id,JobThroughput,DiskIoWait,CoolingAggressiveness,PduLoad,AmbientRoomHumidity,do_set_FanSpeed
0,-47.26890718337467,55.42112659132065,55.82496283267122,72.22644299224184,61.293795964745755,30.0
1,-50.006966414449096,47.08497489162402,43.00836863194213,61.265596811157096,60.80924334607617,30.0
2,-46.07492707795372,47.78094484001372,36.34305990727239,61.55101720042849,55.20228579064229,30.0
3,-56.09749668991253,56.452554274425154,43.218523203153616,62.89954990031229,49.262327989896605,30.0
4,-45.79817019092871,28.13214148580467,57.42131667625772,73.20442205623777,55.723026349933654,30.0
5,-44.100788818234754,37.008269480929,48.667126445716626,56.28191299061915,56.12411913973348,30.0
6,-39.00341844821687,38.97395866699896,42.48240759979709,70.2540204724062,57.802439464943205,30.0
7,-56.62188320834317,50.74922379452574,52.533349676559276,80.75833810259904,52.77596853210325,30.0
8,-1.590610867591272,58.80477057253808,37.68780272819683,86.52200203695068,43.4074868434731,30.0
9,-34.96906888835304,53.234003735236854,31.05956376987845,73.71772206737994,30.198577161482074,30.0
10,-68.73789442980213,44.76021678894627,70.68025830470899,66.72307977428703,39.8474690105819,30.0
11,-27.060916254054927,66.35982227390991,49.191170234506494,94.15606238068237,71.03373943286446,30.0
12,-36.24382138277956,37.10804560434824,39.89728412656257,74.83433971360283,41.02721426327283,30.0
13,-24.261511007461166,42.65146137026601,54.48171391755642,88.75717540570085,59.380369029028095,30.0
14,-21.99081102839046,59.34122403164246,38.876333253902246,56.581617245455455,56.4708311627744,30.0
15,-47.37114782045963,62.080264525791506,23.802348571152397,52.28944266382436,53.65565455321538,30.0
16,-50.933003238594225,62.05040482291514,73.07133317868718,68.62285264657827,56.53352687588414,30.0
17,-49.10014850844513,50.49007843996068,45.36336608616848,70.49456469919315,56.068018655719825,30.0
18,-39.55586239611307,59.324057239774845,41.610374759145856,73.28935701335591,35.99934991993563,30.0
19,-13.827313827883287,52.52357195077378,36.82847454332283,66.79979083626493,48.79457670845546,30.0
20,-50.12853303129934,42.92781379389453,52.69774159956193,77.03087231538268,53.202623014611625,30.0
