unit_id,JobThroughput,CoolingAggressiveness,PduLoad,DiskIoWait
0,-14.750816260713274,33.42031005693011,92.1004321330196,36.698314129905185
1,-32.2115066999338,28.338777632919466,72.17736760580668,53.68860880024536
2,-42.9304567930068,62.40304797315232,76.57750725208821,66.18246590033607
3,-37.86729693915318,40.08830087654318,66.17675569073758,64.57914398868958
4,-43.87711173682045,44.18290889956816,75.4416421414072,57.87921361246469
5,-22.931483346116448,40.77969035934518,77.29718069689278,34.362083695978534
6,-44.18882310721887,39.36129711105228,66.54725892371192,61.31630692182632
7,-49.86317742325824,22.17880461322668,70.8923242456055,74.29201993907498
8,-18.9790609513761,34.04334004269381,79.73063462146438,47.83154446501123
9,-49.38390194431163,48.62468892514542,52.222744615441016,24.413587796702714
10,-23.483921106932833,19.853686527901115,70.6995748591817,58.71598542220763
11,-32.30541660936449,60.14455733028259,89.66524323809334,42.50473689537904
12,-68.00381066074262,59.589809734330736,78.5359199076561,57.85521042310716
13,-13.73408106591638,18.539041787801143,84.20477294590087,46.81321587306846
14,-54.79776877192715,37.71246898284561,66.52570077742622,62.64720047765899
15,-58.73358961571485,34.73080309666337,62.05130823343645,45.37503992715951
16,-68.99362444912352,37.0252766139632,78.68282792947844,56.29659729593936
17,-26.56796936449289,11.17279233634356,64.0877049015861,50.893205068906006
18,-48.944471629008305,49.700126871345105,58.5825452377059,53.953665345806264
19,-35.17772134365306,23.940552671226822,85.85077418434231,46.017334353858054
20,-66.95287741624156,54.500609564981296,91.40688549522842,62.816346762184814
21,-58.71880005935288,39.30022240446654,62.194173877813284,71.11266081041039
22,-8.834172691553901,42.01765438310283,84.68300734147572,52.52821492675335
23,-43.118839717051635,32.89094213896258,70.4133753721189,33.25348398665892
24,-24.085073859874242,36.60317701804692,77.8953757319245,50.999242249761096
25,-57.368496831324954,58.881896758794944,80.37473502729732,66.06206126848387
26,-33.50476414707836,38.07772089424992,73.57987131928762,81.83119583695766
27,-33.170749184185,43.3503904436927,94.03693431981041,63.491815441453824
28,-41.1120232247993,46.602823425144706,66.69976979853409,55.31809153714022
29,-48.52723377323128,54.35774800490835,96.64488265961512,43.44969064969785
30,-28.124752249497,30.42267054196869,74.86166837019074,51.04373882178963
31,-22.651105983494,42.61444317218683,65.94799043414024,48.156905354544314
32,-33.325317433868385,48.709398991422944,76.95414070814519,53.03856583091046
33,-35.130142783206864,29.842613466513384,69.76674142670436,58.69649564938796
34,-37.32496665917119,34.36356606718737,91.58656464321717,55.892150846741615
35,-59.42782205367992,40.21624593872569,67.40850863228371,55.879708392752796
36,-63.401148309019135,54.88235726170653,51.887234760954044,38.9684296628812
37,-33.60301277493775,22.272903970578618,89.02024594510452,67.77465797844104
38,-34.103041776855065,54.95644608964327,72.63835782412164,34.22969089222761
39,-26.358163822383982,26.124299724781174,71.7547855562245,60.85341207271914
40,-39.30821438279828,37.21054239337276,74.10499174847443,41.38810347787429
41,-36.30662082047431,45.62728933610797,92.31192472013868,44.83654679299421
42,-37.97106048332213,46.9606458167074,95.86812963575173,51.69704174034915
43,-19.626861673762996,13.833945056505058,87.11999141548411,53.51040237342716
44,-47.35636347430882,45.08686025380329,52.104632956971635,50.19007464269117
45,-47.16644235430119,34.379222614185856,88.59681645765848,54.16903161295859
46,-40.78324137109704,36.70833657205016,90.87224157220813,56.11059369785564
47,-24.70071171368669,45.81881742335561,92.41305355454332,71.21775146883137
48,-51.575717307627976,56.01761877520546,64.98251363138598,59.975830799933036
49,-19.27951775341846,27.194595601337134,51.2386040206946,53.997270074369965
50,-35.159121801280335,47.86408888648544,83.19661206701612,28.758284929151323
51,-54.525811071481975,52.98061728419689,58.36830035115376,38.141037525536504
52,-53.499186533841346,58.03796266356567,64.36064173014695,29.257980637535958
53,-21.81937631216865,17.08385897898715,73.73973744198814,47.70023695782465
54,-31.719365952731046,34.32884318969969,74.41458404756196,29.81755696651951
55,-31.505070348028024,32.92576838954897,89.09041855886207,60.30676258046561
56,-19.309967657261645,41.298574334339264,70.73307031953203,63.48255263346616
57,-30.532069009734997,53.963337487911325,66.30002056418105,41.90606731005061
58,-9.873955145513312,39.384148835405895,75.3070301571117,46.59086628978798
59,-26.88347566991916,30.655954378018983,75.60608654527918,47.709858899596995
60,-38.01085148471169,52.88489205343742,86.63144263740485,53.99206789821653
61,-45.09643518171962,42.34712649081838,65.75642558492913,63.15303672933389
62,-50.44771336095566,42.70757935679422,75.5270959294346,48.52148893469592
63,-41.57560843702182,46.89985887075891,74.99126074329482,50.00946359219948
64,-36.45363752849002,40.955132336514794,83.48899642472263,55.417245085390014
65,-60.686852184501305,55.69309745377251,61.48145136494335,69.43439229768492
66,-43.63551773610515,51.37783915995419,68.02613862784533,51.008228089455116
