unit_id,JobThroughput,RackInletTemp,CpuClock,CoolingSetpoint,do_cooling_setpoint_controller
0,29.958260822123485,55.60707536212539,42.340167365624914,67.21570984860043,66.25
1,43.81576645485139,42.93881104162395,42.93375729101819,67.21556827528839,66.25
2,37.89019979701086,65.53323421956375,41.67796673994081,65.59029900229757,66.25
3,43.83557840587807,57.60286462437442,48.193679003912976,65.64778718586416,66.25
4,37.65942784293669,48.30748544269107,67.98554523810046,66.52688047682229,66.25
5,12.517420931481446,64.86683207016002,50.19525029218377,66.70908472392354,66.25
6,19.820662605817706,62.0288018992841,36.4268014401224,63.706198625471465,66.25
7,51.2667595090324,29.285089502241,72.98151691963142,67.76214031341026,66.25
8,22.802800148236873,63.206703712110794,59.94028527168255,67.78272491551257,66.25
9,51.33983380215613,51.41322981177304,49.51328661157506,66.2264122919279,66.25
10,52.65905984331054,48.88691605274856,58.69444806287386,65.23121529991036,66.25
11,20.564450089010723,57.7979645006497,42.81550727166353,68.22719002561031,66.25
12,33.84918206566298,47.709900296648435,57.043250909774486,67.62011094582547,66.25
13,31.753239723864226,42.81571464151402,35.59477105624864,65.95146361028377,66.25
14,38.22764394504097,54.967095330035036,48.60614414196311,66.1862563830754,66.25
15,25.844600006559528,54.0930492365127,50.247462139468546,65.67968242989252,66.25
16,36.848478875794726,50.196796456237465,53.471674003885454,66.40573249177301,66.25
17,42.077989585444186,40.48544199765723,57.772837146015036,64.3798248520792,66.25
18,25.68384445927706,53.127242969032835,41.11951480145962,67.3345640592981,66.25
19,14.834195871837302,65.90979200284681,52.33716549965262,66.33025689891903,66.25
20,22.092493015172817,54.09190313905212,37.0098347461102,67.49050394590215,66.25
21,30.46801591307609,53.60771361500682,49.06661239889359,66.4233296089314,66.25
22,42.2340524055712,33.73338110806354,61.10448453852997,66.8844346462385,66.25
23,18.54616754778844,52.55410437705561,31.652095394682394,67.65039472375163,66.25
24,24.6116526476195,50.35543696320149,52.78715843396869,66.39980340448663,66.25
25,61.9077811288621,34.52608965388517,62.555827373326366,66.48702089857436,66.25
26,17.672916564911116,53.724925940845985,47.441704607528415,65.34609652362306,66.25
27,41.76244183824955,42.61372194236573,54.393758193408374,66.42273697569749,66.25
28,22.97889674886619,50.03935502771144,57.789910563156525,65.1421181859213,66.25
29,24.635447955985004,74.70431678382202,41.43323447577082,65.57161923820823,66.25
30,27.451391627700396,66.5969204099601,53.562401896649924,64.75346691734309,66.25
31,25.35545897636088,45.01042535478473,39.01796188232482,66.88996563525122,66.25
32,47.138717862066464,30.810484278176435,50.07498116111249,66.43267350764141,66.25
33,19.950557990685756,57.212933022241465,43.63878845885836,66.16105413125793,66.25
34,49.964886511042835,50.705658949106414,57.8982335418394,64.71854444020029,66.25
35,19.906211784593776,61.84051327158213,46.831662545958665,67.68715818163956,66.25
36,26.914585374936813,47.01051497647784,37.054924608942365,67.4857542745948,66.25
