unit_id,JobThroughput,RackInletTemp,CpuClock,PduLoad,do_cooling_setpoint_controller
0,40.94155330497839,65.40165306728785,42.67887620022252,61.699154865831076,75.0
1,43.70285481311408,36.768150640698046,41.859017138366966,62.444689845729236,75.0
2,31.59097733565273,65.37842753642508,48.860515634965935,35.30113165294304,75.0
3,37.8852625078402,80.48947250884905,46.033693517306745,39.84624199836473,75.0
4,57.683801166243214,59.2633522976139,53.632186840396855,43.98342857047388,75.0
5,48.316473421539854,67.84374395782714,44.97290988953755,68.13535916738118,75.0
6,40.710938929292155,56.66782754875307,59.05345008030333,51.39400891900365,75.0
7,41.045204366139366,34.92155040535502,58.29751716408275,36.31972404183079,75.0
8,48.882595290445764,49.19435952638203,63.377614415065906,39.43883821307585,75.0
9,38.47495138265377,65.95972411289625,43.693488511593706,37.427412040854655,75.0
10,27.109124457043738,67.60955042337696,50.52780954484415,35.45082711209573,75.0
11,34.48217548391132,50.33931299943539,45.33332274960855,54.05696661664224,75.0
12,49.860802667348906,33.787000568956636,44.32506972893784,61.475894391702305,75.0
13,27.821184933618852,66.87909157009466,63.26040688389376,53.747400728528675,75.0
14,32.46775401503964,46.551259023585104,54.1341404740063,33.92562556333921,75.0
15,42.857221526832085,53.35130066701509,43.74569571455595,44.945157560960894,75.0
16,57.780867101676996,55.02272590052386,53.04914978205559,30.056402004931197,75.0
17,30.015466272462334,61.95259904346265,37.78697145672581,47.5294806810102,75.0
18,29.398003849830253,67.46908458625003,51.32940895471328,35.349779783479796,75.0
19,47.43709839229808,51.119674774081936,33.606232149643844,48.374551869821325,75.0
20,44.439608715460366,54.76456408920083,42.405864411244174,27.851918585353392,75.0
21,45.22688411374962,52.07380676004147,37.64211446942306,55.69335089126427,75.0
22,28.94917922771227,70.16219439438,35.54434397440662,54.52877132565259,75.0
23,70.0692942444523,32.54233464689564,28.352494506249734,43.154726687663114,75.0
24,23.40068872204923,57.71532488021552,66.0443158533494,51.63863081199878,75.0
25,37.20597690625907,52.79131292728054,51.43309233173402,45.74071811918017,75.0
26,43.67381890804989,58.17044890880472,47.3053401586495,74.63322678690837,75.0
27,22.50666112576586,64.75665028667628,35.86579978235239,50.803211281963456,75.0
28,53.33396155908698,50.06862056156514,46.624375173604676,35.2953415266308,75.0
29,32.41020077923151,48.18056695168325,50.548388968859484,36.47860191231117,75.0
30,29.5223203276945,45.16570220059006,43.68847953356467,53.60834813027561,75.0
31,34.93665066192434,45.04443248467436,59.86388783907711,57.061634168486755,75.0
32,40.29795379455726,46.848101932775904,46.29167841866115,42.90570577730044,75.0
33,38.151360972722486,60.06571156306939,41.55783036765684,34.13877175156569,75.0
34,35.9907993500797,67.34069250425243,51.48085159888421,48.81468074761469,75.0
35,43.342954351343586,44.083605968474416,51.81761486112616,50.241627808194245,75.0
36,28.124432590879046,51.59723549632825,48.27590722481411,50.382119344609244,75.0
37,31.297887546726116,57.91284238734585,60.176565880723345,44.13449665195774,75.0
38,46.58440524842296,49.52875791841317,42.65036641564328,36.446184646791366,75.0
39,41.35249503078705,49.18037305333354,42.62578572813485,63.99853971863614,75.0
40,32.9666687182235,57.61547541861868,47.507829548261434,44.96934369925755,75.0
41,27.821251085497387,58.12658638614638,60.96320622143539,54.578451097463585,75.0
42,23.596017512765172,60.26924480313704,40.667675145243486,61.31721200327241,75.0
43,46.417019452941986,57.50609965578128,57.44352798247912,40.19849695823067,75.0
44,34.34569837848062,54.680609129465154,57.65913351598155,62.561934234488824,75.0
45,35.11076761660366,64.38787216136707,53.1003520466328,46.68132657592801,75.0
46,28.486215004963675,65.02981474410117,51.78140503407055,28.998493206442014,75.0
47,44.383455577091425,47.52420683127266,47.98365700268118,46.52998733755588,75.0
48,25.072829520082703,56.50627928841181,47.05543683726401,42.6994360253854,75.0
49,50.66713196986782,46.45062344360452,48.94811841170364,41.4213441376811,75.0
50,38.86217832995521,58.637306188922054,43.06986382176903,56.86141314074812,75.0
51,30.883974103054662,48.271225084100685,63.81150428624685,61.10023584714434,75.0
52,45.91410137899274,53.75370816518315,48.52557300892977,58.060639853069965,75.0
53,45.027666265328534,44.82656644972432,37.2552530833725,66.11700770917234,75.0
54,43.57317053347047,51.8873060713856,58.126763759703884,39.559662014607845,75.0
55,36.10226337888182,69.55829724973232,59.55200427868869,48.63150455187373,75.0
56,40.47292765540574,76.95720241928768,42.28977180581991,63.63962690433006,75.0
57,53.82756770505303,70.16402715347353,43.65970605452275,49.610155092087275,75.0
58,39.01928625786387,55.56700861089552,52.978233502316776,53.30031551672697,75.0
59,35.96137552596191,47.46428368795264,42.08358534629186,35.30082187358661,75.0
60,31.919106889169733,68.96111971584524,51.3678085692352,70.40726375852805,75.0
61,28.575221716435742,52.29099693694519,52.48787871086959,40.86895040281889,75.0
62,30.470853344047818,52.26438932083028,40.625950676679864,42.20848776538608,75.0
63,26.68406936065185,46.68579986751151,55.4982066656649,41.66041457337902,75.0
64,28.08001986815477,60.06376057500962,53.102624181835765,68.98063776211164,75.0
65,36.387338801919206,67.568357919356,47.32809515557126,44.09692387648407,75.0
66,36.35451181882419,56.194347105468054,40.496682517982435,73.46494019661753,75.0
67,26.8921385390731,62.4920081247832,52.83664763544059,52.98658780043048,75.0
68,41.06965168741295,61.2213984012786,49.40015460480012,62.919526661592315,75.0
69,48.199689021273294,71.62575676073841,41.53903312415057,49.63747049643309,75.0
70,39.84227080751006,60.35444659545434,41.66458829198757,42.04583659060629,75.0
71,53.67562720202382,55.39645962543934,46.77763784454924,70.06144145430966,75.0
72,49.65530417187875,57.120891319285185,49.771245703490074,58.5675027049999,75.0
73,28.845473135728163,52.655025164883284,43.007402849650035,47.80881319527909,75.0
74,31.33567903145871,71.19389024497731,56.61810797481089,56.23125957674314,75.0
