unit_id,JobThroughput,RackInletTemp,NetworkTopologyHops,CoolingSetpoint,CpuClock,JobQueueDepth
0,7.323430186665433,67.87168808333934,60.96239665895046,52.44147702302767,43.704799901500046,52.16397302624317
1,18.724733051522197,60.24379389296641,57.698634302476755,54.80367946998461,58.45385323644505,53.14794940414216
2,13.059706947229955,41.56512244216587,56.88405920285863,36.5759189641681,54.07752386918165,40.06886566094983
3,4.3783684483196375,69.68758846169999,50.48032273478864,31.888995540560078,38.51279547333377,60.06601014926332
4,28.594401362210533,47.964846749837925,38.76164930024753,57.13702258136716,52.373800858936654,59.745351851080315
5,21.286010771484445,51.967155471152736,54.21264321285861,56.794964240561725,46.78818432094066,45.619545027600196
6,19.59227483892864,55.84392265050256,64.62701364120784,64.45647923269283,55.95872802148181,25.854332078898032
7,28.243870766338926,54.34329225963259,43.13661827908844,63.59656833263076,52.17634440654776,36.52373789397326
8,15.790439561195145,51.28471087754955,46.20656729878316,58.39591659151499,47.78028828008368,60.52362076635134
9,12.484442622737243,66.69862033941118,57.703187365530376,49.6850799794739,59.34162679472252,54.6419951091149
10,18.706209679009216,49.905461993512546,46.128638440579316,55.5588575116109,38.326214616106746,72.7309335664509
11,22.580072856057924,77.02999509578255,43.98294681002573,73.29913321101554,61.210537348783994,68.35241980044208
12,24.328810035156877,55.524262003546625,47.86342304212998,50.78389167514582,67.3236031195288,46.25885453451216
13,26.066323778683127,48.61633868164845,55.71023154619826,63.03983893836907,48.95578047902395,42.86444267388007
14,10.622826472715424,61.91687686409966,33.20415290350339,64.51137958573736,70.36482115468598,72.91556642750044
15,23.724466984737425,65.54221236205692,68.17302681036256,65.9253045942591,51.74252001702475,50.55958653923568
16,27.42588298279297,73.69207582225205,49.24256274217533,61.52985260203534,45.068101824524994,69.14262091845396
17,20.18985571604435,49.42682679756145,43.0681939202831,56.875819134464585,41.7193614949676,53.58914726128866
18,44.347055660550154,67.64739285555076,60.256626619822484,41.34894615110118,56.234335383136646,57.49944921818123
19,16.705745626666452,47.29698572412395,78.08277847346707,45.48021470057554,56.98278522113231,53.457490154488
20,20.918267435216162,50.64149507309586,71.08086718286793,50.78183192835249,62.75336141426325,42.18704255374928
21,18.468763345666492,53.25539205142135,45.99668083848564,57.44455230220966,29.903157030094107,56.0318064482997
22,53.78560696489088,55.446286020440695,53.62204701006642,57.149005743313424,51.907963870306126,28.903854845280705
