unit_id,JobThroughput,do_cooling_setpoint_controller
0,41.55212607426527,75.0
1,55.573569031984775,75.0
2,49.36210960249633,75.0
3,48.74049106779529,75.0
4,42.3177086644995,75.0
5,56.100943090821,75.0
6,43.4590047367683,75.0
7,16.1183014021505,75.0
8,48.267567582584924,75.0
9,39.39396630156935,75.0
10,46.07026865827124,75.0
11,27.583470536157428,75.0
12,37.303862793711104,75.0
13,35.73644395679831,75.0
14,63.289542486669745,75.0
15,48.60621767769935,75.0
16,36.27728466340929,75.0
17,37.91800905664837,75.0
18,48.762915032520375,75.0
19,54.672196463538675,75.0
20,33.66445629706922,75.0
21,47.301095655412276,75.0
22,32.249024986762706,75.0
23,31.897166682106036,75.0
24,44.870007780127054,75.0
25,20.03673134537076,75.0
26,42.816495608318654,75.0
27,45.48999685995048,75.0
28,33.422508002782095,75.0
29,36.50553760068025,75.0
30,28.77338603916836,75.0
31,23.013777839060264,75.0
32,31.99583996161572,75.0
33,38.9191347258458,75.0
34,34.329951612232556,75.0
35,28.129604718975493,75.0
36,47.12786138411662,75.0
37,23.029720330208423,75.0
38,25.657035510251127,75.0
39,31.912895254918396,75.0
40,31.206942474005864,75.0
41,66.29936950044296,75.0
42,34.700199367935504,75.0
43,44.945994340841594,75.0
44,46.88383822981668,75.0
45,43.73046346425967,75.0
46,39.71225442632656,75.0
47,56.44202702608188,75.0
48,27.766495016762416,75.0
49,36.41088720059919,75.0
50,62.19624249796428,75.0
51,46.13510290607965,75.0
52,27.14892735830421,75.0
53,28.879915669971503,75.0
54,30.35757285437039,75.0
55,31.41911783971662,75.0
56,25.889978803627752,75.0
57,28.827935844521008,75.0
58,16.969247922094798,75.0
59,36.53692977537096,75.0
60,41.0769022794029,75.0
61,44.04479839559474,75.0
62,58.69742137996228,75.0
63,23.832569702001695,75.0
64,35.68566897239285,75.0
65,32.98109853112819,75.0
66,29.430926077440926,75.0
67,29.30186845300778,75.0
68,42.038183577645526,75.0
69,43.9569746518836,75.0
70,43.56164993909898,75.0
71,42.879091121596964,75.0
72,22.20829937543969,75.0
73,34.14763895917307,75.0
74,36.14556040605488,75.0
75,61.80212665708375,75.0
76,43.760010217868256,75.0
77,30.56834601731531,75.0
78,17.317222549713357,75.0
79,49.95683568281772,75.0
80,47.699729262450134,75.0
81,54.259962051141905,75.0
82,53.65249775572845,75.0
83,35.766170774503266,75.0
84,40.19748261580129,75.0
85,31.171599967885914,75.0
86,60.08277576212481,75.0
87,38.38048995683441,75.0
88,47.223893813795975,75.0
89,48.01515033636251,75.0
90,46.98079942611354,75.0
91,30.861832626922833,75.0
92,35.391300472426735,75.0
93,62.87482835815337,75.0
94,30.80641735810565,75.0
95,51.873790155127246,75.0
