unit_id,JobThroughput,do_cooling_setpoint_controller
0,19.184091252788633,40.0
1,24.401412757808203,40.0
2,21.452106453112133,40.0
3,17.233244767759686,40.0
4,6.085488106557918,40.0
5,0.8804576578712064,40.0
6,22.12371759504387,40.0
7,26.088822978984716,40.0
8,8.540715639921961,40.0
9,40.40874621660569,40.0
10,4.305073002624356,40.0
11,37.6493386598604,40.0
12,11.452267364872174,40.0
13,15.011856910733828,40.0
14,11.780544941183916,40.0
15,16.623552543671046,40.0
16,21.729622271489013,40.0
17,3.7031263077526773,40.0
18,11.101566699045655,40.0
19,21.930319601823967,40.0
20,22.377816748421694,40.0
21,31.09454987940267,40.0
22,66.26971446979265,40.0
23,0.4799356606884615,40.0
24,10.271841543741349,40.0
25,9.061148397856357,40.0
26,3.9820323879197685,40.0
27,28.31354499045221,40.0
28,7.14609276461093,40.0
29,10.2793544390614,40.0
30,45.903406557512334,40.0
31,30.428409251641696,40.0
32,4.089439118586796,40.0
33,14.925209162110473,40.0
34,55.33947045301153,40.0
35,46.31217939730932,40.0
36,19.020718270205492,40.0
37,13.878164421848473,40.0
38,12.25626415194691,40.0
39,22.411695408084704,40.0
40,20.90372508806858,40.0
41,21.908031445552425,40.0
42,23.243874024364615,40.0
43,9.093440793969709,40.0
44,16.31074979158027,40.0
45,28.813955711685463,40.0
46,17.083326204124255,40.0
47,13.49739706030376,40.0
48,6.066907973278808,40.0
49,11.749106127557598,40.0
50,23.79617344027216,40.0
51,18.299637171063743,40.0
52,37.0227260309368,40.0
53,17.71274773191032,40.0
54,-2.171768301749674,40.0
55,6.39717686553081,40.0
56,19.69307587032931,40.0
57,27.915392623573318,40.0
58,10.336124191826832,40.0
59,10.34513353066058,40.0
60,31.173549469573917,40.0
61,26.76488030461497,40.0
62,13.93947272709163,40.0
63,29.280810910524238,40.0
64,18.927061195611074,40.0
65,9.127327931492697,40.0
66,13.820088914927014,40.0
67,15.809032515735865,40.0
68,15.92029708268177,40.0
69,14.430255524675582,40.0
70,1.0827656808176354,40.0
