unit_id,CropYield,SoilMoisture,do_FertigationRate
0,23.59547796176441,73.45526296540878,80.0
1,27.75207297955947,58.53243750038425,80.0
2,23.446855613469403,63.904698807419805,80.0
3,18.889826989929006,63.30340168206772,80.0
4,30.403655724897185,63.49626957003873,80.0
5,29.26028854347983,66.97686377675917,80.0
6,25.374823710680747,75.12284941433353,80.0
7,22.374963002822177,82.76337465329243,80.0
8,29.366222553403293,76.24717444602541,80.0
9,23.827573997043483,76.04287670330258,80.0
10,29.897074056417846,61.288853671881796,80.0
11,31.463685416612694,92.29341713953282,80.0
12,24.890066208824532,72.22205249691304,80.0
13,27.085952214699134,84.68561845901249,80.0
14,26.779102922651525,63.84693867769342,80.0
15,21.44952619121258,54.42765120170801,80.0
16,37.59871494858686,67.61287700188262,80.0
17,22.156889614426287,65.95684467652694,80.0
18,22.995566811368384,72.19956341653467,80.0
19,24.603916442492928,63.501887645905484,80.0
20,27.38971206875873,76.54388125227909,80.0
21,24.827143855040166,58.60259452290816,80.0
22,20.450096207152455,85.26411429096369,80.0
23,24.663873003063188,79.09504428463678,80.0
24,27.367119497814805,74.40854848594915,80.0
25,29.785416099816445,83.9719070875073,80.0
26,22.659488800757494,63.65920123859238,80.0
27,27.361860407959202,61.82253406537914,80.0
28,28.179181308655046,78.55384824091075,80.0
29,21.847642811398103,72.20018586058868,80.0
30,28.54346876456817,85.43492019138168,80.0
31,29.482218538545,84.90771316863326,80.0
32,28.319084149056067,79.9686252838767,80.0
33,25.225143925793258,86.23999301730498,80.0
34,20.78157103625019,74.80586137079965,80.0
35,29.23004615300807,93.59064559973106,80.0
36,31.088871149611776,63.5443021718801,80.0
37,28.948478551410563,82.862333822603,80.0
38,22.413047548403288,74.31238870021389,80.0
39,30.237320234015062,100.49181885756973,80.0
40,27.823322953844116,76.33728457011337,80.0
41,30.79267710125793,65.58784302361916,80.0
42,25.73099201817152,78.32707064465228,80.0
43,26.215703378940013,68.03307864425074,80.0
44,28.352737697954133,69.85343640235703,80.0
45,32.565028115468294,69.87941972753144,80.0
46,18.307617986661718,66.67268387960145,80.0
47,22.632601607387578,44.867854655622125,80.0
48,26.704896457935515,89.90849183879747,80.0
49,23.829274883878515,63.562291311852015,80.0
50,26.963113355681017,59.34094016634574,80.0
51,19.1049757547208,61.71866680531879,80.0
52,25.502483319946254,81.7696775235612,80.0
53,30.15839528361306,84.8039611365584,80.0
54,31.730136051535048,86.55247504024388,80.0
55,45.53593999911172,84.88544608209568,80.0
56,32.21016830321383,97.89979350130571,80.0
57,22.45805533661509,82.77056624935611,80.0
58,28.902650854443063,96.78000952650133,80.0
59,26.76960591400759,77.41599516927974,80.0
60,25.436267576753476,76.9255872670094,80.0
61,28.417948376516545,74.62946271887617,80.0
62,23.253949628101143,55.4830232029923,80.0
63,28.058423265080197,93.4006749694235,80.0
64,28.787180266860315,74.32285443464555,80.0
65,29.783241052241678,76.6259574760675,80.0
66,34.52924329078453,80.97548837621521,80.0
67,30.63795659547829,97.54793178364432,80.0
68,25.62821986119646,68.8839051949768,80.0
69,29.048638622516926,75.1977781745446,80.0
70,27.90258887866623,73.50537387402989,80.0
71,24.464476114562338,70.39581788815069,80.0
72,26.990685217454143,87.80071473273358,80.0
73,23.107510480393103,77.907901005092,80.0
74,26.76865344139698,79.85207266024477,80.0
75,28.782640828305745,74.05112263523094,80.0
76,31.182984715571664,83.78659173637318,80.0
77,21.444511734020725,63.08545715780508,80.0
78,28.67162534120031,108.99883841934593,80.0
79,20.804163186313545,61.65612625408022,80.0
80,23.866190917120743,69.93406857839737,80.0
81,29.746082495834912,66.46317153201942,80.0
82,21.849442734523087,66.48229254716537,80.0
83,29.87616453936831,76.31893597594171,80.0
84,27.10620824615937,77.12569842683106,80.0
85,26.517174560117233,85.75603562987494,80.0
86,25.672855814015946,55.97358477587797,80.0
