unit_id,JobThroughput,RackInletTemp,JobQueueDepth,CoolingAggressiveness,do_CoolingAggressiveness
0,20.641595168033316,76.58690495675363,46.94664414549945,5.753291385846712,10.0
1,1.1064792521095095,52.78832641166384,57.329409396319946,7.710904769143478,10.0
2,19.659382329970917,67.65522902262671,52.38588308881283,6.7653131322753515,10.0
3,15.037690815759387,65.10559471340378,59.465983334785044,3.6734970235974984,10.0
4,7.4360355306642525,64.74002326836695,59.271585274443595,9.645538379975031,10.0
5,10.056783787574911,80.49983227613957,77.05544438362065,11.727930405548367,10.0
6,9.849482226716413,83.71425321713703,27.452685292880407,9.841873427906641,10.0
7,16.685573533507508,84.60247506101395,25.984294930368836,11.316560214240194,10.0
8,24.389354419309182,93.00622682621716,44.59906614589613,18.976538749903845,10.0
9,0.15231776779711925,51.764326339878025,48.955978922107974,9.726484307154768,10.0
10,4.982596336210013,70.2527593141505,54.38336317348801,15.933094845470645,10.0
11,13.617019842334244,71.81404046665142,59.913027885298604,8.952413070971685,10.0
12,22.116827372335806,77.68511845952568,41.53208954829319,9.052696162639112,10.0
13,21.14485300389486,86.33250108107859,54.68881652676557,9.792081787360862,10.0
14,25.304636462515436,86.31531768416184,28.94853910140339,14.736815880732916,10.0
15,16.510253142455593,58.37891440549484,51.36120216821595,7.568942020396467,10.0
16,10.13701677317069,66.40043011491697,44.81253733898538,6.864045012971972,10.0
17,9.527747842038204,66.7465248437596,58.28502436616313,8.861008482435567,10.0
18,20.920393271143208,73.78922871048813,47.26530528300804,9.180053394174998,10.0
19,13.183578356819972,63.43680559968927,19.177090291430083,14.291011244710575,10.0
20,39.61290014330078,92.69084136271853,62.92230299064362,12.090292464461982,10.0
21,-3.0090280511289356,49.90354898741838,63.90713668645306,4.5006411327248195,10.0
22,22.443340161751934,78.15892111568905,64.73836797989614,10.053158815029354,10.0
23,19.000037292452557,93.95000977186331,41.46435524860386,12.466183437249908,10.0
24,21.576660518592934,73.00730019277718,56.40312497359966,11.350151532983439,10.0
25,13.774607405179722,57.1829693953083,45.962604491111044,13.770683819655279,10.0
26,22.09040292587912,76.08494843993687,61.43356416080536,10.05280276597185,10.0
27,6.61571161189252,72.44208521770538,41.74765327160429,8.463250184222977,10.0
28,16.431724718775627,79.5603616205297,22.587562733516208,13.007933470541552,10.0
29,13.299431935004481,72.31389839539528,45.25461666971609,8.616960508339718,10.0
30,17.527716887076483,88.34921012877744,58.18961325634492,16.859082057174028,10.0
31,7.983739124715013,62.50852164086392,59.50834097478336,10.61175763539764,10.0
32,14.210352342740629,66.18817652430579,67.27651183484645,10.059932920208078,10.0
33,17.023109828836045,70.91145435671584,40.395062918228135,14.980174616405229,10.0
34,12.920487691337165,61.59733821720693,26.94356662973362,13.873878351041228,10.0
35,18.35330657101321,77.25977094345822,29.212711439976083,9.908675784397595,10.0
36,22.7607559255752,64.51905756572401,56.21765234845059,12.324489398845285,10.0
37,22.57731115176332,71.37936390988456,43.40920860968381,10.242971099167791,10.0
38,10.644378600495061,71.43687135668581,53.71522234293126,11.260646278656882,10.0
39,24.099205090985414,82.85793102553104,36.75531545344316,12.755611916370684,10.0
40,6.742261518270547,58.61860416279742,55.140593200860195,9.48205870700657,10.0
41,17.828998177957818,73.67936576376198,55.139900085569856,8.38640468151618,10.0
42,10.131088581416847,70.66023762039599,53.57335730212619,10.349991518952445,10.0
43,21.682532979434505,76.88224881199892,33.009217300992624,11.429602943580813,10.0
44,20.937973252144598,74.74913561616216,45.23529156891475,4.654950623015072,10.0
45,13.849256573490338,62.2264524131131,45.59442574885786,8.684805927283689,10.0
46,30.033205566278642,91.96545618924576,20.06904607039059,8.084408433530824,10.0
