unit_id,TissueNutrientAssay,CropYield
0,33.400107323776396,-10.264736385920063
1,46.528081078996095,-2.2363378031569336
2,0.3437684674437911,22.272130902179185
3,0.6309490917323259,11.720256167834785
4,35.12213906954456,16.55495978539344
5,49.171530049686154,-4.907439435693663
6,36.02407569153581,-13.380173723393261
7,39.226668351488144,-5.356312420653106
8,44.23650861622983,-3.2575543225219143
9,51.90351373290791,-6.801685544634953
10,35.24084128664161,-17.37285964718419
11,56.945627438345,-24.256601054887494
12,23.08549074924874,-9.385979041359848
13,70.29272331810087,-17.187429728009043
14,44.44997451219645,-18.858783344420885
15,61.62520920124797,-20.924914247766058
16,73.74418086782197,-20.38717739176301
17,46.2265250719845,-7.2487154163276
18,59.880085013250664,-11.23291211828884
19,14.875057531377973,15.703907688238361
20,49.899418880215116,-7.462355263834747
21,27.048325721399735,-2.6278671168167644
22,36.88656096888271,-32.49668442119385
23,53.83053790771522,-18.927971377099652
24,58.14268958390772,9.045310758574297
25,7.922870698611689,4.673256272596603
26,54.95408305478777,-32.31438442461676
27,32.532684418139574,-4.529351458398082
28,63.38506198127488,-15.596166106841402
29,12.354580667974652,14.665988522568462
30,45.817532576951834,-11.256216244667812
31,67.76800229515293,-29.008646085746424
32,43.11148197049406,-8.200910104462725
33,45.68019652366184,-28.977044628811186
34,72.90343766090362,-8.661720048341419
35,17.396293776587918,23.357513412490395
36,44.28059903917605,-12.248305192080043
37,52.60114757344401,-24.997836574902685
38,39.17276487648368,0.5917460758539212
39,41.157122460600036,-17.615910681162426
40,21.883463988721424,-7.772157820921619
41,30.94534145398508,-16.067349958223925
42,38.792403668198844,-7.034930399358249
43,25.34448450424817,1.6595996670685538
44,74.82556727287634,-10.283013715431615
45,58.3743180072931,-6.433288038812726
46,58.66106094590252,-14.087221031642212
47,40.25163770414005,-18.97637474255302
48,58.601578312093096,-18.76609865670406
49,57.86982033113787,-14.326108114301253
50,63.806977167428606,-16.43210596537271
51,66.1977794847044,-5.432865314407042
52,55.133455299359035,-16.25142698353041
53,15.664040314118303,-15.305355518687644
54,41.97859849911146,-6.339853800230027
55,15.831492296904097,7.48075361274536
56,44.46931316365934,-14.157764311866973
57,65.99697506115442,-9.711734939019143
58,58.158897537080875,-3.987740320555766
59,-0.361862411779164,27.252023449709533
60,60.588125221015304,-16.5833817997745
61,49.79360000988814,0.8251118714547576
62,48.96544039314203,-30.15074928389675
63,61.47065225272148,-6.471297671629849
64,44.78025983510288,-1.984271105377431
65,39.02643685357891,-5.803710629471697
66,31.231103993558293,-2.0066624612637707
67,47.213729334499895,-6.416970252358372
68,52.0888268766965,-27.608414895362518
69,27.535668215846417,-14.397810493055893
70,40.44224633452464,-1.7997968013340673
71,13.132673410091666,8.376471071375722
72,41.70994198523815,-10.083544226612556
73,46.434720375982934,-8.61120466182301
74,43.009171620018144,1.525250770628722
75,2.0611157667589524,-3.2730736802229785
76,55.43451792819698,-4.1234357834858235
77,34.14613521869994,10.622864773727741
78,84.59407552582938,-10.329725517491713
79,44.249638604756825,-14.719961997516403
80,57.87214650514054,-31.441467254079598
81,39.405075001713776,3.7930791705962257
82,29.37985524633537,-5.9840939724047715
83,34.68348745487455,-35.999585039704634
84,48.20137217330741,-3.09805208699973
85,47.88901956739831,-5.935444961212924
86,35.777380576568596,-17.895994716121713
87,32.43474755695286,-11.323327686768792
88,39.25509112110217,-10.009631945531861
89,62.085339945160435,-20.288226699343536
