unit_id,CropYield,do_iron_fertigation,do_light_controller
0,22.354729414511638,75.0,75.0
1,22.559496673939236,75.0,75.0
2,23.998479888827355,75.0,75.0
3,23.550723445269657,75.0,75.0
4,21.669705963147848,75.0,75.0
5,30.291495776126755,75.0,75.0
6,20.338698512583814,75.0,75.0
7,23.002141252681657,75.0,75.0
8,24.31063361203039,75.0,75.0
9,20.011959103508453,75.0,75.0
10,23.54461134972429,75.0,75.0
11,27.73659814928028,75.0,75.0
12,19.15811898387575,75.0,75.0
13,24.217496854343704,75.0,75.0
14,19.128048749466203,75.0,75.0
15,21.347817765180658,75.0,75.0
16,22.916193560751477,75.0,75.0
17,18.05313282916169,75.0,75.0
18,20.411514025044248,75.0,75.0
19,14.213079524775985,75.0,75.0
20,23.002831779397713,75.0,75.0
21,23.37017684992448,75.0,75.0
22,19.753362003534036,75.0,75.0
23,22.931784529158325,75.0,75.0
24,24.81308455064156,75.0,75.0
25,20.89323739892374,75.0,75.0
26,17.28704805572833,75.0,75.0
27,21.44503159729309,75.0,75.0
28,20.54985482212462,75.0,75.0
29,25.714511715011167,75.0,75.0
30,20.26849199516911,75.0,75.0
31,23.737247223916608,75.0,75.0
32,19.81093410432196,75.0,75.0
33,16.22984863186489,75.0,75.0
34,19.868723338795625,75.0,75.0
35,20.083400090739232,75.0,75.0
36,18.74580502333259,75.0,75.0
37,23.009366904546678,75.0,75.0
38,21.20669781765795,75.0,75.0
39,19.74519157604369,75.0,75.0
40,19.95201907773217,75.0,75.0
41,20.07445895754874,75.0,75.0
42,16.55290249561964,75.0,75.0
43,24.682715440334764,75.0,75.0
44,26.66800339097751,75.0,75.0
45,22.32025118062828,75.0,75.0
46,21.69733859641656,75.0,75.0
47,20.93385573772315,75.0,75.0
48,19.23456865920263,75.0,75.0
49,20.762955615607808,75.0,75.0
50,20.03537739116565,75.0,75.0
51,22.252383248875226,75.0,75.0
52,20.725138852004893,75.0,75.0
53,22.875513257299378,75.0,75.0
54,24.552042216747274,75.0,75.0
55,17.24935599297821,75.0,75.0
56,22.332471248511617,75.0,75.0
57,19.870371922348678,75.0,75.0
58,24.189381722195268,75.0,75.0
59,17.782916233300096,75.0,75.0
60,24.662249093928395,75.0,75.0
61,21.159548387035418,75.0,75.0
62,21.106736823196577,75.0,75.0
63,24.130472399651186,75.0,75.0
64,22.684159022367954,75.0,75.0
65,22.23966609629157,75.0,75.0
66,17.964761812438617,75.0,75.0
67,21.99729309213003,75.0,75.0
68,17.490919418363983,75.0,75.0
69,23.69384112450556,75.0,75.0
70,20.631318215374314,75.0,75.0
71,24.487989370146785,75.0,75.0
72,21.970476578206032,75.0,75.0
73,23.549418991367876,75.0,75.0
74,23.96426106288209,75.0,75.0
75,23.93185362146714,75.0,75.0
76,23.810889153254017,75.0,75.0
77,23.573384226153287,75.0,75.0
78,16.905776263993765,75.0,75.0
79,22.34259539619124,75.0,75.0
80,16.441257257925194,75.0,75.0
81,19.18002483634758,75.0,75.0
82,17.823772927423725,75.0,75.0
83,25.20214141620265,75.0,75.0
84,21.422212693264683,75.0,75.0
85,23.443464979629052,75.0,75.0
86,21.117809369350923,75.0,75.0
87,27.286021687783386,75.0,75.0
88,20.77633841025536,75.0,75.0
89,23.186703663094992,75.0,75.0
90,12.033661433837619,75.0,75.0
91,19.59866337533728,75.0,75.0
92,25.391159778075973,75.0,75.0
93,14.446403553734395,75.0,75.0
94,30.5990702794958,75.0,75.0
95,22.722302831837688,75.0,75.0
96,21.906228057134314,75.0,75.0
