unit_id,CropYield,DissolvedO2Nutrient,EC_Salinity
0,18.48370005745781,37.223007044671476,38.04394333752607
1,19.113037091010433,46.73463836052887,40.05926323286404
2,23.118304642583944,63.709969119329756,40.16283052104471
3,23.790079230669683,45.51126866291931,49.80613565543006
4,17.223568808067988,48.87421685496196,75.43956713432429
5,17.78193400603407,40.72451076274734,52.82205448081619
6,22.79053260821052,58.004881530018935,28.4673591731859
7,20.905620308412164,29.669438534293057,81.44687930928777
8,18.2006536256853,55.498265053457665,62.387464461883184
9,23.300433574296555,57.77817346692547,48.440570482643444
10,13.502091943239739,51.74717312677809,63.19024696897589
11,17.94050305137142,55.27954588971371,40.39107660117189
12,19.137338283234072,30.425166287634216,57.40256748469601
13,16.648005604776493,53.88011420270771,30.091169695254518
14,22.27728507069259,43.73877960644409,48.243603440711595
15,21.382437253670503,30.876524956041045,51.133813926332515
16,19.17909381901621,46.78028015838456,56.08094424353974
17,19.995454978115365,51.314506941946405,61.69695509932818
18,18.714930887402197,29.10122705467865,36.65669131708477
19,15.329961364792418,81.37117438682448,55.632922565558935
20,17.867562614360768,67.60697792400697,32.389064788701795
21,17.851707981009927,29.63149971994747,48.69014191717343
22,17.107912835127422,34.64936974802659,64.17211112947321
23,19.449003225029184,60.29468888538111,22.922592566682308
24,14.100985903493962,58.8707359764559,53.327102942199595
25,15.774543828921841,46.22960233066273,67.70393197036346
26,18.428340231258886,61.74411473211391,48.28511940722504
27,17.11862880045517,70.42846906720798,59.288023434178946
28,19.78939308885544,40.21806422496078,61.42991684946351
29,24.516166864016338,63.98570893217232,40.1697940861562
30,20.706151261017002,49.066979054682335,56.14093055615949
31,15.98742127864857,21.457201850811764,33.2810225521699
32,20.60831719611989,34.13854424591643,55.62828284468328
33,18.04564171362807,77.96385891954552,39.9151506326602
34,19.896520330016003,45.71014864305353,62.246458887275665
35,18.581460970488997,55.79240528472551,46.07495019682162
36,15.325540308256757,46.120555053903786,32.98158749155352
37,12.716517298061085,42.3094771199114,16.292766649499576
38,19.614212379001447,53.336243841669855,55.75194780925569
39,19.953765030351672,39.405478123265766,48.65541883071767
40,17.736900054086764,59.07688071501088,54.64820166361057
41,19.672023647488885,42.34141341402816,62.768421360662266
42,24.376024056952858,48.51210172414049,40.05091569458772
43,24.845171046767312,51.54045726695714,59.76026916183605
44,20.37144390598893,57.19300273949672,47.156060950391236
45,9.937265929015954,37.269710138864546,49.30733559743946
46,24.140317972858124,59.53739349824576,50.92070506233688
47,17.78050019624796,52.39362600021803,47.9709199745779
48,16.320846207559967,64.22437479843424,15.435126452713906
49,16.966499936679174,53.15139799543704,46.651356729753566
50,19.024405553986814,54.14396186001906,21.36007672929918
51,21.06495439810304,26.616838667101128,48.64560094839531
52,20.17437161819898,29.291355900800106,68.04008777833977
53,9.311037027400339,49.31896016483371,43.735867138927304
54,17.0039432755669,52.20274467639579,60.163501848160294
55,18.241882286333453,38.5334558896932,55.8896442993085
56,16.41655908197959,18.07282574079555,46.893105087574725
57,22.801317067973997,57.154329244567236,60.713738745391794
58,19.159625562996276,28.684021665116987,44.35892588904973
59,14.148227778500726,35.923155234968405,49.54312052702774
60,16.145126984287746,70.0713656882836,62.86166325934092
61,17.987412541998886,47.054789851277285,54.114571464968456
62,20.9798991272951,44.835460890955574,62.481676181300074
63,23.338157033934458,46.90755946168416,60.441467610545146
64,24.320626337432557,55.51247072254293,43.092515639692905
65,18.194374530263712,37.604725861102374,69.11384937094527
66,18.168445150790898,36.81531394254663,42.240612624551304
67,15.477762473119306,52.10863446645145,37.86167004476745
68,15.878404611055519,51.108088273585416,28.146280903965852
69,19.814298759420073,44.13569209639453,65.04663038735677
70,19.368577806205387,35.65819520789267,57.97519043363229
71,18.07229638557871,68.80793749688442,51.048979958886314
72,18.474638707722487,47.43841622892187,64.57707595006077
73,12.588244704048646,39.88329565422522,43.76782544931354
74,15.75739556424066,53.57400795673767,25.398493608711387
75,24.26919776094516,41.74533230200061,60.82585051875938
76,19.920439343387326,41.94063144992375,45.6643523245974
77,18.88097704990763,45.53205311725449,54.34846897309749
