unit_id,TankTurbidity,StockingDensity
0,77.44098166277409,68.75332544362915
1,89.60453597437466,29.51322300432747
2,75.42379510798179,26.58484254833084
3,56.19331372902546,46.929502529019295
4,70.35801952856544,48.94934101065483
5,64.88552930576505,45.88138535821028
6,88.08188955991783,43.85788130713795
7,87.83851511773825,44.70356352619744
8,88.60320845608226,10.82869381088863
9,53.460012592164,43.02555675149745
10,90.74234786747594,49.15330044732884
11,43.670537099219636,61.720004064983726
12,94.73608655102755,62.14736734811462
13,78.47819855633938,49.85755131705339
14,95.04824184341899,28.567709584888714
15,89.26508792210595,54.209865726468095
16,80.11649329849745,49.1138871963542
17,77.5890753749376,47.364789557911806
18,71.48628256139516,39.5311295851263
19,83.5674565548318,45.31551767487208
20,80.13048474908332,51.139713641121624
21,72.33657082035796,46.44714862489123
22,97.7003775771569,43.63726898730426
23,71.63984246132746,61.772565633933816
24,87.66832496578282,38.11215463809257
25,70.47907348807482,34.687461505511195
26,84.02243604185635,31.994629683149817
27,82.60083686800748,27.588100424423637
28,83.18126923986539,61.19555001389623
29,65.79787132870233,44.2780895215072
30,58.90807943905877,51.71366285139433
31,81.70461082394588,43.66346927229975
32,88.11885469075203,55.21434387960609
33,77.23638113240906,27.82669256232752
34,71.03243491613061,40.221886576350705
35,55.11830997908316,18.01491543352362
36,83.7005851184213,63.98120335350377
37,89.91194896755131,61.03880172223042
38,82.76977413866769,46.40653723556317
39,71.21713766768289,26.096190151972866
40,84.71138996284407,19.89704997483472
41,81.7042204213227,40.27124122420309
42,70.23953089291813,41.00205299299744
43,98.93253785165707,54.268275203992246
44,51.1101068845072,32.279784150008915
45,68.78093224411309,37.36749842017084
46,70.94315361842415,37.85258091660889
47,96.65368572761747,56.966381054278365
48,72.8624032424751,48.643439517857075
49,77.01517263784098,35.937638510744975
50,80.19811124214517,66.45975070198008
51,57.946575598703596,47.913986663850224
52,85.88458090714897,42.13590500593369
53,83.57913889608095,40.53537219909315
54,81.94433466500911,47.565330633907514
55,83.50522183240912,34.254145180160144
56,69.42496124870985,67.10309697364697
57,50.405443624925766,53.05973159372527
58,76.41603051296215,35.247115777244794
59,73.34063059356681,51.955489934168725
60,74.77525233370616,62.75039806489535
61,58.57662379933357,46.339505436168565
62,80.53326813831727,38.832446737481746
63,90.47640528180138,22.917858055055788
64,81.05773895089315,50.770518032455236
65,56.738187763382136,34.78400897343202
66,82.82247202690777,58.505626096875275
67,97.13150611639699,48.135259403866165
68,81.02409749821668,51.79068601989792
69,83.5152853658721,28.512145658232118
70,42.9249639812034,27.681103526861975
71,58.13101440914287,10.391275163053816
72,67.02501640847272,55.45909397683307
73,54.282996187477856,26.00032213274855
74,76.25622919665727,41.73553183687797
75,64.6935156859277,50.75051400087614
76,56.761053614894486,25.127847535597766
77,77.30075878733031,53.574885612655244
78,78.61821441986771,27.566995676224295
