unit_id,HarvestBiomass,TankTurbidity,do_StockingDensity,do_set_PelletSize
0,13.598818731701163,72.28894055322236,25.0,50.0
1,13.58988245871969,74.10916029242972,25.0,50.0
2,17.585624294196467,84.83366049213703,25.0,50.0
3,15.83593557452283,77.13525997379426,25.0,50.0
4,14.470920135118746,91.90776164725085,25.0,50.0
5,11.76584676993393,75.01897565885139,25.0,50.0
6,14.84845135124194,62.79849002413914,25.0,50.0
7,9.652245610792876,72.00191807903221,25.0,50.0
8,8.549906510393523,67.10181819549943,25.0,50.0
9,7.816046458725599,68.49722319304547,25.0,50.0
10,10.649871811384383,70.12098022440293,25.0,50.0
11,12.049629992263528,81.462314324766,25.0,50.0
12,6.181045309584709,45.33886429664057,25.0,50.0
13,14.91477317669606,80.74925999079184,25.0,50.0
14,8.766645102471882,70.37396566996384,25.0,50.0
15,12.269002541163335,79.66333341389017,25.0,50.0
16,8.943927896644249,73.7304601362622,25.0,50.0
17,9.454714685763046,66.33844466651722,25.0,50.0
18,9.990126522780857,67.76642804891328,25.0,50.0
19,12.955592037470032,73.6014733010166,25.0,50.0
20,4.9400276501930005,69.99745077275782,25.0,50.0
21,11.832873985287609,80.94849955375824,25.0,50.0
22,7.650732992942514,75.55336416193094,25.0,50.0
23,6.447149498222395,61.42871397270292,25.0,50.0
24,5.895660982466273,85.27797631365739,25.0,50.0
25,12.21280125712653,85.94094688504462,25.0,50.0
26,7.76430176723974,55.766725822458426,25.0,50.0
27,6.75981248338293,70.98862165534631,25.0,50.0
28,4.299911472347913,52.67624837034428,25.0,50.0
29,9.893407501915508,78.28781060866551,25.0,50.0
30,10.235015241191412,73.9568262857458,25.0,50.0
31,10.112495786467019,74.67349930198674,25.0,50.0
32,5.002523324260443,61.023328864866514,25.0,50.0
33,6.896771610977567,63.626386407244006,25.0,50.0
34,2.8231851580954217,48.47358715166976,25.0,50.0
35,6.906833539918892,64.9963795087923,25.0,50.0
36,14.145279562758265,71.12096567215642,25.0,50.0
37,16.396856768417244,81.62746989392777,25.0,50.0
38,7.626927240017665,71.92175152514905,25.0,50.0
39,12.166230036995637,82.61229991149996,25.0,50.0
40,17.062918804520532,79.70210558693785,25.0,50.0
41,11.543205415588982,64.35048249237413,25.0,50.0
42,8.649573934189204,75.192110765566,25.0,50.0
43,9.288875992224742,72.33941914829975,25.0,50.0
44,16.976488793739925,85.0646376434464,25.0,50.0
45,5.831702963175582,61.395848545878806,25.0,50.0
46,14.865860259131583,80.3354346466769,25.0,50.0
47,6.194950573263328,61.506772428910324,25.0,50.0
48,14.182441049425227,84.08305332433468,25.0,50.0
49,10.00156770955994,68.8990205646405,25.0,50.0
50,10.152460490369641,74.1711286394248,25.0,50.0
51,11.970366083878863,74.98674268638158,25.0,50.0
52,6.393869896535045,65.19101382526662,25.0,50.0
53,8.234722654531623,84.89328047340238,25.0,50.0
54,9.650142691585687,77.80667853251072,25.0,50.0
55,15.852662682669175,97.55439552085708,25.0,50.0
56,24.37372424672435,101.16196669361702,25.0,50.0
57,11.40898097952428,69.21236184586863,25.0,50.0
58,-0.45546052637529044,44.21957915019158,25.0,50.0
59,10.696442501524958,79.81291012814603,25.0,50.0
60,10.143177324671326,79.29419030896973,25.0,50.0
61,14.388893434286508,90.84822098864825,25.0,50.0
62,10.761683333818159,63.9653817469119,25.0,50.0
63,14.502779118485087,76.96212631374519,25.0,50.0
64,14.582478482680994,76.76053390720844,25.0,50.0
65,5.225658243101282,68.59255723566551,25.0,50.0
66,14.231259841434225,93.00461807657925,25.0,50.0
67,16.51945282787215,84.36263414903645,25.0,50.0
68,7.651482326677682,75.92996585160435,25.0,50.0
69,8.888318058157594,58.81573270875395,25.0,50.0
70,8.02210225684617,64.54545515738522,25.0,50.0
71,5.8900872926871495,68.52249677798234,25.0,50.0
72,8.339232230772463,63.63323002253534,25.0,50.0
73,10.368179071013856,76.750137981829,25.0,50.0
74,17.094910022636093,87.45943760505652,25.0,50.0
75,16.360504914100282,90.5938646470365,25.0,50.0
76,8.993927161960473,73.00904613208078,25.0,50.0
77,10.00242747467127,70.42898744963426,25.0,50.0
78,15.071997258549498,77.29785421830204,25.0,50.0
79,14.084530144537517,87.60967264004717,25.0,50.0
80,11.925866654198867,56.97317693780532,25.0,50.0
81,13.264710843329645,76.59729881135394,25.0,50.0
82,4.726686809454329,72.52160095375667,25.0,50.0
83,14.220556801698963,71.02638714936954,25.0,50.0
84,10.288677632543973,64.81481229923217,25.0,50.0
85,14.856715792738433,81.00883645851982,25.0,50.0
86,15.23060974060947,84.01210972178913,25.0,50.0
87,7.887724918184594,81.02446750564351,25.0,50.0
88,19.477990525397935,98.30501177557238,25.0,50.0
89,2.1800353567231454,56.665901079528865,25.0,50.0
90,4.485524731730692,77.48658623502246,25.0,50.0
91,11.058717670339805,92.02439532519632,25.0,50.0
92,0.548979360742635,78.21759904036061,25.0,50.0
93,1.9168884483467403,68.62802608261279,25.0,50.0
94,9.706118190131132,59.01239860053447,25.0,50.0
95,15.297598698335479,88.4407454489096,25.0,50.0
96,10.670129439844809,84.36291174396166,25.0,50.0
97,11.855300145990508,88.53224575561272,25.0,50.0
98,11.362481402459712,80.8761628776008,25.0,50.0
99,12.197431760633691,79.93366826853921,25.0,50.0
100,14.828447301356572,78.61190592589617,25.0,50.0
101,8.970890618485381,65.64126585003655,25.0,50.0
102,16.322311673341087,76.08041384244986,25.0,50.0
103,11.698889155247391,78.44798782750286,25.0,50.0
104,12.344557039551393,74.84149290841366,25.0,50.0
105,12.8346750817668,91.31816789030498,25.0,50.0
106,5.364660658354373,61.15732115500521,25.0,50.0
107,11.944975068606984,72.9062378892386,25.0,50.0
108,17.932038669273915,93.8309105825413,25.0,50.0
109,6.486777724045146,60.163868827013275,25.0,50.0
110,8.322403194436394,72.67338881773026,25.0,50.0
111,12.20715973498935,89.49893877907111,25.0,50.0
112,5.155032314564366,62.013736274515736,25.0,50.0
113,11.345106925536951,69.16240491622253,25.0,50.0
114,11.617567149311585,81.13497990154922,25.0,50.0
115,13.897861375151455,73.69512014834241,25.0,50.0
116,19.36701390020624,101.13428555175645,25.0,50.0
117,13.594139079913168,81.82885606898445,25.0,50.0
118,14.482515372551731,79.37662933360123,25.0,50.0
119,4.367039968293278,75.88782866718512,25.0,50.0
120,7.800492012145128,75.59676977884826,25.0,50.0
121,11.410609258691572,69.54214239974212,25.0,50.0
122,5.167063871865838,63.603487009243096,25.0,50.0
123,12.049036220097962,65.40885035574046,25.0,50.0
124,4.197982971102916,70.84251026741246,25.0,50.0
125,15.639856778433458,86.660669082641,25.0,50.0
126,12.659809738033331,88.48635363081533,25.0,50.0
127,8.492596569415383,88.7038350024922,25.0,50.0
128,8.069367568378318,67.87397867428547,25.0,50.0
129,14.096575018778658,81.33325079791183,25.0,50.0
130,14.875035016127068,84.243130175128,25.0,50.0
131,7.244432920324243,70.65814092247864,25.0,50.0
132,2.147223082688373,50.1223204588467,25.0,50.0
133,14.323637772683366,69.46979259990182,25.0,50.0
134,13.565826372583523,83.4614567286883,25.0,50.0
135,1.049871901476131,58.579168095146585,25.0,50.0
136,14.371873361730469,77.8136486202531,25.0,50.0
137,6.104022502029448,73.56648515416184,25.0,50.0
138,13.9506390627832,82.26104585326436,25.0,50.0
139,11.481539865442564,73.57714781777211,25.0,50.0
140,17.673400207053696,87.01227172465968,25.0,50.0
141,15.790897822813124,83.58655532576275,25.0,50.0
142,14.160927279923872,74.8613471376429,25.0,50.0
143,19.289024367773695,92.66037616539597,25.0,50.0
144,7.077298878919292,70.11007407694154,25.0,50.0
145,8.644577121216338,53.76394822862868,25.0,50.0
146,18.99499396458596,88.87080819221293,25.0,50.0
147,8.022124683635464,62.41100484955852,25.0,50.0
148,11.89055417686048,68.64256450339566,25.0,50.0
149,9.83847068831725,57.230907634911,25.0,50.0
150,17.346039554766328,93.89096946733136,25.0,50.0
151,16.17745517558759,86.84223427248348,25.0,50.0
152,16.147340759193757,68.38633253965918,25.0,50.0
153,14.05097063119469,78.43670891632483,25.0,50.0
154,12.025960297431336,78.22764430385992,25.0,50.0
155,8.5573008247165,76.00910318076322,25.0,50.0
156,12.453795793200257,73.55322816148369,25.0,50.0
157,2.049171612078905,69.40663547538021,25.0,50.0
158,4.416425932550961,62.365277160685494,25.0,50.0
159,8.297833929966382,84.734504561984,25.0,50.0
160,9.840701488611195,84.40698050506779,25.0,50.0
161,7.9439686205826465,87.06002585309056,25.0,50.0
162,13.33943046929793,87.83514354155194,25.0,50.0
163,10.048010908398497,66.73222882414005,25.0,50.0
