unit_id,ReadmissionRate,MedAdherence,LengthOfStay,BloodPressure,Sodium,Hemoglobin,HbA1c,Creatinine,FollowupDays
0,37.27304545900417,23.56395906299115,32.401279786351154,29.156920151503726,72.35111607915317,39.741186790938414,54.205641514786585,46.917922236292156,48.02001143192573
1,35.19744590254964,52.35162110948563,46.6283376320532,45.64365653814471,53.91680189586644,57.72790469416051,48.0540396036286,44.16640488838714,46.6709935036222
2,75.90332809729952,64.79123210310972,28.5487293995017,62.870104816125476,39.59249084691893,56.6403370460787,49.2154285605104,67.04525872457558,54.524993650942434
3,86.64055271986769,57.705465261817345,56.768472651970136,58.59419438162295,26.339971345156947,48.99891231389251,47.89603281214808,58.489236757696126,45.12371348797097
4,66.52308950357869,35.2080720552842,58.747314762907,63.28692533495971,49.75527715372314,64.45026524714736,39.427804289325,63.35464485687528,57.79805608335929
5,72.34918580954391,52.91523288002225,58.41118685134893,58.137816347299044,59.74169140796162,50.83565862836806,48.940893095424116,61.943975306248376,43.68445212348921
6,39.587104265661765,32.52807680166535,39.169652913922334,51.945387921253214,62.44379505618454,45.49892359784931,47.12721633419491,50.67493571386641,40.65456895918126
7,36.55939284343365,40.72656500096475,37.80442078368656,45.39069148122685,45.06157516733383,31.273185059646487,53.797935791497274,62.86176282739021,51.452565636516255
8,57.29861721576009,40.39260323938394,53.801335028701764,50.22499310233888,46.657708344659945,40.10384638684847,61.943335136249054,56.9498950074252,49.79955081055399
9,38.434554214690074,59.325425018960544,36.48545584497932,44.30138142690402,75.23309358371387,39.325481657552515,34.377407388174554,63.03248209732349,42.18339359188163
10,41.96353632454917,55.34212640436338,40.97684785089608,56.62500201633417,43.069162872979994,62.336936678193105,32.296056110963136,52.43091492537463,48.825744110311994
11,36.96908187884639,44.5575177274179,50.54430070774704,44.38869082993486,38.68035331781088,46.75717526990753,43.35176899896063,54.860175190733244,40.416773276460034
12,35.43274937536427,67.79269490264167,42.11057222301692,49.614682084020075,52.37723759085845,57.512066501131336,62.6287779036276,46.65674753996749,63.47105294230418
13,55.6620169811645,51.72677295081348,45.67599695112432,54.910370764253976,47.14637146964544,43.616726295539465,40.11647917017053,54.82138689563811,32.94621080681427
14,54.21991881037046,53.17603622687852,34.44674674916038,56.5606166661881,60.467551016863105,51.06726586355395,58.35215554641735,44.001564761263396,35.72120457819232
15,51.683360460214175,62.47353311868777,55.770956791305814,52.28212698305732,70.21515652692753,49.19964538524613,28.393021402878663,40.57255774702659,63.28747709627982
16,47.63788737634307,50.10582303057166,20.9320406465733,60.0819251636895,51.550701296249656,46.1516376811375,52.47927381329282,45.27971453358142,45.83198241086443
17,65.11792023185339,61.52588565336701,40.507056869983295,51.07505725701432,18.03045456475154,55.04687523842381,55.09610754319842,73.27825898296243,34.710271561200294
18,49.421582236635835,62.97324859809922,31.913467280286213,45.58372858809308,45.2212781036481,48.455877286620876,44.35299221085787,52.2999914559613,39.959679888849735
19,33.19845744147572,47.003107438498674,39.69147487356744,37.8793379015945,54.111208320927474,47.20223481075436,47.008188244332885,70.86834793363778,85.19160486862984
20,36.59357524790774,64.49975079177908,41.93848571788387,32.05338365128534,41.227351299999945,75.31935488721166,62.93872540668704,50.97093711528002,31.597646368109
21,57.770317024147644,68.12484450036472,32.038799132668316,56.03021029164047,40.687403040126156,48.037784604375915,53.282724836662666,46.71158108050578,54.21801811236949
22,59.185118674450194,24.67405279589907,58.063677206714466,42.89350856861011,58.216377318923286,57.062250196446385,41.638574288181694,45.922944343075635,50.54686284461363
23,40.53248695028212,46.638654318552994,34.48493024806419,23.993989060354572,42.7054448231394,39.78921801049411,36.009884543859606,42.384288030661324,36.869253761667075
24,37.32775162159845,48.279243697977826,44.42716156352179,56.706819592302836,51.99198826830799,38.78246334595674,42.179562941355314,47.54508205992083,55.898366168289954
25,43.06715572038734,58.90054818771444,49.38380026407072,61.070059658265386,43.86982549190135,58.728954184978335,53.526971155140636,49.702260434141415,66.63711106757391
26,64.07335855768477,25.67759260258388,48.701173764047276,54.96061460825716,59.565412968986614,33.75558000608872,54.415477553016586,33.369336961552754,58.45698357719856
27,29.448037948260836,20.648293988732142,47.87515758447341,32.89698448885687,63.50336328245791,52.101802719554954,39.426421743618434,61.357149772788205,57.96465875933489
28,35.093372295757455,33.45252929507437,27.104991996055535,47.93096658597747,53.67147114946576,66.82151673238086,52.8054079421066,24.060830751185165,44.707719082715755
29,30.93253963638606,34.85263845756028,34.82995545664467,55.161585508509184,57.131764548146364,65.16183138145975,38.62417575278201,56.475999628046395,57.77485832059934
30,62.32187549489307,55.08347046818109,58.07679960101633,49.33919056422223,56.095487431280525,39.742680921582824,74.76038300296511,64.37238343474361,68.59460346807427
31,32.930748006081714,49.082752466218444,37.25897495041804,31.00681635030314,33.53026696336293,36.590025047551634,34.59790792221607,32.80877720019408,65.28023218062629
32,59.546885670134166,53.733878925512364,34.96203135839722,74.26759022906697,37.040742481877594,36.51453335198699,54.11326943103793,40.85523966077122,60.29298066170347
33,27.227963458797444,52.450546405410364,33.97869702192079,42.96159856719445,55.03602772590727,45.205382189551415,37.210136930665904,59.25012031615023,43.02288708791146
34,69.82177727724795,41.370674269200336,37.10863702222953,49.4622832367812,61.02782131912204,45.12602768521927,45.45329674074209,46.076292585933146,62.106010939906675
35,42.654468652888795,48.34342659417128,59.944015384781174,44.634603290434725,40.393512500527116,63.49062750934941,46.28232039290618,50.50454899011551,54.17128203765127
36,44.45214866741451,48.23801835221577,26.74919821384848,30.871571152988988,48.88842408480382,58.83083506654903,45.39982350913273,47.81196252729855,33.68228718520883
37,37.493802148082565,52.82262435147682,36.386300129455364,58.918866850996245,48.2738769059808,58.9990555333365,67.16559585044072,31.34298388599113,37.745218640807146
38,28.527473534265177,30.961077276435052,38.8119452641814,48.9364923942324,53.756851190043086,45.015844049774785,45.865881558463535,73.14667350178891,45.135654251418266
39,22.172370079460023,59.86253734029903,31.010066116112124,50.682037763594465,56.60946896052138,61.07010051760288,36.48911727499606,40.3780285162287,58.92431400667647
40,45.82241629601835,66.00737322638923,34.85190641333115,71.51608823648596,59.082770182116775,31.09286263365913,40.3662800100736,41.449418886129656,53.48721306704854
