unit_id,ReadmissionRate,Sodium,BloodPressure,Creatinine,Hemoglobin,HbA1c,LengthOfStay,FollowupDays
0,32.464060862521855,60.170242226953235,53.45625754261238,51.28470630089278,51.917633572097316,28.116378370827803,44.036157192666224,58.75679532251926
1,28.7727463976684,45.56050748918172,56.792569693916604,47.31649297714728,64.00598267222233,47.472996950886596,16.607541443595082,35.37911101534456
2,35.857484286413445,40.195220168275064,28.319646665342837,55.07890566803965,68.15624854878418,26.359296447109713,42.66077284744716,65.42976823371883
3,37.39973763963482,57.415686449981415,52.53635468216438,24.522882594169065,56.682546122102465,43.9432536774284,41.02410388271343,66.67318564790024
4,36.962186671554456,50.492406021851565,45.10687730178521,43.76894213876068,50.70088355670701,23.72770749628946,24.33340048168172,34.84374385735987
5,76.82177126500513,58.113615099879624,60.18394782672859,77.63431134563523,51.294786956439786,56.39569163450606,39.11805836018292,46.448032144082006
6,69.83133484067602,48.08175454704305,42.03545817040222,28.608246013044848,61.10907776270059,33.04502275091906,43.905688754502194,39.84183574059137
7,55.76862714302678,57.35300295114133,26.054190473369243,50.226286487290835,51.43702112797674,57.61003276256267,51.11605817034196,24.51722180094552
8,65.42612206413175,46.23837508317038,42.859865120301144,70.30616004198416,46.78320553175115,61.533930191675196,53.98264150661628,49.816877331585275
9,36.38826680012234,41.31979594769982,46.489286146376394,50.18094775053632,50.179732196809,65.4622833365206,20.441351245339032,52.38501284702103
10,44.69230435345435,58.91615235171939,74.44444174448444,48.1973215746759,35.83905411808186,52.55971172041409,30.37632957209824,59.388045882198135
11,38.00387364771594,28.631499106151637,48.933649719588836,43.54736201578877,45.020159904969454,56.61847930885585,37.749812331245955,11.821742746291394
12,36.08640801824368,60.52882863046992,84.73344336518242,57.62732980852943,50.401897307547124,43.56622025108159,40.60896722424714,67.06957102832918
13,89.50014738148806,27.87050356533565,46.93839382584122,48.75236846641819,65.5657465979308,58.04651353945162,59.8153158066188,40.48276503333019
14,58.32179113420379,50.912396463166544,54.269534198483264,70.78587062948999,48.77572500726481,59.23930884113978,46.07944954737923,19.211653006480063
15,42.41092767312823,38.19122128640895,35.444788394445986,46.64024087108957,63.9162937571019,56.49456997333137,26.077598680572684,57.186121019424384
16,26.492867697999284,31.233092780037012,50.949657283250055,46.66969905776982,52.34635334287179,50.234521422164725,31.76535363387532,45.625747081207855
17,50.15183695002034,39.10035395727187,65.41685227494509,52.14120891770045,20.375635380025525,56.06785624886228,34.8136345543557,56.403657183607635
18,34.24849462342123,76.20305153940643,52.25709672129058,36.3029769684523,58.894240672558986,52.903468735132115,34.86423755061413,60.996660088825564
19,29.568328153354155,47.03905782034346,65.9883361829463,47.70715715021619,70.7293209525089,46.54761725736086,34.65868932362734,50.38027812553352
20,57.87112316455175,74.19382780795621,19.61857666703117,48.769711298597116,55.92322824853831,52.74688659579678,53.42128979899606,70.71660956825733
21,44.196806719756445,40.608736682901636,32.484715234612835,50.19577210132802,34.15953401203689,60.225938297759875,28.952605250405036,44.528712900872236
22,45.22514912864714,42.31096156852776,50.299569739176555,62.59351722058761,26.661633281730058,39.16008631884438,39.02561334892679,48.74523960713219
23,64.25130977616291,68.34419631938468,46.56076977230227,51.173667209214294,35.47722730880105,37.7617284099992,47.5608252372811,53.78202453363773
24,47.468623568357565,55.89471901421584,43.17078733882198,61.06476579405842,62.74950641823803,43.65322874851071,55.95720220016033,50.490142222075825
25,28.88861769833422,40.959423430808634,47.0397530535258,41.76290963558424,52.27000038600886,47.87262646792686,38.495061613393624,47.767924123809
26,55.13519415430899,64.75188061672313,43.42932754868319,52.28319958775678,50.04590457880031,37.90920596577501,48.164895637789265,37.08994972151009
27,37.44432485130988,47.10175946720406,52.50578290417769,38.398318470625846,50.68007777322129,48.36622054946589,29.550756438405738,43.66897843745961
28,36.46419663583498,66.92473976684607,62.42937628503885,49.512758422503616,15.24470860780838,52.51732862686521,48.4054367321697,68.24430263421438
29,51.77385592853607,51.257893268362814,77.77780767694597,67.2425888240911,31.780913048190346,68.2513895298797,37.15160951343524,42.80520828619546
30,57.55651252784803,43.74068402956478,55.54885248585722,64.43584622068904,31.56611182007663,48.5474212670545,46.13598496085116,31.513237966840986
31,37.751763095152654,32.82755099231243,60.42414650668915,61.177583037871806,50.1384877866577,36.3524813536574,27.991420898775363,44.84462482429192
32,59.55805380592945,18.539064837448954,68.66809193588647,47.116335847963555,49.53675907191185,59.13755798239368,40.176033537178185,65.33846803149297
33,63.719931373183414,49.543043080817945,30.866323983931103,57.79674523250869,53.03570613676298,35.22785142595016,33.355642244900565,37.146860968498636
34,30.695464937738215,49.47427843978828,81.25467587125974,56.06734942025042,37.262536028467615,57.66853735435093,30.781873977906223,40.48491128890619
35,34.55862045893856,22.3502254248774,56.11949524143778,56.79749922659799,55.347816378952416,39.144263967011426,45.148682572910474,51.77149798449125
36,41.051902205918154,59.98977770309626,56.64761052817593,43.759063369177056,50.507254209645275,49.25750648504107,24.635945889327388,56.37154214762835
37,43.98964095714676,51.59644963801756,73.8624939753776,22.064007349966268,41.20019118993831,33.311325114852295,42.32039255419758,38.472406347318376
38,44.2539805680006,64.71200069073723,76.7856930308934,44.37198664364834,55.774876119041465,37.6526575104891,28.4160366561175,44.72757414464307
39,48.6657103689063,43.522186001503044,67.07609267289155,45.25857504807472,39.55628126601768,54.670256204068814,45.97970320003171,40.03484848573203
40,49.54875222028543,45.53820850151742,63.54190114062462,37.138003079910554,57.601811211864906,49.78982695065461,34.66897387035856,52.70778705622222
41,30.343613615375922,52.1012116028023,62.99126803088081,56.10499765953324,55.794727622813376,54.733870069993614,35.265360302380586,39.65782351313796
42,60.96747589024059,47.83180073081596,47.093538859453865,49.744492600288275,60.028758583422075,42.275269793298946,34.938505242452564,52.78470431560573
43,32.135528671626,63.58793587632552,47.17008516505827,70.57389037903326,64.83532971352555,45.25946075926971,45.86136652458914,61.20471860398234
44,30.817653859106937,69.12194713189218,24.524033504957618,52.20992976627102,55.79823441009165,59.45711117404713,38.22704729413893,52.49906346132603
45,24.250303177311707,38.2947076898537,65.57708920067027,64.76861246203546,43.671081029841375,66.02628035510158,25.937823695901884,55.147079218534024
46,41.18705013521716,81.37529453565021,52.73462440483294,47.91934014032466,44.45235487623063,83.43721237202006,48.84478822179439,55.53280529135547
47,52.87057520514615,32.44228544944467,34.18595578616573,58.498914412318996,58.084475605346356,68.09865053849832,52.75619054025647,42.98314354922315
48,55.47894734875165,48.679082838923755,59.63000499771987,58.954987056393826,57.31440573911997,65.12330106448559,36.553075603974484,55.48404303104784
49,50.637852237085745,34.69350224955977,65.31970188890321,48.04494354868031,41.34438477355318,61.829705672801424,43.94200351198865,57.3192341405984
50,47.20868887920416,61.23391958616819,52.84961209154398,50.48941953029695,65.36617404689338,53.75617573983008,45.44973215941643,16.389634310380462
51,85.4445934873687,55.78864820470996,54.47483398430191,53.363865020911895,46.61027283101732,65.76359363261706,52.33231011594001,51.07545906755431
52,57.79260259719695,63.71515376420306,50.200257846581756,52.00254134402851,50.64930375302798,45.68134623842989,41.19501381930261,56.873555996184834
53,64.10634880007568,49.29968812546825,70.43354472076334,46.83304791259317,67.80684707193772,26.480472350397473,33.60156330796753,76.13101441202963
54,33.97143365583289,53.0303030796812,44.63579624498366,40.367702813852695,37.438074169590756,61.08206631391317,37.42452341475311,37.03827580458696
55,34.8880560978939,56.560909477986975,61.250841108898584,33.69094168162718,49.01544328469202,53.76899190717519,45.058640222983556,38.95620539526681
56,37.660909107533854,43.91039409485637,41.84502344236789,36.118758285067194,56.73405786663119,52.46020368598614,50.870308624813624,51.84201567089648
57,65.18978048421468,52.97561891311178,45.22394011862686,48.8669080356115,58.72331044566231,56.3698067767828,30.520432701179523,43.08317609492418
58,83.44269924061004,44.89694831340435,42.28760886243356,46.55709935172515,37.00431921262906,40.21656296235072,50.48421586676145,51.29079961111948
