unit_id,ReadmissionRate,Sodium,BloodPressure,Creatinine,Hemoglobin,HbA1c,LengthOfStay,FollowupDays
0,63.872428102277794,53.769701644609555,50.3134931457486,40.43031788719616,54.28853758141828,52.33879711968201,35.901967876383466,38.6800366983947
1,47.07509802227845,55.42400547959747,39.484560150244185,62.61252262023256,58.002964012134335,49.50443224994325,46.773791199343854,42.27140734185829
2,35.38777505107259,66.21927835999858,33.265625421652146,48.5833364451302,60.07863162077872,59.84423178993156,48.07016243448806,34.84617878705971
3,58.50221812381344,29.83860872647222,51.06430100306191,30.87882602029157,53.76800232564029,43.686994587846925,39.55943966435666,42.00901941883323
4,44.34331563442514,64.76436729907206,72.54427625588721,58.54561632580401,37.21070836235522,41.94384269706807,46.896686999425384,44.41452172075185
5,43.60453834859628,37.6086646029165,45.238880310986715,44.294985749273636,53.99711403763853,72.51496998892677,50.80955230346048,69.24691543708147
6,46.824022914980716,59.90781845400347,33.6795671396613,60.08669385718431,68.04554016560756,29.504489600596223,53.96370745870417,42.5964433273016
7,33.93886147805878,66.42224069869815,50.651647403242485,51.469855052632184,46.11764518388697,41.48976238145929,45.707800369973654,56.551164911556945
8,50.09118592610506,62.728206793232,21.85315569877568,50.706291333135624,47.94044846161832,53.785878749273245,52.16822435339074,59.65635264630854
9,63.29151803733423,29.79517020593055,22.424814040252045,59.39354909485562,64.66572900064834,53.08176400580033,45.90631860815104,35.526110280893434
10,45.46837771505787,56.475057739917965,44.05011106589344,33.492017445516694,55.75172902643003,70.59329134001568,46.64337531718784,46.41703182589004
11,83.8644468725457,47.71579067010306,33.24897558438478,65.82593141073058,46.897453928280974,60.471102652337265,33.24094290260352,37.797115822073025
12,34.61379101733742,45.65337060599051,57.89190476625663,77.92060327193985,48.80651094034653,48.21492404083733,32.136404450684836,43.05235503596968
13,53.332817765429624,37.70690710612159,50.03892435651848,51.09517974219809,58.889891242083614,41.43813607120102,45.46619375655472,65.20689406778567
14,71.07943892406638,70.17404722017446,38.130051312078244,79.0194047744028,34.67161089546655,67.56268662425292,48.646791697595106,58.915525060707715
15,65.25249494030106,49.46582871662583,44.60177549657135,55.175008561743255,62.52499104243359,54.56461118475433,33.594380332959105,44.97870423827536
16,70.17069824382253,38.757880399377726,35.85316551614645,38.49941638300499,52.72287417157523,50.02308705118812,31.895225363045622,36.57462500833775
17,43.23785862668137,64.558759856806,43.93508857041969,37.15661770146829,43.135026176463015,45.43552362601093,46.12520626857534,43.677042320347994
18,49.56142239998452,65.96114717744935,52.71224139633184,56.650647074246464,63.34840286575881,49.82098535345247,18.655547782832198,46.579352613839774
19,34.282299149050615,52.96113341746475,35.99745523105923,57.99082310580829,76.3882697517566,55.299420369039034,49.53287495549322,73.54892751847129
20,45.62235932594248,69.66062257038084,35.706501960863065,64.96645684495188,68.35864867017912,55.573379227044995,39.57407384934288,38.034491424544285
21,37.81956722915481,57.2613286306801,51.2037927692679,19.69257313343155,48.1959139424386,46.83737045633762,50.27004017657844,47.416686617866866
