unit_id,ReadmissionRate,Sodium,BloodPressure,MedAdherence,LengthOfStay
0,29.3726242264024,43.86565611921619,44.659841732893874,52.99876767940414,31.89215795878079
1,29.886099336988202,47.62109375380657,42.128885814318785,58.56755699647297,33.16390442332902
2,46.52539707166127,49.1893342949894,62.580346726999345,26.265322756171116,40.07454491525379
3,51.59969205001332,49.290043959415854,57.278487382327754,65.70456265147779,31.65396013557845
4,47.08245775621521,32.24418885624441,55.309924181060936,52.196827675071646,24.889827121201606
5,47.117918098934,42.27827919762974,66.87172467884179,38.935162054270734,47.8941886849116
6,40.30267044953579,42.34609329591649,50.80627275858539,54.371409596476795,35.59071174989634
7,72.5885991873242,60.52544427239049,80.00238438296519,37.3602595875435,40.58230823268261
8,56.49445968211087,44.39527026708923,53.80431440004537,56.59090869396578,34.037727927923655
9,35.79488465483567,59.11646384519007,63.07068799209232,46.8701574378317,49.57315998289774
10,29.126750933884768,55.21287840450765,55.22252350270847,50.612191544387,33.29738950871739
11,91.66430449515157,53.265585352891314,45.17590638805108,65.17440390635119,60.955242924705146
12,56.592925303752864,56.52168051515385,37.896207646467744,39.77414288050405,31.7501723664585
13,51.89276923822725,42.23986324781525,53.219679360221306,55.21278433535081,48.447677812463425
14,80.74458264023798,56.42576813173031,57.42402753720971,33.87109427324638,35.967469834691805
15,65.59607893589425,57.11172928763715,65.93156173386674,31.93215259773418,43.59162064107905
16,71.89044187407404,53.38333661293534,39.93396683313257,48.01918319091345,66.49437805541798
17,35.91684359602104,52.09453312578334,54.619469637961906,34.81501876592376,47.04530561389959
18,65.22251005125541,62.546561844467945,41.02015804638123,62.371066073488045,52.15561225752268
19,44.7774550770126,63.7356127303014,51.35234034999968,54.521698853204505,47.71991668444821
20,50.667886210640916,53.533460719519105,49.801060513005794,28.008421830115907,41.02391364417408
21,43.50274819911378,65.30456054225799,42.43100443065946,44.650706993050704,44.078683754986386
22,44.74432523761873,35.63205669881283,50.56266311285451,45.66264878598403,51.99935679275302
23,38.857565878752126,65.15713548982234,56.99632649214606,71.18404292219297,44.4810652572622
24,29.010518102372735,71.04955333047941,56.015808144709716,44.62190508519841,39.74729349053553
25,47.64829740986098,41.527110796210174,38.48026731923252,72.37456623311571,49.08616528572164
