unit_id,CapacityRetention,do_ChargeRate
0,12.929035045480987,50.0
1,45.29564138234571,50.0
2,14.09189779832022,50.0
3,15.593405228447622,50.0
4,17.08151399258006,50.0
5,4.897445686536914,50.0
6,22.85260968120796,50.0
7,46.5845665193845,50.0
8,28.63818198111501,50.0
9,9.110975983569181,50.0
10,15.4619441233594,50.0
11,31.889888138852417,50.0
12,30.404044912815188,50.0
13,19.1846399167893,50.0
14,31.20678088893689,50.0
15,19.203449008347295,50.0
16,21.05202472912675,50.0
17,27.164434206760962,50.0
18,21.45262850867431,50.0
19,23.74871549144074,50.0
20,31.996839867750936,50.0
21,24.682809277940184,50.0
22,21.149067805882563,50.0
23,34.29296303229712,50.0
24,36.46892916660435,50.0
25,29.415054159607582,50.0
26,29.23295273683203,50.0
27,29.203840219557666,50.0
28,20.929555821478772,50.0
29,34.63944198607619,50.0
30,37.20758524718926,50.0
31,39.46996099498284,50.0
32,32.40065274059499,50.0
33,18.397520479816098,50.0
34,18.524997540622422,50.0
35,33.28657444671707,50.0
36,38.43081925206134,50.0
37,24.649508106120603,50.0
38,30.39252625751849,50.0
39,33.06573725235909,50.0
40,27.21294395312822,50.0
41,34.20523049383767,50.0
42,31.61136923301001,50.0
43,17.85591773683099,50.0
44,28.531023784183116,50.0
45,29.89062421650428,50.0
46,30.17192122880442,50.0
47,23.034119521454475,50.0
48,28.860869441841366,50.0
49,28.368543714571985,50.0
50,32.14226021015322,50.0
51,38.40987487353166,50.0
52,23.905890125644184,50.0
53,28.96703039142672,50.0
54,23.783522574879413,50.0
55,21.590705221800896,50.0
56,8.372705697590366,50.0
57,11.693513210926668,50.0
58,18.464667144088224,50.0
59,30.86656666713665,50.0
60,20.598100939902277,50.0
61,36.66676614875066,50.0
62,42.3022489882172,50.0
63,30.431556454981855,50.0
64,22.047782015437154,50.0
65,18.737269239160135,50.0
66,24.747406194527684,50.0
67,30.36929955389213,50.0
68,12.63524283384181,50.0
69,2.5691519645377534,50.0
70,28.004063417652677,50.0
71,15.926611560272834,50.0
72,15.561131071338437,50.0
73,25.927761488676623,50.0
74,25.76206921157729,50.0
75,41.655981447106115,50.0
76,21.033152066925044,50.0
77,26.59748428583987,50.0
78,15.315916422716537,50.0
79,37.766411441636365,50.0
80,21.508980386066867,50.0
81,27.333222304054456,50.0
82,21.798946579696153,50.0
83,27.649153585485656,50.0
84,34.61513977794802,50.0
85,22.098487740953974,50.0
86,44.88112243449339,50.0
87,39.71657381191186,50.0
88,18.716615629913772,50.0
89,36.764096401591715,50.0
90,21.94919897308775,50.0
91,43.55482633624012,50.0
92,28.849895243410153,50.0
