unit_id,CapacityRetention,AmbientHumidityBatt,do_ChargeRate
0,35.76688677354714,42.220645037619235,35.0
1,36.41466852037793,53.29758609428315,35.0
2,27.62464414883013,44.70004112815236,35.0
3,38.20076014673645,45.329888222657246,35.0
4,28.293718115235535,72.53929297229003,35.0
5,35.80537510668549,52.128617578947555,35.0
6,29.3958769724567,46.24930042348767,35.0
7,33.46020158230222,77.08438063874718,35.0
8,26.11160808343994,60.80070119155331,35.0
9,21.663259607267925,57.236652929123316,35.0
10,41.4736743981201,47.12703041019341,35.0
11,21.668765004375356,49.784904231277686,35.0
12,32.79466624725577,35.42881135869206,35.0
13,40.28642336808397,46.02728299685603,35.0
14,37.151099668949094,37.1498102678642,35.0
15,36.2167743942254,31.33679288038542,35.0
16,28.40582267845007,55.68037475323274,35.0
17,36.69887486363445,51.2891005950812,35.0
18,42.11762423372175,63.003861072971155,35.0
19,29.54152176289475,30.631241849952094,35.0
20,28.440110359678464,47.41094489141521,35.0
21,35.2100762427384,68.91309103432248,35.0
22,17.97127218490185,34.74241571020139,35.0
23,50.7619289539813,48.94642977126237,35.0
24,26.77952311693951,44.49379838792349,35.0
25,43.936155319372375,60.05086615305732,35.0
26,21.906367175748326,40.79993295062076,35.0
27,38.209796673149256,46.416682531925744,35.0
28,19.44845482759495,39.48216830453625,35.0
29,33.1882503655389,62.40122704929202,35.0
30,24.015939670495865,33.3542050406337,35.0
31,36.16964663255646,40.576158504059606,35.0
32,31.34206179732337,49.60874226656792,35.0
33,21.42359571545313,48.738253824565426,35.0
34,12.504605986643268,41.95463514458254,35.0
35,18.3426518464206,58.16648108061336,35.0
36,25.634827576786133,58.191265325289315,35.0
37,23.941328692039725,50.31952439848693,35.0
38,29.238236974969052,67.15061615870388,35.0
39,39.60172780327125,29.516725496942573,35.0
40,34.015661375913886,59.97392557041031,35.0
41,26.55617442713354,41.34520482603583,35.0
42,38.089526675676524,58.8000097307948,35.0
43,26.845379116286043,55.757218655087016,35.0
44,44.45689646299533,42.71761464791815,35.0
45,28.04047427631067,61.310990737638676,35.0
46,32.012976859788125,55.051754512146765,35.0
47,37.810302220040214,52.648003627148704,35.0
48,42.80197774670253,67.47285271414283,35.0
49,37.5706082958891,48.2342010265593,35.0
50,39.807545989235976,52.414632054706026,35.0
51,23.10336665238904,64.22468215901704,35.0
52,30.40215459170257,51.27885984207046,35.0
53,36.559359723352834,59.50242525751263,35.0
54,33.7423986973957,56.53671091783839,35.0
55,30.74564931671955,55.63811035075262,35.0
56,42.151064776898984,28.762283164520614,35.0
57,26.07764026134151,50.85475129102626,35.0
58,39.544213948332334,66.487868272925,35.0
59,33.67024317934566,40.947280073570205,35.0
60,25.33014100663546,32.86782734243226,35.0
61,27.850181102526154,51.76543727961585,35.0
62,32.262687361483216,73.71432428065438,35.0
63,20.634519147609144,39.982653714293285,35.0
64,38.114564068203286,63.7120422492823,35.0
65,35.29905141842925,33.31822627408824,35.0
66,44.26714725666898,49.49764458413559,35.0
67,31.150528028366388,49.661651637515575,35.0
68,43.770281768925656,45.06825341876575,35.0
