unit_id,CoulombicEfficiency,CapacityRetention
0,33.39763971812036,27.227254278392323
1,22.67290968102194,19.73037649845791
2,-0.8516422349206003,7.301610099946608
3,8.922601601381341,21.862558682774168
4,16.21382428276735,12.624946349638417
5,8.920114734484237,18.040253616432118
6,59.556292194437376,-10.107930456148102
7,13.135796688598312,17.45131340233009
8,-8.220494897395834,30.248077232214207
9,12.792378291434,28.486978852576573
10,43.44963499050063,22.239985287016392
11,39.6423315473611,3.851601368608926
12,6.401696138748637,31.532502074252356
13,12.258528569152247,38.63679607379352
14,14.560920551569348,12.403835792428106
15,12.050146203465985,28.359562702859158
16,12.782896963175705,29.110544599684737
17,16.376506362527223,37.45743975343445
18,15.127922336188995,36.09639940307183
19,34.715337715000985,13.293151664282023
20,40.76924693277951,21.1986427643156
21,24.53237185875146,45.548234794119466
22,27.47780727866141,23.868431258335683
23,21.607847560925176,33.55519418226589
24,26.890969432705592,14.302791154339628
25,20.523680980964368,22.678476207800916
26,-1.9811720125049277,27.767411606391406
27,43.981354927791635,-3.400967148452664
28,26.632105435315786,28.296420801684512
29,9.438519613016744,24.54154590376628
30,0.7638172092616511,37.444153653443834
31,36.4205059391462,39.27368121584498
32,23.733248226780862,30.80249505552504
33,17.592324179704775,25.779205552615476
34,31.04345194376677,12.687306044371132
35,20.66831354363533,22.216935260982606
36,54.95734457547947,2.9188680643563467
37,14.622107776368795,30.160653904473165
38,26.203729903467863,3.652843996382881
39,24.23956176522513,27.98392633884243
40,37.940544315065225,6.804336148947642
41,14.72113748347385,27.400227116071353
42,31.79054657292236,26.311792729234675
43,28.80444644934405,25.50171318443596
44,7.6599174522722375,30.18463573135372
45,32.2094707326813,33.770999827262465
46,40.25546092911054,23.989684175277
47,14.714795565578207,10.962449074601766
48,1.387780335584555,27.498179557234053
49,24.994728566514368,30.883992985861767
50,-18.329834279051283,19.04645259860982
51,25.340868366581915,32.79870620265524
52,8.569810297360867,23.003714987915046
53,23.964453894808468,29.975954195915868
54,4.722111918511269,25.066795481901472
55,30.705321121811345,22.505029721812964
56,1.7176266611423703,39.06766243169796
57,29.005318436410178,25.514485889538598
58,24.726961165917153,31.57646160348226
59,15.904491856994984,25.959460677436056
60,13.936513944966219,25.31126841771986
61,10.855545956202361,9.902397128959022
62,15.996043517953055,27.092728376805734
63,10.702841002520994,28.3087922707165
64,41.54814544836018,3.567668567125434
65,18.206935151248594,29.564660340065274
66,-5.406456451789202,41.440901768472955
67,21.793156366940337,13.024314731231577
68,-7.809151496918108,33.347966683816075
69,26.434845950673648,21.17633326195851
70,41.498222130301144,13.388183456900368
71,23.883902056724303,25.402978407461195
72,0.890387554575959,51.73068704424064
73,28.233846900548993,5.440129930607226
74,9.729759991064082,18.615053519086207
75,4.815315199055945,31.365402209794308
76,5.274073742810016,35.52807873272957
77,24.33743132037173,17.76280134187079
78,29.63937795378349,8.477852712286275
79,20.923914620737733,37.28062812432483
80,2.798689750914072,27.930070470871566
81,11.100810010129189,25.154759146507356
82,1.6188526642506726,27.25915470660507
