unit_id,JobThroughput,RackInletTemp,CpuClock,CoolingSetpoint,do_cooling_setpoint_controller
0,15.93117098812305,47.02811449821783,58.09772924883972,48.823024799384434,48.75
1,20.188223546338257,50.44736901532999,61.985877197678924,49.98173582219005,48.75
2,15.905007954350236,54.32236088537111,47.790290853158325,47.09602516656097,48.75
3,14.386587828212065,48.33518134056914,54.031290821579965,51.48519018046107,48.75
4,2.15651854064528,72.81369141915293,54.20112566034073,48.1005456313368,48.75
5,-1.2086896991820077,74.8016295123794,46.3411123996656,48.08508672221659,48.75
6,16.721176653327596,56.401197878799046,54.58542753071017,49.08867597206199,48.75
7,20.93881599077114,54.42966429154237,53.099660470550646,50.78741873981653,48.75
8,4.371003731745779,58.58724716171811,39.70972862296395,46.82107319887181,48.75
9,33.20588652771543,43.734551303728,51.16352370989533,49.28317861324159,48.75
10,2.5714443444832917,51.779077721968925,73.6468648352624,47.900655345606644,48.75
11,30.537837003405198,41.2660692837419,63.755769488444976,48.31569122859425,48.75
12,8.363661894104307,58.97541816939441,54.10416761531506,48.429316661929654,48.75
13,12.805891067832741,44.357976955168326,53.57461805988307,49.8176281034542,48.75
14,9.224509014690799,59.28409156190527,53.090086984267636,49.028849877690696,48.75
15,14.06621446814573,55.5233853566858,50.00213745449804,50.83196442719852,48.75
16,16.558001764363347,51.3667808095913,41.824799167600446,47.721260180095115,48.75
17,1.3733220067164296,62.54128049416877,41.50692067842484,50.327302181978744,48.75
18,9.271007844135099,63.66267283610058,41.35587845582479,48.17765409566811,48.75
19,16.560264827379903,56.92043243898235,55.23698222862583,48.4363511869701,48.75
20,17.090628982811033,54.93563420125382,44.657999491410536,48.217235774533414,48.75
21,25.550060320504855,59.75334376094571,43.94076243841438,48.54699333175655,48.75
22,62.43888045969318,29.720556388313266,47.41343312454136,49.225838191214116,48.75
23,-0.2463975741741038,58.1987697110747,52.14421339590055,49.471803790739486,48.75
24,6.232164008816755,67.99492614967014,59.85545313832816,47.505244651742515,48.75
25,7.259399998487532,65.69259321427967,50.784951784847706,47.84660813690312,48.75
26,0.28237289753976125,67.19637048268105,61.54072559817605,49.23858544686708,48.75
27,24.840768402107944,33.39697458844969,53.25668108117662,49.31891631869865,48.75
28,2.7947131330711157,67.86689783566698,49.1321043891813,48.69095186964013,48.75
29,7.196275593879803,60.81993106083768,39.85996587313644,49.224433748143824,48.75
30,38.79005367364558,52.8152115550453,37.2850976462962,47.82381655901146,48.75
31,24.682111547715074,60.542658074211445,37.879744856002816,48.32238361371652,48.75
32,1.0227696143748162,71.85974801776413,55.38829724403434,48.36630511000717,48.75
33,9.519211279169564,60.41920095185422,41.980908672277856,48.05384132311077,48.75
34,53.828164746704175,54.99864083223664,58.17919753668736,49.924936800177655,48.75
35,39.93169037617099,60.37297167294847,59.95258772517724,47.53131534050295,48.75
36,14.344686652745537,44.606686381969304,43.42514844946935,49.25549592226588,48.75
37,8.288688851969942,65.80507296224033,54.28988899996868,48.414023033597196,48.75
38,8.020404135581005,61.47522577667675,45.66666135306267,49.2405429676491,48.75
39,19.639276389960656,43.71163405230642,55.395435596942455,47.622285990629436,48.75
