unit_id,PduLoad,MemoryUtilization,DiskIoWait,JobQueueDepth,GpuTemp,NetworkTopologyHops,FanSpeed
0,43.765930172188355,51.755933640776504,33.53594489286767,79.01658939822522,40.585241133449706,35.31876318167033,52.67289970449099
1,50.65877198047562,51.2385622090107,61.50521292690097,60.81670607956487,44.28522070303894,44.95476396464642,53.81245156193377
2,57.4784084204155,24.884154948495823,54.63385710816996,47.29182463016803,58.2252220271888,72.04979611217023,49.43315524399281
3,29.732405422686718,43.33238627683999,53.73759594668991,29.584100930584757,69.90313469318357,48.41980138487585,55.93871244172346
4,70.48441053588375,82.39111752509403,53.27993111156777,52.51541195618291,32.10528552885858,42.644144892530534,81.14241856927565
5,57.836749242843,35.787145289414056,44.10123009047173,68.85757582494918,39.562525096584615,47.849514112662,58.15588652157638
6,20.313595050376875,44.77113411213267,47.15766998093213,23.789600897510603,36.676418947063745,58.974006106993436,47.44888140223374
7,39.18248215685283,35.876894908180944,37.48312755215622,54.02567349639724,58.83508696257132,42.65604996010061,88.75766093479764
8,64.53084488994847,46.739485701539614,70.69196529456403,62.33487348160684,47.65304428294509,63.014996524106394,74.1458762430841
9,56.38731733646478,53.679612055949306,51.381260609310075,66.6151311932435,38.605323502365685,55.17848746618309,61.441911330943874
10,73.21300490551646,53.82709829603744,60.09905826090369,52.30592931740087,43.76872564720736,49.63870483261607,70.40191990532327
11,40.348342375758506,56.25762563211158,51.34557165826703,63.6683928290014,80.38819618250541,57.12638532812227,52.10373595819356
12,64.23626846136153,47.31687018564401,59.60713945031608,65.14557426989724,43.97783067103487,28.426682649729383,69.11348174100915
13,45.19763812790196,47.24593747175183,52.76672040823062,44.91722605911192,58.65810942597828,48.43640842432643,41.22516272235024
14,50.106655298485485,60.15113884711759,40.93602462439671,34.88541247174822,50.350132992695706,41.22450176798008,57.667113939693316
15,41.26084612314436,67.13645108592023,38.1052384165063,26.60353939977668,29.21930645693089,29.69006032732893,59.12566530433377
16,64.28067751926476,47.725460111595034,31.680986314861574,60.85174672437649,40.908365164100196,49.43872044157364,63.367286476749555
17,54.31527811240367,33.71072428620395,45.51489403658633,41.645198300089596,55.06969827637066,53.32987125005033,69.39216914871747
18,23.534835528445896,74.37990209552775,53.19100763862937,47.2056531091869,33.15568045552268,33.01218329860393,51.52159202235225
19,28.494253999474743,60.321575067067954,45.22326903399634,56.717710376916244,34.67103580091437,77.79881672733265,61.34667834737705
20,43.4500033625257,60.38866218941923,62.9805426633341,70.46456841142384,32.53134530214036,67.81280704515108,47.77469519008643
21,50.77279949183182,54.980228844203864,50.75554221226865,42.73770095266058,33.3905754333027,29.477438787325504,58.69945570281344
22,50.03833994804771,42.028512180580265,46.04404322948193,38.057607653605906,21.990372978639662,29.493728003733224,76.72559993212379
23,56.64154766480022,55.29242918592392,47.200579333974055,65.51742924076007,38.283420702120644,54.661718990543676,36.98409735056317
24,39.39709055052272,58.87011925141883,48.49366091434139,66.32112385818868,58.23936117292411,48.02004329714082,62.22763892657849
25,44.06260650107453,53.66120772788508,53.56226701133252,48.307502783476785,55.59941572046907,48.96391791196248,76.8168335788903
26,30.904061891130404,61.238737317694955,49.76692362286063,42.08212236923047,60.298379231550584,60.266882831056115,54.55274824584306
27,55.877777139686685,57.94331638584951,75.04357290785296,47.43867831175847,45.64628567400224,68.04592734078088,61.63917251366513
28,82.72948803180132,23.962313708360313,33.13209459911692,45.37247183630017,60.79024022994881,46.63699448536799,67.40953785749443
29,53.604516153204735,45.42214638901624,56.825313158181096,52.34001694944465,52.53566405593748,63.337018862533796,50.69585223966097
30,31.589096247772215,43.8314359148167,52.96552816127402,45.10436161591856,61.50236938643597,46.02589498759423,62.81126195061097
31,41.73701400965787,26.57026869160754,55.04175196995623,58.52073486875065,59.2604164152148,20.329568431724436,47.727782703483655
32,51.44769627222502,39.007330530145836,54.52144119418593,54.859443699821036,69.4586919079428,38.535731131074314,54.89792501690711
33,50.3377320803119,58.729238647211574,41.45855477499826,48.501533162174226,34.26382965333064,78.94850817696805,52.236792359479395
34,43.2935903710796,49.37958061331881,42.56447581655268,39.11516246920157,63.46269130392793,43.72402304475211,68.0983202498066
35,58.15012432472225,63.953073778263786,47.22841620405652,51.17247684405978,61.10306991727609,60.984158315840105,57.14460426386608
36,39.36074915023642,34.33497399447533,57.38147713294957,45.31626150423042,52.54480964629892,45.8068796615369,44.56315116462046
37,16.502841820711723,57.29945197609899,49.90583356473136,56.54713517390604,38.02014198321748,39.275760559294895,33.59609270081451
38,29.712758115293422,35.678556972196084,34.343579807775534,56.974707597682865,46.053633256161675,52.698318793710555,64.32574143463724
