run,split,global_step,key,value,source
easy,eval,0,eval/all/avg_score,0.2540951255534589,eval_dump
easy,eval,0,eval/all/environment/accepted,0.011111111111111112,eval_dump
easy,eval,0,eval/all/environment/archetype/collider_selection/episodes,10.0,eval_dump
easy,eval,0,eval/all/environment/archetype/collider_selection/part_a,0.0766,eval_dump
easy,eval,0,eval/all/environment/archetype/collider_selection/part_b,0.1833,eval_dump
easy,eval,0,eval/all/environment/archetype/collider_selection/score,0.12120874125874126,eval_dump
easy,eval,0,eval/all/environment/archetype/collider_selection/truncated,0.3,eval_dump
easy,eval,0,eval/all/environment/archetype/collider_selection/turns,6.0,eval_dump
easy,eval,0,eval/all/environment/archetype/competing_causes/episodes,10.0,eval_dump
easy,eval,0,eval/all/environment/archetype/competing_causes/part_a,0.3485,eval_dump
easy,eval,0,eval/all/environment/archetype/competing_causes/part_b,0.35960000000000003,eval_dump
easy,eval,0,eval/all/environment/archetype/competing_causes/score,0.34571666666666667,eval_dump
easy,eval,0,eval/all/environment/archetype/competing_causes/truncated,0.1,eval_dump
easy,eval,0,eval/all/environment/archetype/competing_causes/turns,6.4,eval_dump
easy,eval,0,eval/all/environment/archetype/confounded_chain/episodes,10.0,eval_dump
easy,eval,0,eval/all/environment/archetype/confounded_chain/part_a,0.3498,eval_dump
easy,eval,0,eval/all/environment/archetype/confounded_chain/part_b,0.3875,eval_dump
easy,eval,0,eval/all/environment/archetype/confounded_chain/score,0.36865,eval_dump
easy,eval,0,eval/all/environment/archetype/confounded_chain/truncated,0.2,eval_dump
easy,eval,0,eval/all/environment/archetype/confounded_chain/turns,5.3,eval_dump
easy,eval,0,eval/all/environment/archetype/confounded_reversal/episodes,10.0,eval_dump
easy,eval,0,eval/all/environment/archetype/confounded_reversal/part_a,0.1507,eval_dump
easy,eval,0,eval/all/environment/archetype/confounded_reversal/part_b,0.2867,eval_dump
easy,eval,0,eval/all/environment/archetype/confounded_reversal/score,0.21869999999999998,eval_dump
easy,eval,0,eval/all/environment/archetype/confounded_reversal/truncated,0.0,eval_dump
easy,eval,0,eval/all/environment/archetype/confounded_reversal/turns,7.0,eval_dump
easy,eval,0,eval/all/environment/archetype/dose_window/episodes,10.0,eval_dump
easy,eval,0,eval/all/environment/archetype/dose_window/part_a,0.4657,eval_dump
easy,eval,0,eval/all/environment/archetype/dose_window/part_b,0.2741,eval_dump
easy,eval,0,eval/all/environment/archetype/dose_window/score,0.3575311188811189,eval_dump
easy,eval,0,eval/all/environment/archetype/dose_window/truncated,0.0,eval_dump
easy,eval,0,eval/all/environment/archetype/dose_window/turns,6.2,eval_dump
easy,eval,0,eval/all/environment/archetype/hidden_subtype/episodes,10.0,eval_dump
easy,eval,0,eval/all/environment/archetype/hidden_subtype/part_a,0.1612,eval_dump
easy,eval,0,eval/all/environment/archetype/hidden_subtype/part_b,0.34299999999999997,eval_dump
easy,eval,0,eval/all/environment/archetype/hidden_subtype/score,0.23096904761904763,eval_dump
easy,eval,0,eval/all/environment/archetype/hidden_subtype/truncated,0.1,eval_dump
easy,eval,0,eval/all/environment/archetype/hidden_subtype/turns,5.8,eval_dump
easy,eval,0,eval/all/environment/archetype/instrument_only/episodes,10.0,eval_dump
easy,eval,0,eval/all/environment/archetype/instrument_only/part_a,0.1238,eval_dump
easy,eval,0,eval/all/environment/archetype/instrument_only/part_b,0.29359999999999997,eval_dump
easy,eval,0,eval/all/environment/archetype/instrument_only/score,0.2059222222222222,eval_dump
easy,eval,0,eval/all/environment/archetype/instrument_only/truncated,0.2,eval_dump
easy,eval,0,eval/all/environment/archetype/instrument_only/turns,6.3,eval_dump
easy,eval,0,eval/all/environment/archetype/surrogate_trap/episodes,10.0,eval_dump
easy,eval,0,eval/all/environment/archetype/surrogate_trap/part_a,0.1941,eval_dump
easy,eval,0,eval/all/environment/archetype/surrogate_trap/part_b,0.18460000000000001,eval_dump
easy,eval,0,eval/all/environment/archetype/surrogate_trap/score,0.17893333333333333,eval_dump
easy,eval,0,eval/all/environment/archetype/surrogate_trap/truncated,0.5,eval_dump
easy,eval,0,eval/all/environment/archetype/surrogate_trap/turns,5.3,eval_dump
easy,eval,0,eval/all/environment/archetype/synergy_pair/episodes,10.0,eval_dump
easy,eval,0,eval/all/environment/archetype/synergy_pair/part_a,0.183,eval_dump
easy,eval,0,eval/all/environment/archetype/synergy_pair/part_b,0.3417,eval_dump
easy,eval,0,eval/all/environment/archetype/synergy_pair/score,0.259225,eval_dump
easy,eval,0,eval/all/environment/archetype/synergy_pair/truncated,0.4,eval_dump
easy,eval,0,eval/all/environment/archetype/synergy_pair/turns,5.7,eval_dump
easy,eval,0,eval/all/environment/completed,0.8,eval_dump
easy,eval,0,eval/all/environment/forced_no_answer,0.0,eval_dump
easy,eval,0,eval/all/environment/interventions,2.8222222222222224,eval_dump
easy,eval,0,eval/all/environment/invalid_id_fraction,0.02973060889727556,eval_dump
easy,eval,0,eval/all/environment/parse_failures,0.044444444444444446,eval_dump
easy,eval,0,eval/all/environment/part_a,0.22815555555555556,eval_dump
easy,eval,0,eval/all/environment/part_b,0.2949,eval_dump
easy,eval,0,eval/all/environment/queries_used,4.066666666666666,eval_dump
easy,eval,0,eval/all/environment/reward_error,0.0,eval_dump
easy,eval,0,eval/all/environment/score,0.2540951255534589,eval_dump
easy,eval,0,eval/all/environment/truncated,0.2,eval_dump
easy,eval,0,eval/all/environment/turns,6.0,eval_dump
easy,eval,0,eval/all/generate/avg_assistant_tokens,9355.066666666668,eval_dump
easy,eval,0,eval/all/generate/avg_num_tokens,11988.677777777777,eval_dump
easy,eval,0,eval/all/generate/avg_tokens_non_zero_rewards,10261.36231884058,eval_dump
easy,eval,0,eval/all/generate/avg_tokens_zero_rewards,17664.14285714286,eval_dump
easy,eval,0,eval/all/generate/max_assistant_tokens,21196,eval_dump
easy,eval,0,eval/all/generate/max_num_tokens,23199,eval_dump
easy,eval,0,eval/all/generate/min_assistant_tokens,2247,eval_dump
easy,eval,0,eval/all/generate/min_num_tokens,3085,eval_dump
easy,eval,0,eval/all/generate/std_assistant_tokens,4861.491567638704,eval_dump
easy,eval,0,eval/all/generate/std_num_tokens,4822.413369598665,eval_dump
easy,eval,0,eval/all/generate/tokens_per_turn_max,8192,eval_dump
easy,eval,0,eval/all/generate/tokens_per_turn_mean,1559.1777777777777,eval_dump
easy,eval,0,eval/all/generate/tokens_per_turn_std,1550.8206662169007,eval_dump
easy,eval,0,eval/all/generate/trajectory_time_completion_max,507.5385119202547,eval_dump
easy,eval,0,eval/all/generate/trajectory_time_completion_mean,312.541861457714,eval_dump
