key,namespace,source,steps_available,complete,log_precision_dp,note
policy/final_loss,policy,train_log,1 2 3 4 5 6 7 8,True,full,
policy/grad_norm,policy,train_log,1 2 3 4 5 6 7 8,True,full,
policy/loss_metrics/clip_ratio,policy,train_log,1 2 3 4 5 6 7 8,True,full,
policy/minibatch_rollout_logprobs_abs_diff_max,policy,train_log,1 2 3 4 5 6 7 8,True,full,
policy/minibatch_rollout_logprobs_abs_diff_mean,policy,train_log,1 2 3 4 5 6 7 8,True,full,
policy/minibatch_rollout_logprobs_abs_diff_min,policy,train_log,1 2 3 4 5 6 7 8,True,full,
policy/minibatch_rollout_logprobs_abs_diff_std,policy,train_log,1 2 3 4 5 6 7 8,True,full,
policy/num_microbatches,policy,train_log,1 2 3 4 5 6 7 8,True,full,
policy/num_padding_microbatches,policy,train_log,1 2 3 4 5 6 7 8,True,full,
policy/policy_entropy,policy,train_log,1 2 3 4 5 6 7 8,True,full,
policy/policy_loss,policy,train_log,1 2 3 4 5 6 7 8,True,full,
policy/policy_lr,policy,train_log,1 2 3 4 5 6 7 8,True,full,
policy/response_length,policy,train_log,1 2 3 4 5 6 7 8,True,full,
reward/avg_pass_at_8,reward,train_log,1 2 3 4 5 6 7 8,True,full,
reward/avg_raw_reward,reward,train_log,1 2 3 4 5 6 7 8,True,full,
reward/frac_nondegenerate_groups,reward,train_log,1 2 3 4 5 6 7 8,True,2,recovered from a formatted log line; rounded to 2 dp
reward/group_reward_mean,reward,train_log,1 2 3 4 5 6 7 8,True,4,recovered from a formatted log line; rounded to 4 dp
reward/group_reward_var,reward,train_log,1 2 3 4 5 6 7 8,True,4,recovered from a formatted log line; rounded to 4 dp
reward/mean_positive_reward,reward,train_log,1 2 3 4 5 6 7 8,True,full,
reward/num_groups,reward,train_log,1 2 3 4 5 6 7 8,True,full,
timing/cleanup_old_checkpoints,timing,train_log,2 3 4 6 8,True,2,phase runs only on eval/checkpoint steps; absence is the schedule; recovered from a formatted log line; rounded to 2 dp
timing/compute_advantages_and_returns,timing,train_log,1 2 3 4 5 6 7 8,True,2,recovered from a formatted log line; rounded to 2 dp
timing/convert_to_training_input,timing,train_log,1 2 3 4 5 6 7 8,True,2,recovered from a formatted log line; rounded to 2 dp
timing/dump_eval_results,timing,train_log,2 4 6 8,True,2,phase runs only on eval/checkpoint steps; absence is the schedule; recovered from a formatted log line; rounded to 2 dp
timing/eval,timing,train_log,2 4 6 8,True,2,phase runs only on eval/checkpoint steps; absence is the schedule; recovered from a formatted log line; rounded to 2 dp
timing/fwd_logprobs_values_reward,timing,train_log,1 2 3 4 5 6 7 8,True,2,recovered from a formatted log line; rounded to 2 dp
timing/generate,timing,train_log,1 2 3 4 5 6 7 8,True,2,recovered from a formatted log line; rounded to 2 dp
timing/log_eval_results,timing,train_log,2 4 6 8,True,2,phase runs only on eval/checkpoint steps; absence is the schedule; recovered from a formatted log line; rounded to 2 dp
timing/log_train_results,timing,train_log,1 2 3 4 5 6 7 8,True,2,recovered from a formatted log line; rounded to 2 dp
timing/policy_train,timing,train_log,1 2 3 4 5 6 7 8,True,2,recovered from a formatted log line; rounded to 2 dp
timing/postprocess_generator_output,timing,train_log,1 2 3 4 5 6 7 8,True,2,recovered from a formatted log line; rounded to 2 dp
timing/save_checkpoints,timing,train_log,2 3 4 6 8,True,2,phase runs only on eval/checkpoint steps; absence is the schedule; recovered from a formatted log line; rounded to 2 dp
timing/step,timing,train_log,1 2 3 4 5 6 7 8,True,2,recovered from a formatted log line; rounded to 2 dp
timing/sync_weights,timing,train_log,1 2 3 4 5 6 7 8,True,2,recovered from a formatted log line; rounded to 2 dp
timing/train_critic_and_policy,timing,train_log,1 2 3 4 5 6 7 8,True,2,recovered from a formatted log line; rounded to 2 dp
environment/accepted,environment,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
environment/archetype/dose_window/episodes,environment,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
environment/archetype/dose_window/part_a,environment,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
environment/archetype/dose_window/part_b,environment,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
environment/archetype/dose_window/score,environment,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
environment/archetype/dose_window/truncated,environment,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
environment/archetype/dose_window/turns,environment,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
