key,value
data.dataloader.num_workers,8
data.dataloader.persistent_workers,False
data.train_data,"[""/work/data/rpg_rl_exps/single_arch_rl/sarl_v1/datasets/easy/train.parquet""]"
data.val_data,"[""/work/data/rpg_rl_exps/single_arch_rl/sarl_v1/datasets/validation_small.parquet""]"
environment.env_class,rpg_single_arch
environment.skyrl_gym.llm_as_a_judge.base_url,
environment.skyrl_gym.llm_as_a_judge.model,gpt-4o-mini
environment.skyrl_gym.max_env_workers,16
environment.skyrl_gym.search.log_requests,False
environment.skyrl_gym.search.search_url,http://127.0.0.1:8000/retrieve
environment.skyrl_gym.search.timeout,30
environment.skyrl_gym.search.topk,3
environment.skyrl_gym.text2sql.db_path,/home/ray/default/sql_data
generator.append_eos_token_after_stop_str_in_multi_turn,True
generator.apply_overlong_filtering,False
generator.batched,False
generator.chat_template.name_or_path,
generator.chat_template.source,name
generator.eval_n_samples_per_prompt,2
generator.eval_sampling_params.additional_kwargs,
generator.eval_sampling_params.logprobs,1
generator.eval_sampling_params.max_generate_length,8192
generator.eval_sampling_params.min_p,0.0
generator.eval_sampling_params.repetition_penalty,1.0
generator.eval_sampling_params.stop,
generator.eval_sampling_params.temperature,1.0
generator.eval_sampling_params.top_k,-1
generator.eval_sampling_params.top_p,1.0
generator.inference_engine.backend,vllm
generator.inference_engine.data_parallel_size,1
generator.inference_engine.delta_weight_sync,
generator.inference_engine.distributed_executor_backend,mp
generator.inference_engine.enable_chunked_prefill,True
generator.inference_engine.enable_pd,False
generator.inference_engine.enable_prefix_caching,True
generator.inference_engine.enable_ray_prometheus_stats,True
generator.inference_engine.enable_return_routed_experts,False
generator.inference_engine.enforce_eager,False
generator.inference_engine.engine_init_kwargs.max_model_len,32768
generator.inference_engine.expert_parallel_size,1
generator.inference_engine.external_proxy_url,
generator.inference_engine.external_server_urls,
generator.inference_engine.fully_sharded_loras,False
generator.inference_engine.gpu_memory_utilization,0.35
generator.inference_engine.language_model_only,False
generator.inference_engine.max_num_batched_tokens,18432
generator.inference_engine.max_num_seqs,64
generator.inference_engine.model_dtype,bfloat16
generator.inference_engine.num_engines,1
generator.inference_engine.num_prefill,0
generator.inference_engine.offload_kv_for_weight_sync,False
generator.inference_engine.pipeline_parallel_size,1
generator.inference_engine.run_engines_locally,True
generator.inference_engine.served_model_name,
generator.inference_engine.speculative_config,
generator.inference_engine.tensor_parallel_size,2
generator.inference_engine.use_expandable_segments,False
generator.inference_engine.vllm_v1_disable_multiproc,True
generator.inference_engine.weight_sync_backend,nccl
generator.inference_engine.weight_transfer_threshold_cuda_ipc_GB,1.0
generator.max_input_length,18432
generator.max_turns,33
generator.merge_stepwise_output,False
generator.n_samples_per_prompt,8
generator.sampling_params.additional_kwargs,
generator.sampling_params.logprobs,1
generator.sampling_params.max_generate_length,8192
generator.sampling_params.min_p,0.0
generator.sampling_params.repetition_penalty,1.0
generator.sampling_params.stop,
generator.sampling_params.temperature,1.0
generator.sampling_params.top_k,-1
generator.sampling_params.top_p,1.0
generator.step_wise_trajectories,False
generator.use_cache_salt,True
generator.use_conversation_multi_turn,True
generator.vision_language_generator,False
generator.zero_reward_on_non_stop,False
trainer.algorithm.advantage_batch_normalize,False
trainer.algorithm.advantage_estimator,grpo
trainer.algorithm.cispo.cispo_anchor,old
trainer.algorithm.cispo.cispo_eps_clip_high,4.0
trainer.algorithm.cispo.cispo_eps_clip_low,1.0
trainer.algorithm.clip_cov.clip_cov_lb,1.0
trainer.algorithm.clip_cov.clip_cov_ub,5.0
trainer.algorithm.clip_cov.clip_ratio,0.0002
trainer.algorithm.clip_ratio_c,3.0
trainer.algorithm.dppo.delta_high,0.2
trainer.algorithm.dppo.delta_low,0.2
trainer.algorithm.dppo.dppo_type,binary_tv
trainer.algorithm.dynamic_sampling.max_sample_batches,30
trainer.algorithm.dynamic_sampling.min_replace_ratio,0.3
trainer.algorithm.dynamic_sampling.type,
trainer.algorithm.entropy_loss_coef,0.01
trainer.algorithm.eps_clip_high,0.2
trainer.algorithm.eps_clip_low,0.2
trainer.algorithm.gamma,1.0
trainer.algorithm.grpo_norm_by_std,False
trainer.algorithm.kl_cov.kl_cov_frac,0.2
trainer.algorithm.kl_cov.ppo_kl_coef,1.0
trainer.algorithm.kl_ctrl.horizon,10000
trainer.algorithm.kl_ctrl.kl_target,0.1
trainer.algorithm.kl_ctrl.type,fixed
trainer.algorithm.kl_estimator_type,k3
trainer.algorithm.kl_loss_coef,0.001
trainer.algorithm.lambd,1.0
trainer.algorithm.loss_reduction,token_mean
trainer.algorithm.max_seq_len,
trainer.algorithm.off_policy_correction.geo_mask_high,1.01
trainer.algorithm.off_policy_correction.geo_mask_low,0.99
trainer.algorithm.off_policy_correction.outlier_token_is_threshold_high,
trainer.algorithm.off_policy_correction.outlier_token_is_threshold_low,
trainer.algorithm.off_policy_correction.product_mask_high,2.0
trainer.algorithm.off_policy_correction.product_mask_low,0.5
trainer.algorithm.off_policy_correction.sequence_mask_metric,
trainer.algorithm.off_policy_correction.sequence_tis_ratio_clip_high,5.0
trainer.algorithm.off_policy_correction.tis_ratio_type,
trainer.algorithm.off_policy_correction.token_mask_is_threshold_high,
trainer.algorithm.off_policy_correction.token_mask_is_threshold_low,
trainer.algorithm.off_policy_correction.token_tis_ratio_clip_high,2.0
trainer.algorithm.policy_loss_type,regular
trainer.algorithm.sapo.tau_neg,1.05
trainer.algorithm.sapo.tau_pos,1.0
trainer.algorithm.temperature,1.0
trainer.algorithm.tis_imp_ratio_cap,-1.0
trainer.algorithm.use_entropy_loss,False
trainer.algorithm.use_kl_in_reward,False
trainer.algorithm.use_kl_loss,False
trainer.algorithm.use_tis,False
trainer.algorithm.value_clip,0.2
trainer.algorithm.value_head_prefix,value_head
trainer.algorithm.zero_variance_filter,False
trainer.algorithm.zero_variance_filter_tol,1e-06
trainer.bf16,True
trainer.ckpt_interval,2
trainer.ckpt_path,/data/rpg_rl_exps/single_arch_rl/sarl_v1/runs/easy/checkpoints
trainer.critic.fsdp_config.cpu_offload,False
trainer.critic.fsdp_config.fsdp_size,-1
trainer.critic.fsdp_config.mixed_precision,
trainer.critic.fsdp_config.reshard_after_forward,True
trainer.critic.model.fake_int4_qat.bf16_base_path,
trainer.critic.model.fake_int4_qat.enabled,False
trainer.critic.model.fake_int4_qat.group_size,32
trainer.critic.model.fake_int4_qat.q_min,-8.0
trainer.critic.model.fake_int4_qat.scale_divisor,7.5
trainer.critic.model.fake_int4_qat.symmetric,True
trainer.critic.model.lora.alpha,16
trainer.critic.model.lora.dropout,0.0
trainer.critic.model.lora.exclude_modules,
trainer.critic.model.lora.init_method,kaiming
trainer.critic.model.lora.lora_sync_path,/tmp/skyrl_lora_sync
trainer.critic.model.lora.max_cpu_loras,
trainer.critic.model.lora.max_loras,1
trainer.critic.model.lora.rank,0
trainer.critic.model.lora.target_modules,all-linear
trainer.critic.model.path,
trainer.critic.optimizer_config.adam_betas,"[0.9, 0.999]"
trainer.critic.optimizer_config.lr,5e-06
trainer.critic.optimizer_config.max_grad_norm,1.0
trainer.critic.optimizer_config.num_warmup_steps,0
trainer.critic.optimizer_config.offload_after_step,True
trainer.critic.optimizer_config.scheduler,constant_with_warmup
trainer.critic.optimizer_config.weight_decay,0.01
trainer.critic.sequence_parallel_size,1
trainer.critic_mini_batch_size,256
trainer.disable_fast_tokenizer,False
trainer.dump_data_batch,False
trainer.dump_eval_results,True
trainer.enable_ray_gpu_monitor,True
trainer.epochs,3
trainer.eval_batch_size,1024
trainer.eval_before_train,True
trainer.eval_interval,2
trainer.export_path,/work/data/rpg_rl_exps/single_arch_rl/sarl_v1/runs/easy/exports
trainer.flash_attn,True
trainer.fully_async.clear_kv_cache_on_weight_sync,False
trainer.fully_async.enabled,False
trainer.fully_async.max_staleness_steps,4
trainer.fully_async.num_parallel_generation_workers,768
trainer.fully_async.sample_full_batch,False
trainer.fully_async.simulate_training,False
trainer.fully_async.simulate_training_step_seconds,30.0
trainer.fully_async.simulate_weight_sync_seconds,0.0
trainer.fused_lm_head_logprob,False
trainer.fused_lm_head_logprob_backend,torch
trainer.gradient_checkpointing,True
trainer.gradient_checkpointing_use_reentrant,False
trainer.hf_save_interval,-1
trainer.log_example_interval,-1
trainer.log_path,/work/data/rpg_rl_exps/single_arch_rl/sarl_v1/runs/easy/logs
trainer.logger,wandb
trainer.logprobs_chunk_size,1024
trainer.max_ckpts_to_keep,-1
trainer.max_prompt_length,18432
trainer.max_tokens_per_microbatch,8192
trainer.max_training_steps,8
trainer.micro_forward_batch_size_per_gpu,1
trainer.micro_train_batch_size_per_gpu,1
trainer.mtp.enabled,False
trainer.mtp.loss_weight,0.1
trainer.mtp.num_speculative_tokens,1
trainer.num_logger_eval_samples,-1
trainer.num_logger_train_samples,-1
trainer.placement.colocate_all,True
trainer.placement.colocate_policy_ref,True
trainer.placement.critic_num_gpus_per_node,1
trainer.placement.critic_num_nodes,1
trainer.placement.policy_num_gpus_per_node,2
trainer.placement.policy_num_nodes,1
trainer.placement.ref_num_gpus_per_node,2
trainer.placement.ref_num_nodes,1
trainer.policy.fsdp_config.cpu_offload,False
trainer.policy.fsdp_config.fsdp_size,-1
trainer.policy.fsdp_config.mixed_precision,
trainer.policy.fsdp_config.reshard_after_forward,True
trainer.policy.inference_only_init,False
trainer.policy.language_model_only,False
trainer.policy.megatron_config.async_dist_ckpt_save,False
trainer.policy.megatron_config.async_dist_ckpt_strategy,mcore
trainer.policy.megatron_config.async_save_prestage_to_cpu,False
trainer.policy.megatron_config.context_parallel_size,1
trainer.policy.megatron_config.ddp_config.average_in_collective,True
trainer.policy.megatron_config.ddp_config.grad_reduce_in_fp32,True
trainer.policy.megatron_config.ddp_config.overlap_grad_reduce,False
trainer.policy.megatron_config.ddp_config.overlap_param_gather,False
trainer.policy.megatron_config.dist_ckpt_optim_fully_reshardable,False
trainer.policy.megatron_config.empty_cuda_cache,True
trainer.policy.megatron_config.expert_model_parallel_size,1
trainer.policy.megatron_config.expert_tensor_parallel_size,
trainer.policy.megatron_config.freeze_moe_router,False
trainer.policy.megatron_config.hf_export_config.distributed_save,False
trainer.policy.megatron_config.hf_export_config.save_every_n_ranks,1
trainer.policy.megatron_config.lora_config.lora_type,lora
trainer.policy.megatron_config.lora_config.merge_lora,True
trainer.policy.megatron_config.moe_aux_loss_coeff,0.0
trainer.policy.megatron_config.moe_enable_routing_replay,False
trainer.policy.megatron_config.moe_grouped_gemm,True
trainer.policy.megatron_config.moe_per_layer_logging,False
trainer.policy.megatron_config.moe_router_dtype,fp32
trainer.policy.megatron_config.moe_router_enable_expert_bias,
trainer.policy.megatron_config.moe_router_load_balancing_type,none
trainer.policy.megatron_config.moe_router_score_function,
trainer.policy.megatron_config.moe_token_dispatcher_type,alltoall
trainer.policy.megatron_config.mtp_loss_chunk_size,1024
trainer.policy.megatron_config.mtp_loss_topk,
trainer.policy.megatron_config.mtp_loss_weight,0.1
trainer.policy.megatron_config.mtp_num_layers,0
trainer.policy.megatron_config.optimizer_config_kwargs.optimizer_cpu_offload,False
trainer.policy.megatron_config.optimizer_config_kwargs.optimizer_offload_fraction,0.0
trainer.policy.megatron_config.optimizer_config_kwargs.overlap_cpu_optimizer_d2h_h2d,False
trainer.policy.megatron_config.optimizer_config_kwargs.use_precision_aware_optimizer,False
trainer.policy.megatron_config.pipeline_model_parallel_size,1
trainer.policy.megatron_config.tensor_model_parallel_size,1
trainer.policy.megatron_config.transformer_config_kwargs.gradient_accumulation_fusion,False
trainer.policy.megatron_config.transformer_config_kwargs.recompute_granularity,full
trainer.policy.megatron_config.transformer_config_kwargs.recompute_method,uniform
trainer.policy.megatron_config.transformer_config_kwargs.recompute_modules,"[""core_attn""]"
