unit_id,EthanolYield,OrganicAcidTiter
0,-36.316443190688055,61.569594046536224
1,-38.56482953871703,62.21059657887456
2,-28.032027853272844,33.0459060955449
3,-32.28958695015325,51.6613221585077
4,-15.247682274121727,53.033426753063246
5,-17.89078918747641,42.33437085879178
6,-33.633455151440366,42.58070423440162
7,-28.31582926978075,57.7051627680256
8,-26.493318379603984,48.708486735015725
9,-48.661793712599255,65.89036148828632
10,-25.488790305109255,32.49853888339669
11,-53.17498115105538,55.14058978843754
12,-62.24166952546672,52.43104181579409
13,-28.80484468588563,34.990990778621565
14,-56.115554816736335,39.10540715092774
15,-37.86663569031504,49.797158549271
16,-30.23246772282657,62.09004700754229
17,6.100235722970995,16.123309853907358
18,-52.86325906108692,63.49738228808235
19,-30.647750895572194,46.48543677480083
20,-49.53116744805827,46.759428381961385
21,-14.79584268091845,60.808787618147036
22,-51.24838977928102,35.27597058228151
23,-22.196895867442205,39.11441661683777
24,-21.058351662011944,46.31278569404958
25,-26.569398275676257,46.062665895497126
26,-45.71842840284968,51.89304811342122
27,-12.966461053557687,38.4484902035148
28,-39.363317090989334,34.25395693785341
29,3.0355609268401533,20.607694054184336
30,-21.919819790000336,58.25261341644271
31,-37.05191308653362,30.409448708415464
32,-39.009811733600934,43.07630332401098
33,-61.441351812432984,39.103208752233535
34,-3.511157249990772,44.50724601196232
35,-15.43344097236087,26.031393074367653
36,-34.69628068721412,34.272002076041524
37,-41.19000640100418,48.73289683014729
38,-25.977942866761154,52.64543240937689
39,-36.2561791819083,60.057878159300266
40,-32.751235088528304,45.13437030284391
41,-47.8054116868259,55.460546183239416
42,-26.06033916939952,25.86935988574855
43,-6.457874427529677,36.34267358838899
44,-19.825562305235067,57.51120287288796
45,-52.08753466259446,62.042794306264
46,-23.621667925272362,45.44754358665193
47,-30.43971236679491,37.589282421596536
48,-10.259547751185847,32.87449584210391
49,-31.026376841681856,33.6466826878651
50,-53.61886635084858,50.31680958587354
51,-18.752310870754897,70.9467977872664
52,-37.037254195477615,37.08697586425975
53,-14.154231713530168,19.884868807526225
54,-30.601446778511544,56.41337301535348
55,-37.950883700587596,57.558916847192265
56,-45.35215239378047,40.59796019895764
57,-25.2545850166429,39.45019864961248
58,-26.5751614490344,44.99441261492868
59,11.006600607704266,0.8671949413956366
60,-43.92308320639199,45.95279121262743
61,-42.74632614904844,58.52255203563011
62,-47.396000586989565,50.69570501963268
63,-43.036896119971395,57.492427804168976
64,-48.03550762622245,49.945806417858265
65,-17.070923441166645,40.61974921198181
66,-33.75130159727058,33.97834657348214
67,-21.94712182309365,49.62447849441567
68,-21.192468770538216,28.47982662580803
69,-39.84036644848005,25.302952758983746
70,-10.60983554628066,19.090535500879703
71,-38.616479157612744,58.63766244942603
72,-22.911957062136153,35.45521880385777
